split,ID,family,candidate_rank_for_production,production_score,source_score,selected_as_production,selected_as_source,file,parse_status,parser,formula,reduced_formula,counts_json,n_sites,is_ordered,partial_or_mixed_sites,comparison_to_OBELiX,Li_relative_error,composition_total_variation_error,error
test,0ii,perovskites,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/0ii/relaxed_0ii.cif,ok,pymatgen_structure,Nb2 O6,NbO3,"{""Nb"": 2.0, ""O"": 6.0}",8.0,True,0.0,FAIL_ELEMENT_SET,-1.0,0.11111111111111113,
test,0ii,perovskites,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/0ii/relaxed_0ii.cif,ok,pymatgen_structure,La1 Nb2 O6,LaNb2O6,"{""La"": 1.0, ""Nb"": 2.0, ""O"": 6.0}",9.0,True,0.0,FAIL_ELEMENT_SET,-1.0,0.05555555555555555,
test,0ii,perovskites,3,2000.0,2150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/0ii/ordered_sqs_like_0ii.cif,ok,pymatgen_structure,Nb2 O6,NbO3,"{""Nb"": 2.0, ""O"": 6.0}",8.0,True,0.0,FAIL_ELEMENT_SET,-1.0,0.11111111111111113,
test,1ty,nan,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty/relaxed_1ty.cif,ok,pymatgen_structure,Li16 Ge4 Se4 S12,Li4GeSeS3,"{""Ge"": 4.0, ""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,1ty,nan,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/1ty/relaxed_1ty.cif,ok,pymatgen_structure,Li28 Ge4 S16,Li7GeS4,"{""Ge"": 4.0, ""Li"": 28.0, ""S"": 16.0}",48.0,True,0.0,FAIL_ELEMENT_SET,0.4,0.13888888888888892,
test,1ty,nan,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty/ordered_adaptive_1ty.cif,ok,pymatgen_structure,Li16 Ge4 Se4 S12,Li4GeSeS3,"{""Ge"": 4.0, ""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,24k,argyrodites,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k/relaxed_24k.cif,ok,pymatgen_structure,Li14 Ge6 P2 S24,Li7Ge3PS12,"{""Ge"": 6.0, ""Li"": 14.0, ""P"": 2.0, ""S"": 24.0}",46.0,True,0.0,PASS,0.0,0.0,
test,24k,argyrodites,2,850.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/24k/relaxed_24k (2).cif,ok,pymatgen_structure,Li48 Ge4 S24,Li12GeS6,"{""Ge"": 4.0, ""Li"": 48.0, ""S"": 24.0}",76.0,True,0.0,FAIL_ELEMENT_SET,2.4285714285714284,0.3272311212814645,
test,24k,argyrodites,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k/ordered_adaptive_24k.cif,ok,pymatgen_structure,Li14 Ge6 P2 S24,Li7Ge3PS12,"{""Ge"": 6.0, ""Li"": 14.0, ""P"": 2.0, ""S"": 24.0}",46.0,True,0.0,PASS,0.0,0.0,
test,2d1,garnet,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2d1/relaxed_2d1.cif,ok,pymatgen_structure,Li44 La24 Y2 Nb14 O96,Li22La12YNb7O48,"{""La"": 24.0, ""Li"": 44.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}",180.0,True,0.0,PASS,0.0,0.0,
test,2d1,garnet,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/2d1/relaxed_2d1.cif,ok,pymatgen_structure,Li168 La24 Nb16 O96,Li21La3Nb2O12,"{""La"": 24.0, ""Li"": 168.0, ""Nb"": 16.0, ""O"": 96.0}",304.0,True,0.0,FAIL_ELEMENT_SET,2.8181818181818183,0.308187134502924,
test,2d1,garnet,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2d1/ordered_adaptive_2d1.cif,ok,pymatgen_structure,Li44 La24 Y2 Nb14 O96,Li22La12YNb7O48,"{""La"": 24.0, ""Li"": 44.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}",180.0,True,0.0,PASS,0.0,0.0,
test,2r7,molybdates,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7/relaxed_2r7.cif,ok,pymatgen_structure,Li12 Cr4 Mo12 O48,Li3Cr(MoO4)3,"{""Cr"": 4.0, ""Li"": 12.0, ""Mo"": 12.0, ""O"": 48.0}",76.0,True,0.0,PASS,0.0,0.0,
test,2r7,molybdates,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/2r7/relaxed_2r7.cif,ok,pymatgen_structure,Li16 Mo12 O48,Li4(MoO4)3,"{""Li"": 16.0, ""Mo"": 12.0, ""O"": 48.0}",76.0,True,0.0,FAIL_ELEMENT_SET,0.3333333333333333,0.05263157894736842,
test,2r7,molybdates,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7/ordered_adaptive_2r7.cif,ok,pymatgen_structure,Li12 Cr4 Mo12 O48,Li3Cr(MoO4)3,"{""Cr"": 4.0, ""Li"": 12.0, ""Mo"": 12.0, ""O"": 48.0}",76.0,True,0.0,PASS,0.0,0.0,
test,2uv,Chalcogenidotetrelates,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv/relaxed_2uv.cif,ok,pymatgen_structure,Li16 Sn4 Se16,Li4SnSe4,"{""Li"": 16.0, ""Se"": 16.0, ""Sn"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,2uv,Chalcogenidotetrelates,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/2uv/relaxed_2uv.cif,ok,pymatgen_structure,Li16 Sn4 Se16,Li4SnSe4,"{""Li"": 16.0, ""Se"": 16.0, ""Sn"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,2uv,Chalcogenidotetrelates,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv/ordered_adaptive_2uv.cif,ok,pymatgen_structure,Li16 Sn4 Se16,Li4SnSe4,"{""Li"": 16.0, ""Se"": 16.0, ""Sn"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,3rh,garnet,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/3rh/relaxed_3rh.cif,ok,pymatgen_structure,Li52 La24 Y6 Nb10 O96,Li26La12Y3Nb5O48,"{""La"": 24.0, ""Li"": 52.0, ""Nb"": 10.0, ""O"": 96.0, ""Y"": 6.0}",188.0,True,0.0,PASS,0.0,0.0,
test,3rh,garnet,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/3rh/relaxed_3rh.cif,ok,pymatgen_structure,Li168 La24 Nb16 O96,Li21La3Nb2O12,"{""La"": 24.0, ""Li"": 168.0, ""Nb"": 16.0, ""O"": 96.0}",304.0,True,0.0,FAIL_ELEMENT_SET,2.230769230769231,0.27603583426651734,
test,3rh,garnet,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/3rh/ordered_adaptive_3rh.cif,ok,pymatgen_structure,Li52 La24 Y6 Nb10 O96,Li26La12Y3Nb5O48,"{""La"": 24.0, ""Li"": 52.0, ""Nb"": 10.0, ""O"": 96.0, ""Y"": 6.0}",188.0,True,0.0,PASS,0.0,0.0,
test,4ie,garnet,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4ie/relaxed_4ie.cif,ok,pymatgen_structure,Li47 La24 Zr16 Ga5 O94 F2,Li47La24Zr16Ga5(O47F)2,"{""F"": 2.0, ""Ga"": 5.0, ""La"": 24.0, ""Li"": 47.0, ""O"": 94.0, ""Zr"": 16.0}",188.0,True,0.0,FAIL_GENERAL_STOICHIOMETRY,-0.028925619834710717,0.017920737832161446,
test,4ie,garnet,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/4ie/relaxed_4ie.cif,ok,pymatgen_structure,Li120 La24 Zr16 O96,Li15La3Zr2O12,"{""La"": 24.0, ""Li"": 120.0, ""O"": 96.0, ""Zr"": 16.0}",256.0,True,0.0,FAIL_ELEMENT_SET,1.4793388429752066,0.209093347639485,
test,4ie,garnet,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4ie/ordered_adaptive_4ie.cif,ok,pymatgen_structure,Li47 La24 Zr16 Ga5 O94 F2,Li47La24Zr16Ga5(O47F)2,"{""F"": 2.0, ""Ga"": 5.0, ""La"": 24.0, ""Li"": 47.0, ""O"": 94.0, ""Zr"": 16.0}",188.0,True,0.0,FAIL_GENERAL_STOICHIOMETRY,-0.028925619834710717,0.017920737832161446,
test,4p7,antiperovskite,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7/relaxed_4p7.cif,ok,pymatgen_structure,Li3 Cl1 O1,Li3ClO,"{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}",5.0,True,0.0,PASS,0.0,0.0,
test,4p7,antiperovskite,2,850.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/4p7/relaxed_4p7 (1).cif,ok,pymatgen_structure,Li3 Cl1 O1,Li3ClO,"{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}",5.0,True,0.0,PASS,0.0,0.0,
test,4p7,antiperovskite,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7/ordered_adaptive_4p7.cif,ok,pymatgen_structure,Li3 Cl1 O1,Li3ClO,"{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}",5.0,True,0.0,PASS,0.0,0.0,
test,7cr,Borophosphates,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr/relaxed_7cr.cif,ok,pymatgen_structure,Na2 Li4 B2 P4 O16,NaLi2B(PO4)2,"{""B"": 2.0, ""Li"": 4.0, ""Na"": 2.0, ""O"": 16.0, ""P"": 4.0}",28.0,True,0.0,PASS,0.0,0.0,
test,7cr,Borophosphates,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/7cr/relaxed_7cr.cif,ok,pymatgen_structure,Na2 Li4 B2 P4 O16,NaLi2B(PO4)2,"{""B"": 2.0, ""Li"": 4.0, ""Na"": 2.0, ""O"": 16.0, ""P"": 4.0}",28.0,True,0.0,PASS,0.0,0.0,
test,7cr,Borophosphates,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr/ordered_adaptive_7cr.cif,ok,pymatgen_structure,Na2 Li4 B2 P4 O16,NaLi2B(PO4)2,"{""B"": 2.0, ""Li"": 4.0, ""Na"": 2.0, ""O"": 16.0, ""P"": 4.0}",28.0,True,0.0,PASS,0.0,0.0,
test,9n0,perovskites,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9n0/relaxed_9n0.cif,ok,pymatgen_structure,Na2 Li3 La5 Nb20 O60,Na2Li3La5Nb20O60,"{""La"": 5.0, ""Li"": 3.0, ""Na"": 2.0, ""Nb"": 20.0, ""O"": 60.0}",90.0,True,0.0,PASS,0.0,0.0,
test,9n0,perovskites,2,850.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/9n0/relaxed_9n0 (3).cif,ok,pymatgen_structure,La1 Nb2 O6,LaNb2O6,"{""La"": 1.0, ""Nb"": 2.0, ""O"": 6.0}",9.0,True,0.0,FAIL_ELEMENT_SET,-1.0,0.05555555555555555,
test,9n0,perovskites,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9n0/ordered_adaptive_9n0.cif,ok,pymatgen_structure,Na2 Li3 La5 Nb20 O60,Na2Li3La5Nb20O60,"{""La"": 5.0, ""Li"": 3.0, ""Na"": 2.0, ""Nb"": 20.0, ""O"": 60.0}",90.0,True,0.0,PASS,0.0,0.0,
test,9o6,garnet,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9o6/relaxed_9o6.cif,ok,pymatgen_structure,Li47 La24 Zr14 Mo2 O96,Li47La24Zr14(MoO48)2,"{""La"": 24.0, ""Li"": 47.0, ""Mo"": 2.0, ""O"": 96.0, ""Zr"": 14.0}",183.0,True,0.0,WARN_INTEGERIZATION_APPROXIMATION,-0.09615384615384616,0.019765143587954934,
test,9o6,garnet,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/9o6/relaxed_9o6.cif,ok,pymatgen_structure,Li120 La24 Zr16 O96,Li15La3Zr2O12,"{""La"": 24.0, ""Li"": 120.0, ""O"": 96.0, ""Zr"": 16.0}",256.0,True,0.0,FAIL_ELEMENT_SET,1.3076923076923077,0.1921542553191489,
