split,ID,issue,file
test,0ii,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/0ii/0ii_combined_Total_DOS_Li_PDOS.csv
test,1ty,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/1ty/1ty_combined_Total_DOS_Li_PDOS.csv
test,24k,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/24k/24k_combined_Total_DOS_Li_PDOS.csv
test,2d1,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/2d1/2d1_combined_Total_DOS_Li_PDOS.csv
test,2r7,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/2r7/2r7_combined_Total_DOS_Li_PDOS.csv
test,2uv,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/2uv/2uv_combined_Total_DOS_Li_PDOS.csv
test,3rh,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/3rh/3rh_combined_Total_DOS_Li_PDOS.csv
test,4ie,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/4ie/4ie_combined_Total_DOS_Li_PDOS.csv
test,4p7,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/4p7/4p7_combined_Total_DOS_Li_PDOS.csv
test,7cr,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/7cr/7cr_combined_Total_DOS_Li_PDOS.csv
test,9n0,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/9n0/9n0_combined_Total_DOS_Li_PDOS.csv
test,9o6,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/9o6/9o6_combined_Total_DOS_Li_PDOS.csv
test,aab,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/aab/aab_combined_Total_DOS_Li_PDOS.csv
test,ar1,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/ar1/ar1_combined_Total_DOS_Li_PDOS.csv
test,ard,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/ard/ard_combined_Total_DOS_Li_PDOS.csv
test,b56,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/b56/b56_combined_Total_DOS_Li_PDOS.csv
test,bnu,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/bnu/bnu_combined_Total_DOS_Li_PDOS.csv
test,br1,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/br1/br1_combined_Total_DOS_Li_PDOS.csv
test,cfy,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/cfy/cfy_combined_Total_DOS_Li_PDOS.csv
test,cti,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/cti/cti_combined_Total_DOS_Li_PDOS.csv
test,cz2,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/cz2/cz2_combined_Total_DOS_Li_PDOS.csv
test,de5,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/de5/de5_combined_Total_DOS_Li_PDOS.csv
test,duf,missing_phonon_eigen_data_npz,/content/obelix_composition_audit/combined_option_a_spectra/test/duf/duf_combined_Total_DOS_Li_PDOS.csv
