split,ID,file,selected,candidate_rank,score,selection_margin,source_total_dos,source_li_pdos,source_folder,status,frequency,total,li
train,00x,/content/obelix_composition_audit/combined_option_a_spectra/train/00x/00x_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,1200.0,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/00x/Total_DOS_00x.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/00x/Lithium_PDOS_00x.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/00x,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
train,00x,,False,2,849.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/00x 2/Total_DOS_00x.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/00x 2/Lithium_PDOS_00x.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/00x 2,not_selected_duplicate_candidate,,,
train,019,/content/obelix_composition_audit/combined_option_a_spectra/train/019/019_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/019/Total_DOS_019.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/019/Lithium_PDOS_019.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/019,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
train,09w,/content/obelix_composition_audit/combined_option_a_spectra/train/09w/09w_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/09w/Total_DOS_09w.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/09w/Lithium_PDOS_09w.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/09w,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
train,0fh,/content/obelix_composition_audit/combined_option_a_spectra/train/0fh/0fh_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0fh/Total_DOS_0fh.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0fh/Lithium_PDOS_0fh.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0fh,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
train,0iv,/content/obelix_composition_audit/combined_option_a_spectra/train/0iv/0iv_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0iv/Total_DOS_0iv.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0iv/Lithium_PDOS_0iv.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0iv,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
train,0o6,/content/obelix_composition_audit/combined_option_a_spectra/train/0o6/0o6_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0o6/Total_DOS_0o6.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0o6/Lithium_PDOS_0o6.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0o6,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
train,10s,/content/obelix_composition_audit/combined_option_a_spectra/train/10s/10s_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/10s/Total_DOS_10s.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/10s/Lithium_PDOS_10s.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/10s,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
train,11b,/content/obelix_composition_audit/combined_option_a_spectra/train/11b/11b_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/11b/Total_DOS_11b.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/11b/Lithium_PDOS_11b.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/11b,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
train,122,/content/obelix_composition_audit/combined_option_a_spectra/train/122/122_combined_Total_DOS_Li_PDOS.csv,True,1,2049.93,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/122/Total_DOS_122.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/122/Lithium_PDOS_122.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/122,combined_from_separate_csv,Frequency_THz,Total_DOS,Li_PDOS
