split,ID,family,intended_formula_OBELiX,expected_formula_counts_json,spectrum_file,production_structure_file,production_structure_selection,production_structure_score,source_structure_file,source_structure_selection,source_structure_score,source_structure_role,eigen_file,eigen_selection,eigen_score,audit_status,production_parser,production_formula,production_reduced_formula,production_n_sites,production_volume_A3,production_volume_per_site_A3,production_density_g_cm3,production_min_distance_A,geometry_status,production_is_ordered,production_partial_or_mixed_sites,production_mixed_species_sites,production_underoccupied_sites,production_overoccupied_sites,composition_status,scale_all,framework_scale_raw,framework_scale_formula_units,framework_scale_nearest_integer,framework_scale_integer_deviation,framework_scale_anchor_elements,max_relative_stoich_error,framework_max_relative_stoich_error,max_absolute_count_error_atoms,framework_max_absolute_count_error_atoms,n_elements_outside_pass_tolerance,n_elements_outside_warn_tolerance,composition_total_variation_error,expected_Li_at_framework_scale,actual_Li,Li_count_error,Li_absolute_count_error,Li_relative_error,missing_elements,extra_elements,expected_counts_at_framework_scale_json,actual_counts_json,actual_minus_expected_json,element_absolute_errors_json,element_relative_errors_json,element_pass_flags_json,element_warn_flags_json,neutral_oxidation_guess_status,neutral_oxidation_guess_json,source_parser,source_formula,source_reduced_formula,source_counts_json,source_is_ordered,source_partial_or_mixed_sites,source_mixed_species_sites,source_underoccupied_sites,source_comparison_to_OBELiX,source_Li_relative_error_to_OBELiX,spectrum_n_frequency_points,spectrum_min_plotted_frequency_THz,spectrum_max_plotted_frequency_THz,spectrum_median_native_spacing_THz,spectrum_max_native_spacing_THz,spectrum_points_0_to_100_THz,spectrum_total_positive_area_0_to_100,spectrum_Li_positive_area_0_to_100,spectrum_coarse_grid_flag,spectrum_high_max_frequency_flag,spectrum_very_high_max_frequency_flag,spectrum_negative_plotted_grid_endpoint_flag
test,0ii,perovskites,Li0.02Na0.48La0.5Nb2O6,"{""La"": 0.5, ""Li"": 0.02, ""Na"": 0.48, ""Nb"": 2.0, ""O"": 6.0}",/content/obelix_composition_audit/combined_option_a_spectra/test/0ii/0ii_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/0ii/relaxed_0ii.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/0ii/ordered_sqs_like_0ii.cif,automatic_same_folder,2150.0,fallback_unverified_source_candidate,,missing,,FAIL_ELEMENT_SET,pymatgen_structure,Nb2 O6,NbO3,8,126.69814536561664,15.83726817070208,3.6934646423523803,1.9931961274082797,PASS,True,0,0,0,0,FAIL_ELEMENT_SET,1.0,1.0,1.0,1,0.0,Nb;O,1.0,1.0,0.5,0.5,0,0,0.11111111111111113,0.02,0.0,-0.02,0.02,-1.0,La;Li;Na,,"{""La"": 0.5, ""Li"": 0.02, ""Na"": 0.48, ""Nb"": 2.0, ""O"": 6.0}","{""Nb"": 2.0, ""O"": 6.0}","{""La"": -0.5, ""Li"": -0.02, ""Na"": -0.48, ""Nb"": 0.0, ""O"": 0.0}","{""La"": 0.5, ""Li"": 0.02, ""Na"": 0.48, ""Nb"": 0.0, ""O"": 0.0}","{""La"": 1.0, ""Li"": 1.0, ""Na"": 1.0, ""Nb"": 0.0, ""O"": 0.0}","{""La"": true, ""Li"": true, ""Na"": true, ""Nb"": true, ""O"": true}","{""La"": true, ""Li"": true, ""Na"": true, ""Nb"": true, ""O"": true}",no_neutral_assignment_found,,pymatgen_structure,Nb2 O6,NbO3,"{""Nb"": 2.0, ""O"": 6.0}",True,0.0,0.0,0.0,FAIL_ELEMENT_SET,-1.0,201,-1.831694632453185,28.16583073467676,0.14998762683564948,0.14998762683565658,188,11.799019217321678,0.0,False,False,False,True
test,1ty,nan,Li4GeS3Se,"{""Ge"": 1.0, ""Li"": 4.0, ""S"": 3.0, ""Se"": 1.0}",/content/obelix_composition_audit/combined_option_a_spectra/test/1ty/1ty_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty/relaxed_1ty.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty/ordered_adaptive_1ty.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,PASS,pymatgen_structure,Li16 Ge4 Se4 S12,Li4GeSeS3,36,717.1768881981552,19.921580227726533,2.5520983334649694,2.2265530106018305,PASS,True,0,0,0,0,PASS,4.0,4.0,4.0,4,0.0,Ge;S;Se,0.0,0.0,0.0,0.0,0,0,0.0,16.0,16.0,0.0,0.0,0.0,,,"{""Ge"": 4.0, ""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0}","{""Ge"": 4.0, ""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0}","{""Ge"": 0.0, ""Li"": 0.0, ""S"": 0.0, ""Se"": 0.0}","{""Ge"": 0.0, ""Li"": 0.0, ""S"": 0.0, ""Se"": 0.0}","{""Ge"": 0.0, ""Li"": 0.0, ""S"": 0.0, ""Se"": 0.0}","{""Ge"": true, ""Li"": true, ""S"": true, ""Se"": true}","{""Ge"": true, ""Li"": true, ""S"": true, ""Se"": true}",neutral_assignment_found,"{""Ge"": 4.0, ""Li"": 1.0, ""S"": -2.0, ""Se"": -2.0}",pymatgen_structure,Li16 Ge4 Se4 S12,Li4GeSeS3,"{""Ge"": 4.0, ""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0}",True,0.0,0.0,0.0,PASS,0.0,201,-1.7724706262186,14.883266474711911,0.08327868550465212,0.08327868550465745,179,108.80486869398139,48.64208233204039,False,False,False,True
test,24k,argyrodites,Li7Ge3PS12,"{""Ge"": 3.0, ""Li"": 7.0, ""P"": 1.0, ""S"": 12.0}",/content/obelix_composition_audit/combined_option_a_spectra/test/24k/24k_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k/relaxed_24k.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k/ordered_adaptive_24k.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,PASS,pymatgen_structure,Li14 Ge6 P2 S24,Li7Ge3PS12,46,1061.1453176435018,23.06837647051091,2.1352789889475647,2.0193330710139956,PASS,True,0,0,0,0,PASS,2.0,2.0,2.0,2,0.0,Ge;P;S,0.0,0.0,0.0,0.0,0,0,0.0,14.0,14.0,0.0,0.0,0.0,,,"{""Ge"": 6.0, ""Li"": 14.0, ""P"": 2.0, ""S"": 24.0}","{""Ge"": 6.0, ""Li"": 14.0, ""P"": 2.0, ""S"": 24.0}","{""Ge"": 0.0, ""Li"": 0.0, ""P"": 0.0, ""S"": 0.0}","{""Ge"": 0.0, ""Li"": 0.0, ""P"": 0.0, ""S"": 0.0}","{""Ge"": 0.0, ""Li"": 0.0, ""P"": 0.0, ""S"": 0.0}","{""Ge"": true, ""Li"": true, ""P"": true, ""S"": true}","{""Ge"": true, ""Li"": true, ""P"": true, ""S"": true}",neutral_assignment_found,"{""Ge"": 4.0, ""Li"": 1.0, ""P"": 5.0, ""S"": -2.0}",pymatgen_structure,Li14 Ge6 P2 S24,Li7Ge3PS12,"{""Ge"": 6.0, ""Li"": 14.0, ""P"": 2.0, ""S"": 24.0}",True,0.0,0.0,0.0,PASS,0.0,201,-1.6950521107331566,19.308351516132213,0.10501701813432684,0.10501701813433328,184,134.3079890283349,39.098541723950035,False,False,False,True
test,2d1,garnet,Li5.5La3Nb1.75Y0.25O12,"{""La"": 3.0, ""Li"": 5.5, ""Nb"": 1.75, ""O"": 12.0, ""Y"": 0.25}",/content/obelix_composition_audit/combined_option_a_spectra/test/2d1/2d1_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2d1/relaxed_2d1.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2d1/ordered_adaptive_2d1.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,WARN_SHORT_DISTANCE,pymatgen_structure,Li44 La24 Y2 Nb14 O96,Li22La12YNb7O48,180,2181.1676834495215,12.117598241386231,5.065418611929309,0.8018261820559764,WARN_SHORT_DISTANCE,True,0,0,0,0,PASS,8.0,8.0,8.0,8,0.0,La;Nb;O,0.0,0.0,0.0,0.0,0,0,0.0,44.0,44.0,0.0,0.0,0.0,,,"{""La"": 24.0, ""Li"": 44.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}","{""La"": 24.0, ""Li"": 44.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}","{""La"": 0.0, ""Li"": 0.0, ""Nb"": 0.0, ""O"": 0.0, ""Y"": 0.0}","{""La"": 0.0, ""Li"": 0.0, ""Nb"": 0.0, ""O"": 0.0, ""Y"": 0.0}","{""La"": 0.0, ""Li"": 0.0, ""Nb"": 0.0, ""O"": 0.0, ""Y"": 0.0}","{""La"": true, ""Li"": true, ""Nb"": true, ""O"": true, ""Y"": true}","{""La"": true, ""Li"": true, ""Nb"": true, ""O"": true, ""Y"": true}",neutral_assignment_found,"{""La"": 3.0, ""Li"": 1.0, ""Nb"": 5.0, ""O"": -2.0, ""Y"": 3.0}",pymatgen_structure,Li44 La24 Y2 Nb14 O96,Li22La12YNb7O48,"{""La"": 24.0, ""Li"": 44.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}",True,0.0,0.0,0.0,PASS,0.0,201,-53.42612688996765,588.7800562979386,3.2110309159395456,3.2110309159396024,31,618.1848133249713,158.5939349205775,True,True,True,True
test,2r7,molybdates,Li3Cr(MoO4)3,"{""Cr"": 1.0, ""Li"": 3.0, ""Mo"": 3.0, ""O"": 12.0}",/content/obelix_composition_audit/combined_option_a_spectra/test/2r7/2r7_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7/relaxed_2r7.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7/ordered_adaptive_2r7.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,PASS,pymatgen_structure,Li12 Cr4 Mo12 O48,Li3Cr(MoO4)3,76,977.6944858423115,12.864401129504097,3.7544115220856313,1.7457413803997952,PASS,True,0,0,0,0,PASS,4.0,4.0,4.0,4,0.0,Cr;Mo;O,0.0,0.0,0.0,0.0,0,0,0.0,12.0,12.0,0.0,0.0,0.0,,,"{""Cr"": 4.0, ""Li"": 12.0, ""Mo"": 12.0, ""O"": 48.0}","{""Cr"": 4.0, ""Li"": 12.0, ""Mo"": 12.0, ""O"": 48.0}","{""Cr"": 0.0, ""Li"": 0.0, ""Mo"": 0.0, ""O"": 0.0}","{""Cr"": 0.0, ""Li"": 0.0, ""Mo"": 0.0, ""O"": 0.0}","{""Cr"": 0.0, ""Li"": 0.0, ""Mo"": 0.0, ""O"": 0.0}","{""Cr"": true, ""Li"": true, ""Mo"": true, ""O"": true}","{""Cr"": true, ""Li"": true, ""Mo"": true, ""O"": true}",neutral_assignment_found,"{""Cr"": 3.0, ""Li"": 1.0, ""Mo"": 6.0, ""O"": -2.0}",pymatgen_structure,Li12 Cr4 Mo12 O48,Li3Cr(MoO4)3,"{""Cr"": 4.0, ""Li"": 12.0, ""Mo"": 12.0, ""O"": 48.0}",True,0.0,0.0,0.0,PASS,0.0,201,-3.5760849885776085,30.687988493310723,0.17132036740944168,0.17132036740945011,180,223.30457871629017,35.98362257703289,False,False,False,True
test,2uv,Chalcogenidotetrelates,Li4SnSe4,"{""Li"": 4.0, ""Se"": 4.0, ""Sn"": 1.0}",/content/obelix_composition_audit/combined_option_a_spectra/test/2uv/2uv_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv/relaxed_2uv.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv/ordered_adaptive_2uv.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,PASS,pymatgen_structure,Li16 Sn4 Se16,Li4SnSe4,36,847.604596034973,23.544572112082584,3.6228706767276893,2.552991429313468,PASS,True,0,0,0,0,PASS,4.0,4.0,4.0,4,0.0,Sn;Se,0.0,0.0,0.0,0.0,0,0,0.0,16.0,16.0,0.0,0.0,0.0,,,"{""Li"": 16.0, ""Se"": 16.0, ""Sn"": 4.0}","{""Li"": 16.0, ""Se"": 16.0, ""Sn"": 4.0}","{""Li"": 0.0, ""Se"": 0.0, ""Sn"": 0.0}","{""Li"": 0.0, ""Se"": 0.0, ""Sn"": 0.0}","{""Li"": 0.0, ""Se"": 0.0, ""Sn"": 0.0}","{""Li"": true, ""Se"": true, ""Sn"": true}","{""Li"": true, ""Se"": true, ""Sn"": true}",neutral_assignment_found,"{""Li"": 1.0, ""Se"": -2.0, ""Sn"": 4.0}",pymatgen_structure,Li16 Sn4 Se16,Li4SnSe4,"{""Li"": 16.0, ""Se"": 16.0, ""Sn"": 4.0}",True,0.0,0.0,0.0,PASS,0.0,201,-1.0760782331335723,12.643587068617355,0.06859832650875462,0.06859832650875752,185,110.79544927145515,48.549885560500314,False,False,False,True
test,3rh,garnet,Li6.5La3Nb1.25Y0.75O12,"{""La"": 3.0, ""Li"": 6.5, ""Nb"": 1.25, ""O"": 12.0, ""Y"": 0.75}",/content/obelix_composition_audit/combined_option_a_spectra/test/3rh/3rh_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/3rh/relaxed_3rh.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/3rh/ordered_adaptive_3rh.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,WARN_SHORT_DISTANCE,pymatgen_structure,Li52 La24 Y6 Nb10 O96,Li26La12Y3Nb5O48,188,2221.6486685284817,11.817280151747243,5.002663924723477,0.8041457316154077,WARN_SHORT_DISTANCE,True,0,0,0,0,PASS,8.0,8.0,8.0,8,0.0,La;Nb;O,0.0,0.0,0.0,0.0,0,0,0.0,52.0,52.0,0.0,0.0,0.0,,,"{""La"": 24.0, ""Li"": 52.0, ""Nb"": 10.0, ""O"": 96.0, ""Y"": 6.0}","{""La"": 24.0, ""Li"": 52.0, ""Nb"": 10.0, ""O"": 96.0, ""Y"": 6.0}","{""La"": 0.0, ""Li"": 0.0, ""Nb"": 0.0, ""O"": 0.0, ""Y"": 0.0}","{""La"": 0.0, ""Li"": 0.0, ""Nb"": 0.0, ""O"": 0.0, ""Y"": 0.0}","{""La"": 0.0, ""Li"": 0.0, ""Nb"": 0.0, ""O"": 0.0, ""Y"": 0.0}","{""La"": true, ""Li"": true, ""Nb"": true, ""O"": true, ""Y"": true}","{""La"": true, ""Li"": true, ""Nb"": true, ""O"": true, ""Y"": true}",neutral_assignment_found,"{""La"": 3.0, ""Li"": 1.0, ""Nb"": 5.0, ""O"": -2.0, ""Y"": 3.0}",pymatgen_structure,Li52 La24 Y6 Nb10 O96,Li26La12Y3Nb5O48,"{""La"": 24.0, ""Li"": 52.0, ""Nb"": 10.0, ""O"": 96.0, ""Y"": 6.0}",True,0.0,0.0,0.0,PASS,0.0,201,-53.04730494745677,584.6675133860954,3.1885740916677605,3.188574091667874,31,550.0089488667089,151.4085497018052,True,True,True,True
test,4ie,garnet,Li6.05Ga0.25La3Zr2O11.8F0.2,"{""F"": 0.2, ""Ga"": 0.25, ""La"": 3.0, ""Li"": 6.05, ""O"": 11.8, ""Zr"": 2.0}",/content/obelix_composition_audit/combined_option_a_spectra/test/4ie/4ie_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4ie/relaxed_4ie.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4ie/ordered_adaptive_4ie.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,FAIL_GENERAL_STOICHIOMETRY,pymatgen_structure,Li47 La24 Zr16 Ga5 O94 F2,Li47La24Zr16Ga5(O47F)2,188,2272.8399649111425,12.089574281442248,5.121584125993662,0.8032854831286746,WARN_SHORT_DISTANCE,True,0,0,0,0,FAIL_GENERAL_STOICHIOMETRY,8.0,7.966101694915253,8.0,8,0.03389830508474656,La;Zr;O,1.5,1.5,3.0,3.0,1,1,0.017920737832161446,48.4,47.0,-1.3999999999999986,1.3999999999999986,-0.028925619834710717,,,"{""F"": 1.6, ""Ga"": 2.0, ""La"": 24.0, ""Li"": 48.4, ""O"": 94.4, ""Zr"": 16.0}","{""F"": 2.0, ""Ga"": 5.0, ""La"": 24.0, ""Li"": 47.0, ""O"": 94.0, ""Zr"": 16.0}","{""F"": 0.4, ""Ga"": 3.0, ""La"": 0.0, ""Li"": -1.4, ""O"": -0.4, ""Zr"": 0.0}","{""F"": 0.4, ""Ga"": 3.0, ""La"": 0.0, ""Li"": 1.4, ""O"": 0.4, ""Zr"": 0.0}","{""F"": 0.25, ""Ga"": 1.5, ""La"": 0.0, ""Li"": 0.02892562, ""O"": 0.00423729, ""Zr"": 0.0}","{""F"": true, ""Ga"": false, ""La"": true, ""Li"": true, ""O"": true, ""Zr"": true}","{""F"": true, ""Ga"": false, ""La"": true, ""Li"": true, ""O"": true, ""Zr"": true}",error,Composition Li47 La24 Zr16 Ga5 O94 F2 cannot accommodate max_sites setting!,pymatgen_structure,Li47 La24 Zr16 Ga5 O94 F2,Li47La24Zr16Ga5(O47F)2,"{""F"": 2.0, ""Ga"": 5.0, ""La"": 24.0, ""Li"": 47.0, ""O"": 94.0, ""Zr"": 16.0}",True,0.0,0.0,0.0,FAIL_GENERAL_STOICHIOMETRY,-0.028925619834710717,201,-51.02891792442056,562.4218066930615,3.06725362308741,3.067253623087538,33,559.9223867738366,137.9329864885912,True,True,True,True
test,4p7,antiperovskite,Li3ClO,"{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}",/content/obelix_composition_audit/combined_option_a_spectra/test/4p7/4p7_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7/relaxed_4p7.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7/ordered_adaptive_4p7.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,PASS,pymatgen_structure,Li3 Cl1 O1,Li3ClO,5,58.700146054985275,11.740029210997054,2.044562637193436,1.9431921509337935,PASS,True,0,0,0,0,PASS,1.0,1.0,1.0,1,0.0,Cl;O,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,,,"{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}","{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}","{""Cl"": 0.0, ""Li"": 0.0, ""O"": 0.0}","{""Cl"": 0.0, ""Li"": 0.0, ""O"": 0.0}","{""Cl"": 0.0, ""Li"": 0.0, ""O"": 0.0}","{""Cl"": true, ""Li"": true, ""O"": true}","{""Cl"": true, ""Li"": true, ""O"": true}",neutral_assignment_found,"{""Cl"": -1.0, ""Li"": 1.0, ""O"": -2.0}",pymatgen_structure,Li3 Cl1 O1,Li3ClO,"{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}",True,0.0,0.0,0.0,PASS,0.0,201,-2.829742701507762,21.55975104201364,0.12194746871760742,0.12194746871761808,177,14.75427541007305,8.855016301819362,False,False,False,True
test,7cr,Borophosphates,Li2NaBP2O8,"{""B"": 1.0, ""Li"": 2.0, ""Na"": 1.0, ""O"": 8.0, ""P"": 2.0}",/content/obelix_composition_audit/combined_option_a_spectra/test/7cr/7cr_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr/relaxed_7cr.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr/ordered_adaptive_7cr.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,PASS,pymatgen_structure,Na2 Li4 B2 P4 O16,NaLi2B(PO4)2,28,309.0542286473974,11.037651023121336,2.5535092471620175,1.4704183341475368,PASS,True,0,0,0,0,PASS,2.0,2.0,2.0,2,0.0,Na;B;P;O,0.0,0.0,0.0,0.0,0,0,0.0,4.0,4.0,0.0,0.0,0.0,,,"{""B"": 2.0, ""Li"": 4.0, ""Na"": 2.0, ""O"": 16.0, ""P"": 4.0}","{""B"": 2.0, ""Li"": 4.0, ""Na"": 2.0, ""O"": 16.0, ""P"": 4.0}","{""B"": 0.0, ""Li"": 0.0, ""Na"": 0.0, ""O"": 0.0, ""P"": 0.0}","{""B"": 0.0, ""Li"": 0.0, ""Na"": 0.0, ""O"": 0.0, ""P"": 0.0}","{""B"": 0.0, ""Li"": 0.0, ""Na"": 0.0, ""O"": 0.0, ""P"": 0.0}","{""B"": true, ""Li"": true, ""Na"": true, ""O"": true, ""P"": true}","{""B"": true, ""Li"": true, ""Na"": true, ""O"": true, ""P"": true}",neutral_assignment_found,"{""B"": 3.0, ""Li"": 1.0, ""Na"": 1.0, ""O"": -2.0, ""P"": 5.0}",pymatgen_structure,Na2 Li4 B2 P4 O16,NaLi2B(PO4)2,"{""B"": 2.0, ""Li"": 4.0, ""Na"": 2.0, ""O"": 16.0, ""P"": 4.0}",True,0.0,0.0,0.0,PASS,0.0,201,-4.875590744076707,40.468921370589214,0.22672256057332962,0.22672256057334295,179,84.41893840966367,12.56765190994649,False,False,False,True
