split,ID,family,intended_formula_OBELiX,production_formula,audit_status,priority_rank,reasons,Li_relative_error,composition_total_variation_error,median_native_spacing_THz,max_plotted_frequency_THz,true_min_eigenfrequency_THz,production_structure_file,spectrum_file
test,0ii,perovskites,Li0.02Na0.48La0.5Nb2O6,Nb2 O6,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.11111111111111113,0.14998762683564948,28.16583073467676,,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/0ii/relaxed_0ii.cif,/content/obelix_composition_audit/combined_option_a_spectra/test/0ii/0ii_combined_Total_DOS_Li_PDOS.csv
train,5tl,perovskites,La0.62Li0.14TiO3,La1 Ti2 O6,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.04855275443510737,0.16305920528793205,27.369197907694645,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/5tl/relaxed_5tl.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/5tl/5tl_combined_Total_DOS_Li_PDOS.csv
train,b4c,thio-LISICON,Li4SiS4,Si2 S8,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.4444444444444445,0.11942616304070164,21.70809829777489,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/b4c/relaxed_b4c.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/b4c/b4c_combined_Total_DOS_Li_PDOS.csv
train,cy2,perovskites,La0.64Li0.08TiO3,La1 Ti2 O6,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.04143126177024475,0.16305692359667034,27.368832411728576,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/cy2/relaxed_cy2.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/cy2/cy2_combined_Total_DOS_Li_PDOS.csv
train,hta,perovskites,La0.565Li0.305TiO3,La1 Ti2 O6,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.06753365274925846,0.16305779165913847,27.36894330124109,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/hta/relaxed_hta.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/hta/hta_combined_Total_DOS_Li_PDOS.csv
train,hx7,antiperovskite,Li2(OH)Br,Li2 Br1 O1,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,0.0,0.19999999999999998,0.08686035288372551,15.76945000287203,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/hx7/relaxed_hx7.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/hx7/hx7_combined_Total_DOS_Li_PDOS.csv
train,s3h,perovskites,La0.5Li0.5TiO3,La1 Ti2 O6,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.09999999999999998,0.16305707448278994,27.36914751884977,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/s3h/relaxed_s3h.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/s3h/s3h_combined_Total_DOS_Li_PDOS.csv
train,sib,perovskites,La0.63Li0.11(Mg0.5W0.5)O3,La3 Mg2 W2 O12,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.02498334443704195,0.1410574887886682,25.659305914362267,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/sib/relaxed_sib.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/sib/sib_combined_Total_DOS_Li_PDOS.csv
train,u2y,perovskites,La0.595Li0.215TiO3,La1 Ti2 O6,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.05728805728805725,0.16291901055702152,27.35269274559248,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/u2y/relaxed_u2y.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/u2y/u2y_combined_Total_DOS_Li_PDOS.csv
train,u8r,oxides,Ba3LiTa5ZrSi4O26,Ba3 Zr1 Ta5 Si4 O26,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,-1.0,0.024999999999999963,0.21032403500174368,38.28301173429895,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/u8r/relaxed_u8r.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/u8r/u8r_combined_Total_DOS_Li_PDOS.csv
train,z16,argyrodites,Li6P(S4.9Se0.1)Br,Li24 P4 S20 Br4,FAIL_ELEMENT_SET,1,FAIL_ELEMENT_SET;MISSING_EIGEN_FREQUENCIES,0.0,0.007692307692307679,0.10606124797777738,19.44456203065705,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/z16/relaxed_z16.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/z16/z16_combined_Total_DOS_Li_PDOS.csv
train,9yt,argyrodites,Li6PS5Cl0.25Br0.75,Li46 P4 S20 Br3 Cl1,FAIL_LI_STOICHIOMETRY,2,FAIL_LI_STOICHIOMETRY;COARSE_DOS_GRID;VERY_HIGH_MAX_FREQUENCY;MISSING_EIGEN_FREQUENCIES,0.9166666666666666,0.16008316008316006,3.123793066255331,572.7884999002608,,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/9yt/relaxed_9yt.cif,/content/obelix_composition_audit/combined_option_a_spectra/train/9yt/9yt_combined_Total_DOS_Li_PDOS.csv
