split,ID,family,intended_formula_OBELiX,source_role,source_file,production_file,source_formula,production_formula,source_counts_json,production_counts_json,source_partial_or_mixed_sites,source_mixed_species_sites,source_underoccupied_sites,source_to_production_status,source_to_OBELiX_status,production_to_OBELiX_status,source_to_production_max_absolute_count_change,source_to_production_element_set_preserved,source_to_production_Li_count_error,vacancy_or_partial_occupancy_preservation,source_to_production_delta_json
test,0ii,perovskites,Li0.02Na0.48La0.5Nb2O6,fallback_unverified_source_candidate,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/0ii/ordered_sqs_like_0ii.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/0ii/relaxed_0ii.cif,Nb2 O6,Nb2 O6,"{""Nb"": 2.0, ""O"": 6.0}","{""Nb"": 2.0, ""O"": 6.0}",0,0,0,UNVERIFIED_SOURCE_ROLE,FAIL_ELEMENT_SET,FAIL_ELEMENT_SET,0.0,True,0.0,source_role_unverified,"{""Nb"": 0.0, ""O"": 0.0}"
test,1ty,nan,Li4GeS3Se,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty/ordered_adaptive_1ty.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty/relaxed_1ty.cif,Li16 Ge4 Se4 S12,Li16 Ge4 Se4 S12,"{""Ge"": 4.0, ""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0}","{""Ge"": 4.0, ""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,PASS,PASS,0.0,True,0.0,exactly_preserved_through_relaxation,"{""Ge"": 0.0, ""Li"": 0.0, ""S"": 0.0, ""Se"": 0.0}"
test,24k,argyrodites,Li7Ge3PS12,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k/ordered_adaptive_24k.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k/relaxed_24k.cif,Li14 Ge6 P2 S24,Li14 Ge6 P2 S24,"{""Ge"": 6.0, ""Li"": 14.0, ""P"": 2.0, ""S"": 24.0}","{""Ge"": 6.0, ""Li"": 14.0, ""P"": 2.0, ""S"": 24.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,PASS,PASS,0.0,True,0.0,exactly_preserved_through_relaxation,"{""Ge"": 0.0, ""Li"": 0.0, ""P"": 0.0, ""S"": 0.0}"
test,2d1,garnet,Li5.5La3Nb1.75Y0.25O12,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2d1/ordered_adaptive_2d1.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2d1/relaxed_2d1.cif,Li44 La24 Y2 Nb14 O96,Li44 La24 Y2 Nb14 O96,"{""La"": 24.0, ""Li"": 44.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}","{""La"": 24.0, ""Li"": 44.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,PASS,PASS,0.0,True,0.0,exactly_preserved_through_relaxation,"{""La"": 0.0, ""Li"": 0.0, ""Nb"": 0.0, ""O"": 0.0, ""Y"": 0.0}"
test,2r7,molybdates,Li3Cr(MoO4)3,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7/ordered_adaptive_2r7.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7/relaxed_2r7.cif,Li12 Cr4 Mo12 O48,Li12 Cr4 Mo12 O48,"{""Cr"": 4.0, ""Li"": 12.0, ""Mo"": 12.0, ""O"": 48.0}","{""Cr"": 4.0, ""Li"": 12.0, ""Mo"": 12.0, ""O"": 48.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,PASS,PASS,0.0,True,0.0,exactly_preserved_through_relaxation,"{""Cr"": 0.0, ""Li"": 0.0, ""Mo"": 0.0, ""O"": 0.0}"
test,2uv,Chalcogenidotetrelates,Li4SnSe4,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv/ordered_adaptive_2uv.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv/relaxed_2uv.cif,Li16 Sn4 Se16,Li16 Sn4 Se16,"{""Li"": 16.0, ""Se"": 16.0, ""Sn"": 4.0}","{""Li"": 16.0, ""Se"": 16.0, ""Sn"": 4.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,PASS,PASS,0.0,True,0.0,exactly_preserved_through_relaxation,"{""Li"": 0.0, ""Se"": 0.0, ""Sn"": 0.0}"
test,3rh,garnet,Li6.5La3Nb1.25Y0.75O12,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/3rh/ordered_adaptive_3rh.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/3rh/relaxed_3rh.cif,Li52 La24 Y6 Nb10 O96,Li52 La24 Y6 Nb10 O96,"{""La"": 24.0, ""Li"": 52.0, ""Nb"": 10.0, ""O"": 96.0, ""Y"": 6.0}","{""La"": 24.0, ""Li"": 52.0, ""Nb"": 10.0, ""O"": 96.0, ""Y"": 6.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,PASS,PASS,0.0,True,0.0,exactly_preserved_through_relaxation,"{""La"": 0.0, ""Li"": 0.0, ""Nb"": 0.0, ""O"": 0.0, ""Y"": 0.0}"
test,4ie,garnet,Li6.05Ga0.25La3Zr2O11.8F0.2,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4ie/ordered_adaptive_4ie.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4ie/relaxed_4ie.cif,Li47 La24 Zr16 Ga5 O94 F2,Li47 La24 Zr16 Ga5 O94 F2,"{""F"": 2.0, ""Ga"": 5.0, ""La"": 24.0, ""Li"": 47.0, ""O"": 94.0, ""Zr"": 16.0}","{""F"": 2.0, ""Ga"": 5.0, ""La"": 24.0, ""Li"": 47.0, ""O"": 94.0, ""Zr"": 16.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,FAIL_GENERAL_STOICHIOMETRY,FAIL_GENERAL_STOICHIOMETRY,0.0,True,0.0,exactly_preserved_through_relaxation,"{""F"": 0.0, ""Ga"": 0.0, ""La"": 0.0, ""Li"": 0.0, ""O"": 0.0, ""Zr"": 0.0}"
test,4p7,antiperovskite,Li3ClO,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7/ordered_adaptive_4p7.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7/relaxed_4p7.cif,Li3 Cl1 O1,Li3 Cl1 O1,"{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}","{""Cl"": 1.0, ""Li"": 3.0, ""O"": 1.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,PASS,PASS,0.0,True,0.0,exactly_preserved_through_relaxation,"{""Cl"": 0.0, ""Li"": 0.0, ""O"": 0.0}"
test,7cr,Borophosphates,Li2NaBP2O8,ordered_pre_relaxation_structure,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr/ordered_adaptive_7cr.cif,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr/relaxed_7cr.cif,Na2 Li4 B2 P4 O16,Na2 Li4 B2 P4 O16,"{""B"": 2.0, ""Li"": 4.0, ""Na"": 2.0, ""O"": 16.0, ""P"": 4.0}","{""B"": 2.0, ""Li"": 4.0, ""Na"": 2.0, ""O"": 16.0, ""P"": 4.0}",0,0,0,PASS_EXACT_COUNT_PRESERVATION,PASS,PASS,0.0,True,0.0,exactly_preserved_through_relaxation,"{""B"": 0.0, ""Li"": 0.0, ""Na"": 0.0, ""O"": 0.0, ""P"": 0.0}"
