split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,compact_descriptors,,totalDOS_positive_area,,,,214,none,0.2410693821507996,0.15597247,0.32068774,0.00037296165875077197,0.0005387223959733373,0.0001999600079984003,0.006798640271945611,0.21795925727374507,0.11237934,0.32237557,0.001334492543239976,0.0016522288630590179,0.0013997200559888023,0.015796840631873626,0.40594563781094584,0.001996007984031936,0.001996007984031936,0.34396307555500566,0.03195110171442428,0.037896653746046005,0.005945552031621726
train,compact_descriptors,,totalDOS_centroid_THz,,,,214,none,-0.3149771028061251,-0.46264392,-0.17495777,2.5896724658005295e-06,4.8093917222009834e-06,0.0001999600079984003,0.0001999600079984003,-0.43821277092986416,-0.54672724,-0.3242896,1.871917617301893e-11,4.0558215041541014e-11,0.0001999600079984003,0.0001999600079984003,0.3508069420262463,0.001996007984031936,0.001996007984031936,0.436234844439121,0.056328148977309755,0.14208028153648533,0.08575213255917558
train,compact_descriptors,,totalDOS_std_THz,,,,214,none,-0.21132360268462008,-0.3743456,-0.08357205,0.0018805676583623096,0.0025734083746010556,0.001799640071985603,0.029394121175764846,-0.4156561567779252,-0.5234348,-0.30486125,2.391546243286194e-10,4.14534682169607e-10,0.0001999600079984003,0.0001999600079984003,0.3909111586447942,0.001996007984031936,0.001996007984031936,0.33496472694005053,0.010026751173631832,0.033631160910134406,0.023604409736502574
train,compact_descriptors,,totalDOS_median_THz,,,,214,none,-0.3471973905023236,-0.48328066,-0.21518555,1.8644379995916162e-07,4.847538798938202e-07,0.0001999600079984003,0.0001999600079984003,-0.4684565223544411,-0.57501596,-0.35618952,4.5189293412584605e-13,1.8477302223660836e-12,0.0001999600079984003,0.0001999600079984003,0.34406012944584674,0.001996007984031936,0.001996007984031936,0.4506702133233358,0.08209906948450241,0.19911761350827273,0.11701854402377032
train,compact_descriptors,,totalDOS_q05_THz,,,,214,none,-0.4121482257753677,-0.51317334,-0.30012956,3.4953902007374004e-10,2.27200363047931e-09,0.0001999600079984003,0.0001999600079984003,-0.4460144678669891,-0.5578517,-0.32602528,7.416871004269974e-12,1.7530786010092668e-11,0.0001999600079984003,0.0001999600079984003,0.214524313634318,0.001996007984031936,0.001996007984031936,0.42800604446717627,0.14640186293959057,0.1301659613474646,-0.016235901592125956
train,compact_descriptors,,totalDOS_q95_THz,,,,214,none,-0.27527625045938636,-0.4232052,-0.14419508,4.4551394350418945e-05,7.239601581943078e-05,0.0001999600079984003,0.0005998800239952009,-0.45284332658376436,-0.5602313,-0.3394286,3.2344552067252235e-12,8.409583537485582e-12,0.0001999600079984003,0.0001999600079984003,0.3434334459502595,0.001996007984031936,0.001996007984031936,0.389340219358215,0.039838192920429116,0.07826499022779143,0.038426797307362315
train,compact_descriptors,,totalDOS_bandwidth90_THz,,,,214,none,-0.24734343421054625,-0.3990765,-0.11828009,0.00025811386905885843,0.00039476238797237173,0.0001999600079984003,0.004399120175964807,-0.4339477207471971,-0.54097605,-0.32035035,3.074670623740467e-11,6.149341247480934e-11,0.0001999600079984003,0.0001999600079984003,0.33326120333304354,0.001996007984031936,0.001996007984031936,0.35596954349677595,0.028034057882241337,0.05262646455087805,0.024592406668636713
train,compact_descriptors,,totalDOS_peak_THz,,,,214,none,-0.11372156276896499,-0.26579514,0.018413885,0.09706611368113158,0.10972691111780092,0.09378124375124974,0.6444711057788443,-0.04944076557626509,-0.17793058,0.0869238,0.4718574396153944,0.5111788929166772,0.46530693861227757,0.998000399920016,0.11051662094868897,0.007984031936127744,0.029940119760479042,0.17105178214083894,-0.009930662987915895,-0.010207024069170068,-0.0002763610812541728
train,compact_descriptors,,totalDOS_spectral_entropy,,,,214,none,-0.3000061181907005,-0.4061835,-0.18629095,7.957764181078116e-06,1.3793457913868736e-05,0.0001999600079984003,0.0003999200159968006,-0.34951602278319993,-0.45647612,-0.22781944,1.524798039531728e-07,2.0865657383065752e-07,0.0001999600079984003,0.0001999600079984003,0.3346235139853362,0.001996007984031936,0.001996007984031936,0.4027735732649826,0.07279202338495339,0.17938847477346742,0.10659645138851404
train,compact_descriptors,,totalDOS_fraction_below_2THz,,,,214,none,0.31550356456695566,0.23740709,0.44339758,2.486625825828249e-06,4.8093917222009834e-06,0.0001999600079984003,0.0001999600079984003,0.46383554080777956,0.34556487,0.57448,8.176253197147101e-13,2.657282289072808e-12,0.0001999600079984003,0.0001999600079984003,0.35154586892549267,0.001996007984031936,0.001996007984031936,0.4304625628091019,0.07277381663083604,0.09767872204610184,0.0249049054152658
