split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,conditional_total_shape,1.0,totalDOS_000.00_001.00THz,0.0,1.0,0.5,214,none,0.001131024265970102,-0.42118898,0.41533622,0.9868765405777469,0.9965667418666401,0.9822035592881424,1.0,0.14847415289389018,0.0023446367,0.28820962,0.0299071770472022,0.09444371699116484,0.03119376124775045,0.7036592681463707,0.02967930846862865,0.16766467065868262,0.998003992015968,0.32055965284546906,-0.06942604852580758,-0.22613309108657442,-0.15670704256076684
train,conditional_total_shape,1.0,totalDOS_001.00_002.00THz,1.0,2.0,1.5,214,none,-0.3350946989597628,-0.8108935,0.47555557,5.189449847723567e-07,1.8315705344906705e-06,0.009798040391921616,0.054789042191561686,0.01932770279577924,-0.12899238,0.1761793,0.7786258738691407,0.8386147839576013,0.7738452309538092,1.0,0.029310025960722186,0.19560878243512975,1.0,0.34133628496176377,-0.6699957410305089,-1.6029059664202547,-0.9329102253897459
train,conditional_total_shape,1.0,totalDOS_002.00_003.00THz,2.0,3.0,2.5,214,none,-0.2644547679863322,-0.79444325,0.49989986,9.005756701822799e-05,0.00021613816084374717,0.010797840431913617,0.07858428314337132,-0.018332205797270035,-0.1711957,0.14039652,0.7897549948338636,0.8386147839576013,0.8018396320735853,1.0,0.062108720814019414,0.031936127744510975,0.7504990019960079,0.36097492119115865,-0.7012134082182366,-1.368420692026345,-0.6672072838081085
train,conditional_total_shape,1.0,totalDOS_003.00_004.00THz,3.0,4.0,3.5,214,none,0.29196340396976095,-0.12549879,0.5169619,1.4183611950622e-05,3.700072682770956e-05,0.003999200159968006,0.06938612277544491,0.059808798454714374,-0.08398491,0.2054999,0.3839821019052404,0.5907416952388314,0.3903219356128774,1.0,0.0,1.0,1.0,0.22406308389929183,0.012665735129631872,-0.08334123564491436,-0.09600697077454623
train,conditional_total_shape,1.0,totalDOS_004.00_005.00THz,4.0,5.0,4.5,214,none,0.1929987290581203,-0.59375495,0.72439414,0.004604406999681125,0.00812542411708434,0.015396920615876825,0.16396720655868827,-0.14017099773166275,-0.2868552,0.010470312,0.04049729542060628,0.12149188626181885,0.039192161567686463,0.8018396320735853,0.043401661916278034,0.11377245508982035,0.9800399201596807,0.35275128846457743,-0.6819267142177787,-1.207156038599567,-0.5252293243817883
train,conditional_total_shape,1.0,totalDOS_005.00_006.00THz,5.0,6.0,5.5,214,none,0.5734379098974142,-0.05655666,0.77951944,4.167758883313407e-20,4.52605562883872e-19,0.0001999600079984003,0.009598080383923215,0.061303880662807536,-0.09113292,0.21258841,0.3721862369960097,0.5907416952388314,0.3705258948210358,1.0,0.06907403469477469,0.027944111776447105,0.6207584830339321,0.34367805283365477,0.15712738864978226,0.0003662548252083564,-0.1567611338245739
train,conditional_total_shape,1.0,totalDOS_006.00_007.00THz,6.0,7.0,6.5,214,none,0.7157185816246616,0.26520717,0.87569815,6.764351983694596e-35,4.058611190216758e-33,0.0001999600079984003,0.0001999600079984003,0.16737635113003602,0.023000257,0.31006557,0.01422688961216345,0.06488760037788927,0.015396920615876825,0.45650869826034796,0.1141327135675656,0.001996007984031936,0.03792415169660679,0.42273384310987994,0.4144478541944061,0.16227894928555986,-0.25216890490884625
train,conditional_total_shape,1.0,totalDOS_007.00_008.00THz,7.0,8.0,7.5,214,none,0.11671736850080557,-0.22691412,0.4621114,0.0885205401444547,0.12645791449207816,0.08458308338332333,0.5904819036192761,0.20133590064621593,0.047565352,0.34362775,0.003092457307588848,0.026506776922190126,0.002599480103979204,0.13597280543891221,0.03518487862211028,0.1437125748502994,0.998003992015968,0.31960936157954806,-0.13675677543470233,-0.20412869492737395,-0.06737191949267163
train,conditional_total_shape,1.0,totalDOS_008.00_009.00THz,8.0,9.0,8.5,214,none,-0.33587657355258643,-0.6323394,0.27907646,4.863705583045069e-07,1.823889593641901e-06,0.003999200159968006,0.05378924215156969,0.07971384053068684,-0.069286145,0.23445597,0.2455882803042604,0.43339108288987127,0.23715256948610278,1.0,0.05518424897531027,0.04790419161676647,0.8882235528942116,0.2920612019949109,-0.004115495989626794,-0.06861112232473121,-0.06449562633510442
train,conditional_total_shape,1.0,totalDOS_009.00_010.00THz,9.0,10.0,9.5,214,none,-0.3797420056299833,-0.66190904,-0.11592368,9.521537017601211e-09,4.3945555465851745e-08,0.004199160167966407,0.041391721655668866,-0.18173820143202182,-0.320755,-0.04256415,0.007692842789123895,0.05040230010160073,0.007398520295940812,0.29254149170165966,0.0,1.0,1.0,0.3380135041238352,0.13577668831890666,0.08469854717566283,-0.05107814114324383
train,conditional_total_shape,1.0,totalDOS_010.00_011.00THz,10.0,11.0,10.5,214,none,-0.5344117909926247,-0.7050764,-0.04746446,3.338104679110291e-17,2.225403119406861e-16,0.0005998800239952009,0.010197960407918417,-0.12453079704044742,-0.26278546,0.021236382,0.06904232798947647,0.19726379425564708,0.07158568286342731,0.9332133573285343,0.0,1.0,1.0,0.3343542833455696,0.15924476031425183,0.20991117500370826,0.05066641468945643
train,conditional_total_shape,1.0,totalDOS_011.00_012.00THz,11.0,12.0,11.5,214,none,-0.6150853716040734,-0.8313241,-0.1297366,1.1571784786954762e-23,2.314356957390952e-22,0.0001999600079984003,0.009598080383923215,-0.20552604914424605,-0.3434117,-0.06848302,0.0025169333585971544,0.026506776922190126,0.002999400119976005,0.11097780443911218,0.0,1.0,1.0,0.33885955968886844,0.23629246486571243,0.01105017690012855,-0.22524228796558388
train,conditional_total_shape,1.0,totalDOS_012.00_013.00THz,12.0,13.0,12.5,214,none,-0.422286940496375,-0.63302636,-0.039490577,1.1531640455637388e-10,5.765820227818694e-10,0.0001999600079984003,0.03139372125574885,-0.06569361834996067,-0.21359393,0.075998396,0.33886017077385555,0.5647669512897593,0.34493101379724056,1.0,0.0,1.0,1.0,0.2760714515149472,0.021277727992639717,-0.14766166628046817,-0.1689393942731079
train,conditional_total_shape,1.0,totalDOS_013.00_014.00THz,13.0,14.0,13.5,214,none,-0.17897736882400628,-0.5248576,0.26858434,0.008687799012949903,0.014479665021583172,0.012997400519896021,0.2001599680063987,0.08060648175075229,-0.065439805,0.22382435,0.24032431809895957,0.43339108288987127,0.2425514897020596,1.0,0.022369862780200034,0.27944111776447106,1.0,0.2696524642024724,-0.44646631246595136,-0.06888665901701296,0.3775796534489384
train,conditional_total_shape,1.0,totalDOS_014.00_015.00THz,14.0,15.0,14.5,214,none,-0.18579021511330868,-0.45233992,0.23086616,0.006415934912141464,0.01099874556367108,0.01779644071185763,0.17896420715856828,0.051642784330411945,-0.10301289,0.19977042,0.4523242587852462,0.6619379396857261,0.4573085382923415,1.0,0.0,1.0,1.0,0.2306129775505768,-0.07033056285337835,-0.19892320449674283,-0.12859264164336448
train,conditional_total_shape,1.0,totalDOS_015.00_016.00THz,15.0,16.0,15.5,214,none,-0.0783192913022765,-0.5558666,0.76377696,0.25397176795742754,0.35437921110338727,0.11457708458308338,0.9392121575684863,0.09917317423340302,-0.050217725,0.23962112,0.14821979378719033,0.3066616423183248,0.14937012597480503,0.998000399920016,0.06698577292215191,0.015968063872255488,0.656686626746507,0.35424410785099203,-3.0892526455868126,-0.4101363281273174,2.679116317459495
train,conditional_total_shape,1.0,totalDOS_016.00_017.00THz,16.0,17.0,16.5,214,none,0.373829808310136,-0.094117515,0.61249435,1.67557049126729e-08,7.18101639114553e-08,0.004199160167966407,0.04239152169566087,0.1625751903291079,0.016275268,0.29710445,0.01730336010077047,0.06488760037788927,0.01779644071185763,0.5218956208758249,0.0832827467954047,0.015968063872255488,0.32934131736526945,0.3630300232870218,-0.21227443230089094,-0.2869529248354308,-0.07467849253453984
train,conditional_total_shape,1.0,totalDOS_017.00_018.00THz,17.0,18.0,17.5,214,none,0.5729864666695198,-0.14304034,0.79496306,4.5260556288387206e-20,4.52605562883872e-19,0.0001999600079984003,0.009598080383923215,-0.08487866997682683,-0.23847854,0.07100965,0.21622505411174275,0.41670444666865747,0.21595680863827235,1.0,0.060008005620411975,0.02594810379241517,0.8023952095808383,0.37215477411058684,0.17039601589129716,0.029786860675719007,-0.14060915521557815
