split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,host_shape,1.0,paired_000.00_001.00THz,0.0,1.0,0.5,214,none,0.18341229636210857,0.13061744,0.36325172,0.007140150179434332,0.02040042908409809,0.009398120375924815,0.2575484903019396,0.40490837734605073,0.28763378,0.5201539,7.545333643120844e-10,4.527200185872507e-09,0.0001999600079984003,0.0001999600079984003,0.2393393643685826,0.001996007984031936,0.001996007984031936,0.35986061601917874,,,
train,host_shape,1.0,paired_001.00_002.00THz,1.0,2.0,1.5,214,none,0.3913666496912737,0.29687953,0.4905949,3.031194764429549e-09,4.5467921466443235e-08,0.0001999600079984003,0.0001999600079984003,0.47119431455012317,0.3661414,0.57498634,3.1668572886351855e-13,4.7502859329527786e-12,0.0001999600079984003,0.0001999600079984003,0.3612672307119338,0.001996007984031936,0.001996007984031936,0.45879021543882137,,,
train,host_shape,1.0,paired_002.00_003.00THz,2.0,3.0,2.5,214,none,0.4493842447892142,0.3465713,0.5499341,4.935934535888786e-12,2.961560721533272e-10,0.0001999600079984003,0.0001999600079984003,0.4817803626909571,0.377127,0.58522177,7.771281068780608e-14,1.5542562137561215e-12,0.0001999600079984003,0.0001999600079984003,0.44879704927115815,0.001996007984031936,0.001996007984031936,0.4855389112140309,,,
train,host_shape,1.0,paired_003.00_004.00THz,3.0,4.0,3.5,214,none,0.2748593680149598,0.15313646,0.39627048,4.580119547432462e-05,0.0002498247025872252,0.0001999600079984003,0.007998400319936013,0.37617228011560533,0.26183155,0.48555982,1.3412099459944586e-08,6.706049729972292e-08,0.0001999600079984003,0.0001999600079984003,0.20521855588833748,0.001996007984031936,0.001996007984031936,0.37240534002083847,,,
train,host_shape,1.0,paired_004.00_005.00THz,4.0,5.0,4.5,214,none,0.049956468695191526,-0.058964726,0.1559866,0.46724188724112925,0.6566200079235789,0.45930813837232554,1.0,0.10077390978140957,-0.023234315,0.22578889,0.1417503729934891,0.21807749691306016,0.13737252549490103,0.9762047590481904,0.054023057714315925,0.07385229540918163,0.7105788423153693,0.14396682816260184,,,
train,host_shape,1.0,paired_005.00_006.00THz,5.0,6.0,5.5,214,none,0.06283109595178525,-0.055039767,0.17670827,0.36036988638973577,0.5843835995509229,0.3599280143971206,1.0,0.1385142741168305,0.008422534,0.26624972,0.04295068294022517,0.09203717772905394,0.03799240151969606,0.6304739052189562,0.05913727633696508,0.03792415169660679,0.626746506986028,0.16580260181162612,,,
train,host_shape,1.0,paired_006.00_007.00THz,6.0,7.0,6.5,214,none,0.1747380082437341,0.0686077,0.27054247,0.010438374762538023,0.02846829480692188,0.011597680463907219,0.32893421315736854,0.18521234654920013,0.054560885,0.31139183,0.006585618109975498,0.016464045274938745,0.006798640271945611,0.14717056588682265,0.09368303644423337,0.005988023952095809,0.11776447105788423,0.19528042513316732,,,
train,host_shape,1.0,paired_007.00_008.00THz,7.0,8.0,7.5,214,none,0.26651274176199724,0.15494643,0.37713468,7.895612737898465e-05,0.00037064735500126937,0.0003999200159968006,0.01259748050389922,0.2730471404288416,0.14622329,0.38585263,5.162786970216701e-05,0.00018221601071353064,0.0001999600079984003,0.001999600079984003,0.061761677601543497,0.03992015968063872,0.5808383233532934,0.31551245713176673,,,
train,host_shape,1.0,paired_008.00_009.00THz,8.0,9.0,8.5,214,none,-0.012058389314235553,-0.1576154,0.12172012,0.8607871394220769,0.8904694545745623,0.8530293941211757,1.0,-0.1434256368451329,-0.2761537,-0.012804139,0.03602013399487961,0.08312338614202987,0.033393321335732855,0.5640871825634873,0.06913070911549468,0.0499001996007984,0.4431137724550898,0.21030837825922336,,,
train,host_shape,1.0,paired_009.00_010.00THz,9.0,10.0,9.5,214,none,-0.09147871284753299,-0.2301124,0.034181967,0.18247357277561438,0.35317465698506006,0.1899620075984803,0.9944011197760448,-0.19377981664466093,-0.3212985,-0.060655806,0.004438770678851263,0.0121057382150489,0.003999200159968006,0.10077984403119376,0.11989400621128521,0.001996007984031936,0.01996007984031936,0.2355289445188148,,,
train,host_shape,1.0,paired_010.00_011.00THz,10.0,11.0,10.5,214,none,-0.03905079026591854,-0.17302251,0.090801716,0.5699434667621943,0.7124293334527428,0.5824835032993402,1.0,-0.11920698863034197,-0.2443891,0.010753692,0.08188649109354942,0.16377298218709885,0.08278344331133773,0.8552289542091581,0.14217652136196124,0.001996007984031936,0.001996007984031936,0.2001335193512879,,,
