split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,li_participation,0.5,paired_000.00_000.50THz,0.0,0.5,0.25,214,none,0.11409491946632126,0.008636161,0.21176481,0.09596667060746401,0.1856404447816517,0.08858228354329134,0.9502099580083984,0.24120567988671288,0.120485336,0.3669925,0.0003700287496714932,0.000929008350239068,0.0003999200159968006,0.015796840631873626,,,,,,,
train,li_participation,0.5,paired_000.50_001.00THz,0.5,1.0,0.75,214,none,0.17679982828839141,0.07690905,0.27337396,0.009551440179554723,0.02748951076066969,0.009998000399920015,0.34813037392521495,0.29486861234877815,0.17278846,0.4160883,1.1534269268030287e-05,4.1243750715987094e-05,0.0001999600079984003,0.0003999200159968006,,,,,,,
train,li_participation,0.5,paired_001.00_001.50THz,1.0,1.5,1.25,214,none,0.15637692370889225,0.04591174,0.26028815,0.022120349702053826,0.05800447255205226,0.020995800839832032,0.5432913417316537,0.29298664823485215,0.17006479,0.41762435,1.3190796416579348e-05,4.500888962673395e-05,0.0001999600079984003,0.0003999200159968006,,,,,,,
train,li_participation,0.5,paired_001.50_002.00THz,1.5,2.0,1.75,214,none,0.13773540796349135,0.019472552,0.25056827,0.04414649735221359,0.10214287622669027,0.04519096180763847,0.7578484303139372,0.3271487077560016,0.20406406,0.44606683,9.928178311335422e-07,4.8813543364065825e-06,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,0.5,paired_002.00_002.50THz,2.0,2.5,2.25,214,none,0.20142501797645357,0.081754364,0.32397926,0.0030790694723211195,0.009316158916253644,0.002999400119976005,0.20415916816636673,0.4227508919352746,0.30476186,0.5308711,1.0951313469946389e-10,1.1747772631397035e-09,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,0.5,paired_002.50_003.00THz,2.5,3.0,2.75,214,none,0.2317744648190443,0.10944475,0.36339423,0.000632307990193693,0.00227244668634903,0.0007998400319936012,0.11397720455908818,0.4463220023673768,0.33983085,0.5516323,7.147616022131096e-12,1.0542733632643366e-10,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,0.5,paired_003.00_003.50THz,3.0,3.5,3.25,214,none,0.28289532967145353,0.16129808,0.40998313,2.6657937331195997e-05,0.00017475758917117376,0.0001999600079984003,0.008598280343931213,0.45410960907838843,0.34588692,0.5555281,2.7674698872311962e-12,4.665163524189731e-11,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,0.5,paired_003.50_004.00THz,3.5,4.0,3.75,214,none,0.38111665816185236,0.27448544,0.48258096,8.3354848623392e-09,1.0928746819511395e-07,0.0001999600079984003,0.0001999600079984003,0.4913261845735077,0.38746783,0.5886595,2.098959154958688e-14,4.953543605702504e-13,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,0.5,paired_004.00_004.50THz,4.0,4.5,4.25,214,none,0.3972365326878777,0.29530293,0.49644718,1.6717246420803488e-09,2.818050110935445e-08,0.0001999600079984003,0.0001999600079984003,0.513260990920878,0.41207477,0.6079554,8.844620160996291e-16,2.609162947493906e-14,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,0.5,paired_004.50_005.00THz,4.5,5.0,4.75,214,none,0.4303014425281107,0.33515084,0.51979226,4.6738681302013535e-11,1.1030328787275194e-09,0.0001999600079984003,0.0001999600079984003,0.5226334417603813,0.4271423,0.61597264,2.1293101067909563e-16,1.2562929630066641e-14,0.0001999600079984003,0.0001999600079984003,,,,,,,
