split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,li_shape,1.0,LiPDOS_000.00_001.00THz,0.0,1.0,0.5,214,none,0.36478783349209615,0.29445887,0.43979102,3.8919772751549134e-08,3.3359805215613543e-07,0.0001999600079984003,0.0003999200159968006,0.48299150951818093,0.38510352,0.5786012,6.596882025963958e-14,9.895323038945936e-13,0.0001999600079984003,0.0001999600079984003,0.23601766869917062,0.001996007984031936,0.001996007984031936,0.4447309222901774,0.10694579739117305,0.18634794300711477,0.07940214561594172
train,li_shape,1.0,LiPDOS_001.00_002.00THz,1.0,2.0,1.5,214,none,0.4367579891826688,0.36004084,0.5313348,2.2188817874956108e-11,1.3313290724973664e-09,0.0001999600079984003,0.0001999600079984003,0.5829573754629146,0.49472326,0.66437876,7.106083451253417e-21,4.2636500707520505e-19,0.0001999600079984003,0.0001999600079984003,0.23200152023057452,0.001996007984031936,0.001996007984031936,0.5314654876966541,0.16923002731123404,0.30022952234796674,0.1309994950367327
train,li_shape,1.0,LiPDOS_002.00_003.00THz,2.0,3.0,2.5,214,none,0.4148379083583989,0.32184452,0.51098365,2.613930149509944e-10,3.920895224264916e-09,0.0001999600079984003,0.0001999600079984003,0.5541967734914024,0.45820203,0.64499164,1.2558789330874094e-18,3.7676367992622284e-17,0.0001999600079984003,0.0001999600079984003,0.27995600929155806,0.001996007984031936,0.001996007984031936,0.5099690744943043,0.1510662945855581,0.31462166419780757,0.16355536961224948
train,li_shape,1.0,LiPDOS_003.00_004.00THz,3.0,4.0,3.5,214,none,0.3233846093239124,0.21183933,0.43348342,1.3414750797829533e-06,7.31713679881611e-06,0.0001999600079984003,0.0011997600479904018,0.4776102683799237,0.37488467,0.57269907,1.3594069464447256e-13,1.6312883357336708e-12,0.0001999600079984003,0.0001999600079984003,0.24334557203958296,0.001996007984031936,0.001996007984031936,0.42079143031803684,0.06484890935155219,0.22110713798526982,0.15625822863371763
train,li_shape,1.0,LiPDOS_004.00_005.00THz,4.0,5.0,4.5,214,none,0.29233212964295346,0.17952278,0.40854648,1.3817964661240748e-05,6.852687079988286e-05,0.0001999600079984003,0.003599280143971206,0.45476143519076384,0.34442937,0.55156046,2.553380898299664e-12,2.5533808982996637e-11,0.0001999600079984003,0.0001999600079984003,0.1697246616456689,0.001996007984031936,0.001996007984031936,0.4152420271123589,0.049725575050209136,0.23077175470212608,0.18104617965191694
train,li_shape,1.0,LiPDOS_005.00_006.00THz,5.0,6.0,5.5,214,none,0.4255840666383097,0.30750528,0.5418468,7.975954444843232e-11,2.3927863334529695e-09,0.0001999600079984003,0.0001999600079984003,0.5369533998212606,0.43584818,0.63084954,2.2166742247301915e-17,4.433348449460383e-16,0.0001999600079984003,0.0001999600079984003,0.34652190459247256,0.001996007984031936,0.001996007984031936,0.5124624381811232,0.17138706718923313,0.3145495574822039,0.1431624902929708
train,li_shape,1.0,LiPDOS_006.00_007.00THz,6.0,7.0,6.5,214,none,0.340792529367037,0.23290518,0.4475782,3.2223045502112114e-07,2.148203033474141e-06,0.0001999600079984003,0.0007998400319936012,0.44152336144798143,0.3329426,0.5451226,1.2674242888667884e-11,1.0863636761715329e-10,0.0001999600079984003,0.0001999600079984003,0.28984388087772706,0.001996007984031936,0.001996007984031936,0.41241969114703897,0.09625385988428614,0.21458002172916268,0.11832616184487654
train,li_shape,1.0,LiPDOS_007.00_008.00THz,7.0,8.0,7.5,214,none,0.13822594585456807,-0.018756267,0.2831936,0.04339015299120566,0.11833678088510635,0.04539092181563687,0.7160567886422715,0.20333850351627156,0.07522666,0.32839516,0.002803983593959963,0.006729560625503912,0.0033993201359728054,0.06778644271145771,0.24231421925592445,0.001996007984031936,0.001996007984031936,0.2480041816163661,-0.008216352275749683,0.10545901331366159,0.11367536558941127
train,li_shape,1.0,LiPDOS_008.00_009.00THz,8.0,9.0,8.5,214,none,-0.0203039639883908,-0.13249211,0.09662457,0.767755385686154,0.786671415502458,0.7710457908418317,1.0,0.06079810044217481,-0.06383986,0.19153337,0.37615152851391886,0.5015353713518919,0.3715256948610278,1.0,0.11946766066303693,0.001996007984031936,0.00998003992015968,0.19825399408559322,-0.02537115350753605,0.022995870642308347,0.048367024149844395
train,li_shape,1.0,LiPDOS_009.00_010.00THz,9.0,10.0,9.5,214,none,-0.057412731077158316,-0.16799337,0.051613968,0.40335389090755125,0.6362511226727808,0.40471905618876225,1.0,-0.027755294969248934,-0.15805008,0.10458443,0.6864151608364324,0.710084649141137,0.6828634273145371,1.0,0.05681319612163449,0.0499001996007984,0.6047904191616766,0.15936715301710333,-0.013148990506099745,-0.0012648239322421428,0.011884166573857602
train,li_shape,1.0,LiPDOS_010.00_011.00THz,10.0,11.0,10.5,214,none,0.004777737178870884,-0.12752199,0.124194674,0.9446049135582535,0.9446049135582535,0.9484103179364127,1.0,0.051069718238676974,-0.08550499,0.18358049,0.4573635598738194,0.5488362718485832,0.45830833833233353,1.0,0.07548997235811017,0.017964071856287425,0.24750499001996007,0.13233027073557266,-0.013991799712180564,-0.031916612097246944,-0.01792481238506638
