split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,total_area,2.0,totalDOS_000.00_002.00THz,0.0,2.0,1.0,214,log1p,0.5460560988616286,0.4465207,0.6413652,4.971386566534467e-18,1.5411298356256848e-16,0.0001999600079984003,0.0001999600079984003,0.5274682271728501,0.42946336,0.6220476,1.0038930151066026e-16,3.112068346830468e-15,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,total_area,2.0,totalDOS_002.00_004.00THz,2.0,4.0,3.0,214,log1p,0.43718732220095025,0.34123713,0.5356515,2.1104589200386636e-11,3.2712113260599284e-10,0.0001999600079984003,0.0001999600079984003,0.4077276478057798,0.30625892,0.5009436,5.603949699093313e-10,5.790748022396423e-09,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,total_area,2.0,totalDOS_004.00_006.00THz,4.0,6.0,5.0,214,log1p,0.34865782264511946,0.2532544,0.44626662,1.6429336491854802e-07,1.273273578118747e-06,0.0001999600079984003,0.0001999600079984003,0.3424966397046308,0.24495174,0.43592498,2.7890897238756837e-07,1.2351683062878028e-06,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,total_area,2.0,totalDOS_006.00_008.00THz,6.0,8.0,7.0,214,log1p,0.41869761076639483,0.32800904,0.50979704,1.714863738871559e-10,1.772025863500611e-09,0.0001999600079984003,0.0001999600079984003,0.374303793609266,0.2753628,0.4703653,1.60200809939585e-08,9.932450216254272e-08,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,total_area,2.0,totalDOS_008.00_010.00THz,8.0,10.0,9.0,214,log1p,0.3408177196588872,0.24758057,0.43584678,3.215454797189379e-07,1.993581974257415e-06,0.0001999600079984003,0.0003999200159968006,0.29933092569703246,0.19316968,0.40066367,8.358969436115148e-06,2.879200583550773e-05,0.0001999600079984003,0.0005998800239952009,,,,,,,
train,total_area,2.0,totalDOS_010.00_012.00THz,10.0,12.0,11.0,214,log1p,0.2905834891163448,0.19709373,0.38624844,1.56349540859688e-05,6.0585447083129094e-05,0.0001999600079984003,0.0023995200959808036,0.31343401679947097,0.21070379,0.41282758,2.915671993365232e-06,1.1298228974290274e-05,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,total_area,2.0,totalDOS_012.00_014.00THz,12.0,14.0,13.0,214,log1p,0.13959360934787768,0.049592763,0.23312789,0.04133858767609266,0.09857663215068249,0.04499100179964007,0.45310937812437513,0.11757898942359105,0.009193925,0.22454652,0.08617755026558666,0.16464795995488177,0.08578284343131373,0.6932613477304539,,,,,,,
train,total_area,2.0,totalDOS_014.00_016.00THz,14.0,16.0,15.0,214,log1p,-0.0673553629722931,-0.15811655,0.026225168,0.3267568585368802,0.5313264786756818,0.3291341731653669,0.9972005598880224,-0.10506980046588639,-0.2103992,0.002713708,0.1254531728800601,0.18519277901342207,0.11937612477504499,0.8540291941611677,,,,,,,
train,total_area,2.0,totalDOS_016.00_018.00THz,16.0,18.0,17.0,214,log1p,0.16914693923653285,0.07005375,0.27348405,0.01321973893073964,0.0372556278957208,0.011797640471905619,0.21195760847830433,0.16913445015375952,0.06700743,0.26892042,0.013226617914544074,0.031540396565451254,0.011197760447910418,0.15096980603879223,,,,,,,
train,total_area,2.0,totalDOS_018.00_020.00THz,18.0,20.0,19.0,214,log1p,-0.18204085715262291,-0.28911194,-0.07668353,0.007590189056739641,0.023529586075892887,0.009998000399920015,0.15456908618276344,-0.2845669367236839,-0.39045522,-0.17000113,2.3769291035514562e-05,7.368480221009514e-05,0.0001999600079984003,0.0011997600479904018,,,,,,,
train,total_area,2.0,totalDOS_020.00_022.00THz,20.0,22.0,21.0,214,log1p,-0.23647611039634467,-0.35308683,-0.13137169,0.0004853777252494542,0.0016718566091925642,0.0011997600479904018,0.04819036192761448,-0.3883053544028326,-0.48554087,-0.28057685,4.11533993754569e-09,3.18938845159791e-08,0.0001999600079984003,0.0001999600079984003,,,,,,,
