ID,frac_H,frac_Li,frac_B,frac_C,frac_N,frac_O,frac_F,frac_Na,frac_Mg,frac_Al,frac_Si,frac_P,frac_S,frac_Cl,frac_K,frac_Ca,frac_Sc,frac_Ti,frac_V,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Cu,frac_Zn,frac_Ga,frac_Ge,frac_Se,frac_Br,frac_Sr,frac_Y,frac_Zr,frac_Nb,frac_Mo,frac_Ag,frac_Cd,frac_In,frac_Sn,frac_Sb,frac_Te,frac_I,frac_Ba,frac_La,frac_Ce,frac_Pr,frac_Nd,frac_Sm,frac_Gd,frac_Er,frac_Lu,frac_Hf,frac_Ta,frac_W,frac_Pb,frac_Bi,comp_Z_mean,comp_Z_std,comp_Z_min,comp_Z_max,comp_atomic_mass_mean,comp_atomic_mass_std,comp_atomic_mass_min,comp_atomic_mass_max,comp_X_mean,comp_X_std,comp_X_min,comp_X_max,comp_row_mean,comp_row_std,comp_row_min,comp_row_max,comp_group_mean,comp_group_std,comp_group_min,comp_group_max,static_Z,static_Space group #,static_a,static_b,static_c,static_alpha,static_beta,static_gamma
00x,0.0,0.05555555555555555,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38888888888889,12.932039836042405,3.0,64.0,26.671047111111108,32.3872400654217,6.941,157.25,2.9011111111111108,0.8196197552584226,0.98,3.44,2.4444444444444446,0.9558139185602919,2.0,6.0,14.222222222222221,4.3532306720354965,1.0,16.0,4,15,16.386,7.059,9.677,90.0,126.12,90.0
019,0.0,0.05555555555555555,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.444444444444443,5.0356751971665155,3.0,22.0,21.532726999999998,11.14230746998028,6.941,47.867,2.8838888888888885,0.8297398446962416,0.98,3.44,2.388888888888889,0.6781419786518723,2.0,4.0,13.666666666666666,4.818944098266987,1.0,16.0,6,168,8.5112,8.5112,20.8479,90.0,90.0,120.0
02p,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.64,6.253830825981784,3.0,16.0,21.768920959999996,12.13283263058896,6.941,32.065,1.8816,0.7529285756298535,0.98,2.58,2.6,0.4898979485566356,2.0,3.0,9.84,7.231486707448199,1.0,16.0,2,137,8.6512,8.6512,12.5095,90.0,90.0,90.0
08e,0.0,0.05555555555555555,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.644444444444446,5.791394211550466,3.0,40.0,22.014471444444442,13.045256277899247,6.941,91.224,2.881555555555555,0.833801083540661,0.98,3.44,2.4,0.7118052168020874,2.0,5.0,13.666666666666666,4.818944098266987,1.0,16.0,6,167,8.54,8.54,20.985,90.0,90.0,120.0
09w,0.0,0.4636015325670498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038314176245210726,0.07279693486590037,0.38314176245210724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07662835249042145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.348659003831417,9.190464830224801,3.0,35.0,23.988612942528732,20.07289448369572,6.941,79.904,1.8363601532567047,0.8110048687335699,0.98,2.96,2.6130268199233715,0.6248853038429153,2.0,4.0,9.042145593869732,7.48754685117457,1.0,17.0,4,216,9.9871,9.9871,9.9871,90.0,90.0,90.0
0ew,0.0,0.2608695652173913,0.0,0.0,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,17.30434782608696,21.478876949446214,3.0,73.0,40.10987347826088,53.28615607405187,6.941,180.94788,2.316956521739131,1.1785010183633928,0.98,3.44,2.8260869565217397,1.5784465096235956,2.0,6.0,9.39130434782609,6.970366657655465,1.0,16.0,8,230,12.891,12.891,12.891,90.0,90.0,90.0
0fa,0.0,0.07103825136612021,0.0,0.0,0.0,0.6557377049180327,0.0,0.0,0.0,0.01092896174863388,0.0,0.16393442622950818,0.0,0.0,0.0,0.0,0.00546448087431694,0.09289617486338797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.218579234972678,4.928592185629322,3.0,22.0,21.049354367213116,10.831729203330971,6.941,47.867,2.852459016393443,0.8581578740796673,0.98,3.44,2.3715846994535523,0.6559198289890124,2.0,4.0,13.551912568306012,4.955130272173843,1.0,16.0,6,167,8.5216,8.5216,20.917,90.0,90.0,120.0
0fh,0.0,0.06593406593406594,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.01098901098901099,0.0,0.16483516483516483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09890109890109891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.252747252747252,7.50910569087812,3.0,32.0,23.592944709890112,17.4162331349754,6.941,72.64,2.91021978021978,0.7841800897976922,0.98,3.44,2.3736263736263736,0.6571391818780683,2.0,4.0,14.615384615384615,3.684745002193759,1.0,16.0,6,167,8.2619,8.2619,20.5656,90.0,90.0,120.0
0ii,0.0,0.0022222222222222222,0.0,0.0,0.0,0.6666666666666666,0.0,0.05333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.204444444444444,16.48616868847008,3.0,57.0,40.27064491715555,39.58896397384205,6.941,138.90547,2.7617777777777777,0.9726373970667791,0.93,3.44,2.942222222222222,1.4333316106794125,2.0,6.0,12.0,5.725188012439222,1.0,16.0,1,47,3.9167,3.9304,7.846,90.0,90.0,90.0
0iv,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,6.020797289396148,3.0,16.0,23.508460333333332,11.721314815107869,6.941,32.065,1.9816666666666667,0.7215819811743885,0.98,2.58,2.6666666666666665,0.4714045207910317,2.0,3.0,10.833333333333334,6.962199524735141,1.0,16.0,1,162,6.075,6.075,6.595,90.0,90.0,120.0
0jx,0.0,0.03118503118503118,0.0,0.0,0.0,0.6237006237006236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20790020790020788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03118503118503118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10602910602910602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.885654885654887,15.659361909845359,3.0,57.0,37.60730555093555,38.838361407747804,6.941,138.90547,2.6425155925155925,1.0378733014591006,0.95,3.44,2.9334719334719335,1.3918915037286415,2.0,6.0,11.222453222453224,6.17741805075546,1.0,16.0,1,221,5.489,5.489,5.489,90.0,90.0,90.0
