ID,paired_000.00_000.50THz,paired_000.50_001.00THz,paired_001.00_001.50THz,paired_001.50_002.00THz,paired_002.00_002.50THz,paired_002.50_003.00THz,paired_003.00_003.50THz,paired_003.50_004.00THz,paired_004.00_004.50THz,paired_004.50_005.00THz,paired_005.00_005.50THz,paired_005.50_006.00THz,paired_006.00_006.50THz,paired_006.50_007.00THz,paired_007.00_007.50THz,paired_007.50_008.00THz,paired_008.00_008.50THz,paired_008.50_009.00THz,paired_009.00_009.50THz,paired_009.50_010.00THz,paired_010.00_010.50THz,paired_010.50_011.00THz,paired_011.00_011.50THz,paired_011.50_012.00THz,paired_012.00_012.50THz,paired_012.50_013.00THz,paired_013.00_013.50THz,paired_013.50_014.00THz,paired_014.00_014.50THz,paired_014.50_015.00THz,paired_015.00_015.50THz,paired_015.50_016.00THz,paired_016.00_016.50THz,paired_016.50_017.00THz,paired_017.00_017.50THz,paired_017.50_018.00THz,paired_018.00_018.50THz,paired_018.50_019.00THz,paired_019.00_019.50THz,paired_019.50_020.00THz,paired_020.00_020.50THz,paired_020.50_021.00THz,paired_021.00_021.50THz,paired_021.50_022.00THz,paired_022.00_022.50THz,paired_022.50_023.00THz,paired_023.00_023.50THz,paired_023.50_024.00THz,paired_024.00_024.50THz,paired_024.50_025.00THz,paired_025.00_025.50THz,paired_025.50_026.00THz,paired_026.00_026.50THz,paired_026.50_027.00THz,paired_027.00_027.50THz,paired_027.50_028.00THz,paired_028.00_028.50THz,paired_028.50_029.00THz,paired_029.00_029.50THz,paired_029.50_030.00THz,paired_030.00_030.50THz,paired_030.50_031.00THz,paired_031.00_031.50THz,paired_031.50_032.00THz,paired_032.00_032.50THz,paired_032.50_033.00THz,paired_033.00_033.50THz,paired_033.50_034.00THz,paired_034.00_034.50THz,paired_034.50_035.00THz,paired_035.00_035.50THz,paired_035.50_036.00THz,paired_036.00_036.50THz,paired_036.50_037.00THz,paired_037.00_037.50THz,paired_037.50_038.00THz,paired_038.00_038.50THz,paired_038.50_039.00THz,paired_039.00_039.50THz,paired_039.50_040.00THz,paired_040.00_040.50THz,paired_040.50_041.00THz,paired_041.00_041.50THz,paired_041.50_042.00THz,paired_042.00_042.50THz,paired_042.50_043.00THz,paired_043.00_043.50THz,paired_043.50_044.00THz,paired_044.00_044.50THz,paired_044.50_045.00THz,paired_045.00_045.50THz,paired_045.50_046.00THz,paired_046.00_046.50THz,paired_046.50_047.00THz,paired_047.00_047.50THz,paired_047.50_048.00THz,paired_048.00_048.50THz,paired_048.50_049.00THz,paired_049.00_049.50THz,paired_049.50_050.00THz,paired_050.00_050.50THz,paired_050.50_051.00THz,paired_051.00_051.50THz,paired_051.50_052.00THz,paired_052.00_052.50THz,paired_052.50_053.00THz,paired_053.00_053.50THz,paired_053.50_054.00THz,paired_054.00_054.50THz,paired_054.50_055.00THz,paired_055.00_055.50THz,paired_055.50_056.00THz,paired_056.00_056.50THz,paired_056.50_057.00THz,paired_057.00_057.50THz,paired_057.50_058.00THz,paired_058.00_058.50THz,paired_058.50_059.00THz,paired_059.00_059.50THz,paired_059.50_060.00THz,paired_060.00_060.50THz,paired_060.50_061.00THz,paired_061.00_061.50THz,paired_061.50_062.00THz,paired_062.00_062.50THz,paired_062.50_063.00THz,paired_063.00_063.50THz,paired_063.50_064.00THz,paired_064.00_064.50THz,paired_064.50_065.00THz,paired_065.00_065.50THz,paired_065.50_066.00THz,paired_066.00_066.50THz,paired_066.50_067.00THz,paired_067.00_067.50THz,paired_067.50_068.00THz,paired_068.00_068.50THz,paired_068.50_069.00THz,paired_069.00_069.50THz,paired_069.50_070.00THz,paired_070.00_070.50THz,paired_070.50_071.00THz,paired_071.00_071.50THz,paired_071.50_072.00THz,paired_072.00_072.50THz,paired_072.50_073.00THz,paired_073.00_073.50THz,paired_073.50_074.00THz,paired_074.00_074.50THz,paired_074.50_075.00THz,paired_075.00_075.50THz,paired_075.50_076.00THz,paired_076.00_076.50THz,paired_076.50_077.00THz,paired_077.00_077.50THz,paired_077.50_078.00THz,paired_078.00_078.50THz,paired_078.50_079.00THz,paired_079.00_079.50THz,paired_079.50_080.00THz,paired_080.00_080.50THz,paired_080.50_081.00THz,paired_081.00_081.50THz,paired_081.50_082.00THz,paired_082.00_082.50THz,paired_082.50_083.00THz,paired_083.00_083.50THz,paired_083.50_084.00THz,paired_084.00_084.50THz,paired_084.50_085.00THz,paired_085.00_085.50THz,paired_085.50_086.00THz,paired_086.00_086.50THz,paired_086.50_087.00THz,paired_087.00_087.50THz,paired_087.50_088.00THz,paired_088.00_088.50THz,paired_088.50_089.00THz,paired_089.00_089.50THz,paired_089.50_090.00THz,paired_090.00_090.50THz,paired_090.50_091.00THz,paired_091.00_091.50THz,paired_091.50_092.00THz,paired_092.00_092.50THz,paired_092.50_093.00THz,paired_093.00_093.50THz,paired_093.50_094.00THz,paired_094.00_094.50THz,paired_094.50_095.00THz,paired_095.00_095.50THz,paired_095.50_096.00THz,paired_096.00_096.50THz,paired_096.50_097.00THz,paired_097.00_097.50THz,paired_097.50_098.00THz,paired_098.00_098.50THz,paired_098.50_099.00THz,paired_099.00_099.50THz,paired_099.50_100.00THz
00x,0.0003759463627259668,0.001883656986801524,0.0057268428587925755,0.01663552491886364,0.02449431741233218,0.03325090597653518,0.04253584880159358,0.027873705061801406,0.02632368002470155,0.038537964992287795,0.03219604384132042,0.03537127841506898,0.005354327734938618,0.0,0.011035166267701114,0.01597729366326138,0.010845446837629582,0.0278229564187623,0.02382653509449297,0.026702848279561906,0.01722180448586183,0.018516254540926827,0.020072468086486075,0.01833993942116009,0.03327544762090389,0.015424692097143398,0.013244171622482627,0.01009221979242926,0.008776464299488968,0.019722116174913023,0.019500859704680434,0.014908017611306583,0.018063110597916095,0.023141341762849252,0.011914573485413154,0.0,0.0,0.0,0.005365321622508956,0.012424685443543812,0.012467277912167486,0.00032715746044712966,0.0031131036668555147,0.013130888291029262,0.012002694652526319,0.01257263028908519,0.000800517382953255,0.0,0.0,0.0,0.0,0.001975320460415521,0.007778253765346186,0.005907416981892792,0.005236106248788692,0.005940154318812661,0.007180601274280173,0.003856575247910016,0.0016713977490141333,0.009002694746356737,0.023830693283734806,0.02602538819007681,0.014016077497149265,0.010591930334891227,0.012390387336738374,0.01859626649769146,0.003211210742227465,0.00033559431734748064,0.0072241564650891545,0.030753386239361212,0.039060040194992686,0.0059910841360766975,0.0028383254465265957,0.005665261355947501,0.005210839705962814,0.0037364850350640488,0.000786304454054536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.00017171539862599034,0.0006356109949365172,0.0027907998542614386,0.009508159915353687,0.01615600909114155,0.023740300948502966,0.025112982845928,0.027303534834292598,0.02704086594402391,0.024657109066703885,0.022733514546551627,0.021457585392377406,0.022672098672052346,0.026234490463014203,0.024802587308416918,0.026580527775563523,0.03563938591844101,0.029015830594561167,0.0272426908542174,0.02001962758985265,0.01996935432098262,0.01746975824648711,0.015102508299818686,0.023420713371605163,0.021447853446634007,0.027651138906354854,0.010797238142129248,0.0067140784675301405,0.0019220584170274804,0.0004841702739673796,0.020165097075898284,0.024732854546489505,0.020951240047171745,0.035028157054174336,0.016637246889923855,0.001863703294114088,0.015689635614555292,0.019918357742178452,0.015410355553972988,0.0019427589501532327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006153820005718683,0.03474135521703796,0.03737724653615581,0.02189020640022007,0.02296369407504113,0.03173765769054757,0.029928129321850964,0.009720808860302974,0.020414283849348142,0.016572059624438876,0.007662950553878129,0.0008411439211207296,0.0008091239224300116,0.001575940617784793,0.004956167407840844,0.004093306214016906,0.006647557698880901,0.007341862071778277,0.0069360845264026805,0.0023413328203638756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,0.001373554815708045,0.014682431342829073,0.0513791416619101,0.07811680858622036,0.07977894097307901,0.07635638441887173,0.05791963932599134,0.024833933630958118,0.04971327181606068,0.05384270333789331,0.04038580490004903,0.032810394943370826,0.03455272443150023,0.033819330695892755,0.03819300188802145,0.026440076467688596,0.022514822164820713,0.017512048003507478,0.019977046658443215,0.019580727254685463,0.009404952688605096,0.014430372276906724,0.02583463481141712,0.013468071296122626,0.023655557273283254,0.017491195380496732,0.007230680625896504,0.000973237720833571,0.0,0.0,0.0,0.0,0.04074835738656174,0.031438080032453804,0.041240956903292894,0.0003011162866283983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,8.73591019680679e-05,0.0005516876002702893,0.0015464762784917526,0.004922502477256563,0.013994541479936987,0.020173846088366573,0.020700416851617325,0.02401569353762948,0.02076396265640251,0.025753373665179855,0.026860789761418202,0.02240191137461422,0.020794899049472643,0.02637256059134661,0.03094297900029464,0.03559047430504459,0.03232983761958806,0.020777107810233772,0.015022517284138616,0.025941496532335264,0.026190709698150474,0.018438391812339406,0.02294150836624491,0.017238555972080252,0.020517366768181285,0.021427174982619673,0.029643412372153736,0.017956651313538446,0.008937660449496634,0.005471055194081794,0.019733328404760962,0.025357466819143817,0.022061798063417497,0.03210863970858757,0.01203540909812145,0.0008469710445537427,0.014481699340875632,0.024381157692906347,0.007283517828632442,0.005046511485006183,0.00018107310537972954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049425719327763394,0.007823920728177747,0.0029171475269145386,0.005322782855082723,0.0059520340456088675,0.011365417295521816,0.014900373880578405,0.025616767740432245,0.025342942623395304,0.02218535809962065,0.030966319679502457,0.021754053250958902,0.009461443461225993,0.012119234479066621,0.009610040471530648,0.006689124309017443,0.008465035347136394,0.008881345169189071,0.009590848057650047,0.0027015199869248113,0.0026962854088949445,0.004456692429159379,0.00026175698829524884,0.003214129420006598,0.0009383622274551058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.0002643924105977769,0.002063543939656782,0.006394368189366825,0.0162360011808295,0.030906831090757484,0.05694013431494233,0.09483544523398556,0.04450242216361069,0.0532192902027469,0.049961935371655136,0.0598579217647332,0.05310844952648719,0.04633033086985401,0.03942815282051685,0.025966320209525162,0.037973436231923514,0.04514585189849869,0.03678220627156179,0.017973657146934576,0.004654955578592142,0.0030436445000767013,0.0338982649417637,0.0,0.0,0.0,0.0,0.016960714067049836,0.013648797166468411,0.0005467593081529316,0.0,0.0,0.019068534147766648,0.023739007608086213,0.06624887440488143,0.08338894787139856,0.016910809567579312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,0.002133248443957893,0.01672729286581878,0.05311423684747276,0.07694199231763872,0.09197243436870252,0.08069172192727293,0.04730723958206063,0.03337032403171195,0.0457426360244885,0.04638170227568131,0.035107934665045436,0.027856838143412457,0.03823820030748108,0.03183530254935537,0.04163853626175358,0.024080795870465667,0.009383380197022272,0.02370208684768917,0.012471963474712444,0.018607393349718025,0.012816123098947831,0.01259577240419976,0.014397705342925353,0.01689710742743009,0.014250985518117617,0.013503532432132436,0.005059238618079291,0.0020096196876434242,0.0026217734084289426,0.0,0.0022156984165868573,0.027913642965688996,0.03163490442197075,0.036523007264865105,0.045068850740976316,0.005186777900545724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,7.813043856002823e-05,0.000935573766616188,0.0027838465438760596,0.005926275670809454,0.011797027679100229,0.019259053864974087,0.03578724489448183,0.04287294204497505,0.07449952242284781,0.09281126237450514,0.0838306641697714,0.09674804873615386,0.07586077949145785,0.06975648034482837,0.10520773519018482,0.11111734259570165,0.02260512554556993,0.019628857227289343,0.029495292325092997,0.016769533534637726,0.020441414310833676,0.00756801815745989,1.5280364591908035e-05,0.0030876224812046355,0.01077294898580998,0.005444248872193044,0.0027786226753048343,0.022238089896405872,0.007582058517382129,0.002253563662772871,4.739321460731046e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0013029584500091362,0.014883101899248614,0.03035125639153476,0.046987851259394635,0.07074161294924138,0.0824849250210937,0.062134074801954556,0.06648710660164593,0.04073475800227747,0.03874162418447138,0.028133485531298772,0.03813218773111132,0.03988942169244777,0.03893385634845385,0.03531093114261596,0.028447574226361294,0.017921761803410017,0.02066820208472071,0.01604944974626969,0.012698707560806608,0.015016424448645023,0.010722366934599863,0.009422249759279296,0.007214472777549388,0.03041598698950432,0.017992979098793768,0.0029393460457857487,0.0022389304725361036,0.0014235697633987394,0.0007963137462138209,0.0,0.0,0.048003629302352406,0.06755481338898639,0.022734604577696715,0.027843815583303948,0.0046456496829870965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,0.001649818821557753,0.015255214447327267,0.04661272213714904,0.05559436054413428,0.059863808543919844,0.05562774954087853,0.055187958657372846,0.04483880664988387,0.05030087216054719,0.04541371354495172,0.03599952311718404,0.036831685155300775,0.026055499637599594,0.0406377568855688,0.03245308402384166,0.029675623067266173,0.02193704059559152,0.023136911262570996,0.043611196215117276,0.0177822670139135,0.018293804887978035,0.027374776699948224,0.020574526860520394,0.020199972743352498,0.013335022692437155,0.009769395089922578,0.00436946158200934,0.005669248399881575,0.0,0.0,0.028353313465767097,0.04178345498251724,0.01314796102390778,0.024498804402266594,0.03167045423868467,0.0024941909091301586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,6.629022884494833e-05,0.0004949320504272164,0.0025022284997804714,0.003100389595475148,0.010026592689065448,0.020008054414628437,0.020872878327554228,0.02168806567559326,0.023612448787838216,0.02457952262463556,0.02447407953456105,0.022971395108389175,0.019302038135580228,0.024300203016191253,0.02742577058588468,0.030345471077456696,0.02970018432969006,0.025350742145080346,0.024644793015703482,0.020137619237108606,0.026144309372542245,0.023349091601647075,0.024533411816397732,0.021993303026396193,0.021613530266092904,0.01956244139002462,0.02327968408714323,0.02719094939168077,0.014733133656872217,0.0022143192357315304,0.010687081743079219,0.02798751172962478,0.02871444040374954,0.024584146731558443,0.010122689938929372,0.0040721084028254246,0.001693596302091341,0.018868076161288053,0.023565099992530675,0.01115941859041599,0.001997345987325553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015667739422778255,0.0022644118570807068,0.0,0.0005322171267914491,0.00576715859658329,0.00877646121660656,0.010622861584865443,0.010383191388694897,0.014736596053004303,0.014598853630734997,0.017691519046576582,0.021118062905189892,0.018361091790546343,0.01897071824620607,0.020349852067435153,0.01320034787914991,0.008765898495560386,0.008310189652055183,0.0038476160142436517,0.006707518395191084,0.011026530641030395,0.012999981598803872,0.008027457907965132,0.00775334603128283,0.0008052314854471379,0.0043144350682592335,0.0041820842211949694,0.0006502042497871325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
