ID,paired_000.00_001.00THz,paired_001.00_002.00THz,paired_002.00_003.00THz,paired_003.00_004.00THz,paired_004.00_005.00THz,paired_005.00_006.00THz,paired_006.00_007.00THz,paired_007.00_008.00THz,paired_008.00_009.00THz,paired_009.00_010.00THz,paired_010.00_011.00THz,paired_011.00_012.00THz,paired_012.00_013.00THz,paired_013.00_014.00THz,paired_014.00_015.00THz,paired_015.00_016.00THz,paired_016.00_017.00THz,paired_017.00_018.00THz,paired_018.00_019.00THz,paired_019.00_020.00THz,paired_020.00_021.00THz,paired_021.00_022.00THz,paired_022.00_023.00THz,paired_023.00_024.00THz,paired_024.00_025.00THz,paired_025.00_026.00THz,paired_026.00_027.00THz,paired_027.00_028.00THz,paired_028.00_029.00THz,paired_029.00_030.00THz,paired_030.00_031.00THz,paired_031.00_032.00THz,paired_032.00_033.00THz,paired_033.00_034.00THz,paired_034.00_035.00THz,paired_035.00_036.00THz,paired_036.00_037.00THz,paired_037.00_038.00THz,paired_038.00_039.00THz,paired_039.00_040.00THz,paired_040.00_041.00THz,paired_041.00_042.00THz,paired_042.00_043.00THz,paired_043.00_044.00THz,paired_044.00_045.00THz,paired_045.00_046.00THz,paired_046.00_047.00THz,paired_047.00_048.00THz,paired_048.00_049.00THz,paired_049.00_050.00THz,paired_050.00_051.00THz,paired_051.00_052.00THz,paired_052.00_053.00THz,paired_053.00_054.00THz,paired_054.00_055.00THz,paired_055.00_056.00THz,paired_056.00_057.00THz,paired_057.00_058.00THz,paired_058.00_059.00THz,paired_059.00_060.00THz,paired_060.00_061.00THz,paired_061.00_062.00THz,paired_062.00_063.00THz,paired_063.00_064.00THz,paired_064.00_065.00THz,paired_065.00_066.00THz,paired_066.00_067.00THz,paired_067.00_068.00THz,paired_068.00_069.00THz,paired_069.00_070.00THz,paired_070.00_071.00THz,paired_071.00_072.00THz,paired_072.00_073.00THz,paired_073.00_074.00THz,paired_074.00_075.00THz,paired_075.00_076.00THz,paired_076.00_077.00THz,paired_077.00_078.00THz,paired_078.00_079.00THz,paired_079.00_080.00THz,paired_080.00_081.00THz,paired_081.00_082.00THz,paired_082.00_083.00THz,paired_083.00_084.00THz,paired_084.00_085.00THz,paired_085.00_086.00THz,paired_086.00_087.00THz,paired_087.00_088.00THz,paired_088.00_089.00THz,paired_089.00_090.00THz,paired_090.00_091.00THz,paired_091.00_092.00THz,paired_092.00_093.00THz,paired_093.00_094.00THz,paired_094.00_095.00THz,paired_095.00_096.00THz,paired_096.00_097.00THz,paired_097.00_098.00THz,paired_098.00_099.00THz,paired_099.00_100.00THz
00x,0.0022596033495274905,0.02236236777765621,0.05774522338886736,0.07040955386339497,0.06486164501698934,0.0675673222563894,0.005354327734938617,0.02701245993096249,0.03866840325639188,0.050529383374054875,0.03573805902678865,0.03841240750764616,0.048700139718047285,0.023336391414911884,0.028498580474401985,0.03440887731598701,0.04120445236076534,0.011914573485413152,0.0,0.017790007066052764,0.012794435372614614,0.016243991957884774,0.024575324941611503,0.0008005173829532549,0.0,0.001975320460415521,0.013685670747238976,0.011176260567601352,0.011037176522190188,0.010674092495370869,0.04985608147381161,0.024608007832040486,0.03098665383442983,0.0035468050595749453,0.03797754270445036,0.04505112433106938,0.008503586802474096,0.008947324741026861,0.0007863044540545359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.0008073263935625077,0.012298959769615129,0.03989631003964453,0.052416517680220605,0.05169797501072781,0.044191099938929036,0.048906589135066555,0.05138311508398045,0.06465521651300218,0.04726231844407006,0.03743911256746974,0.03852322167142386,0.04909899235298887,0.01751131660965939,0.0024062286909948606,0.0448979516223878,0.05597939710134609,0.018500950184037947,0.03560799335673375,0.017353114504126223,0.0,0.0,0.0,0.0,0.0,0.0,0.03535673721760983,0.05926745293637589,0.05470135176558871,0.039648938182153946,0.03698634347378703,0.00850409447499886,0.0023850645402148053,0.009049473621857752,0.01398941977065918,0.009277417346766558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,0.016055986158537122,0.1294959502481305,0.15613532539195077,0.08275357295694948,0.103555975153954,0.07319619984341987,0.068372055127393,0.06463307835571006,0.0400268701683282,0.03955777391312869,0.023835324965511825,0.039302706107539755,0.04114675265377999,0.008203918346730076,0.0,0.0,0.07218643741901556,0.0415420731899213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.0006390467022383571,0.006468978755748311,0.03416838756830355,0.044716110389246784,0.046517336321582343,0.04926270113603241,0.04716745964081924,0.0665334533053392,0.05310694542982182,0.04096401381647387,0.04462910151048986,0.04018006433832515,0.041944541750800944,0.04760006368569217,0.014408715643578424,0.045090795223904766,0.05417043777200505,0.012882380142675188,0.038862857033781964,0.01233002931363862,0.00018107310537972946,0.0,0.0,0.0,0.0,0.004942571932776338,0.010741068255092282,0.011274816900691586,0.02626579117610021,0.05095971036382753,0.05315167777912309,0.031215496712184883,0.02172927495059726,0.01515415965615383,0.01847219322683911,0.005397805395819754,0.004718449417454626,0.004152491647461703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.002327936350254558,0.02263036937019632,0.0878469654056998,0.13933786739759618,0.10318122557440203,0.11296637129122038,0.08575848369037085,0.06393975644144867,0.08192805817006048,0.022628612725526714,0.03694190944184039,0.0,0.0,0.030609511233518242,0.0005467593081529315,0.019068534147766648,0.08998788201296763,0.10029975743897786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,0.01886054130977667,0.13005622916511148,0.17266415629597545,0.08067756361377258,0.0921243383001698,0.0629647728084579,0.07007350285683644,0.06571933213221924,0.03308546704471144,0.03107935682443047,0.02541189550314759,0.031294812770355444,0.02775451795025005,0.007068858305722714,0.0026217734084289426,0.030129341382275854,0.06815791168683585,0.05025562864152204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.001013704205176216,0.008710122214685515,0.03105608154407433,0.0786601869394569,0.16731078479735295,0.18057871290592528,0.14561725983628623,0.21632507778588647,0.04223398277285927,0.04626482585973073,0.028009432468293564,0.0031029028457965437,0.016217197858003022,0.025016712571710707,0.009835622180155,4.739321460731046e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.01618606034925775,0.07733910765092938,0.15322653797033509,0.1286211814036005,0.07947638218674885,0.06626567326241009,0.07882327804090163,0.06375850536897726,0.03858996388813073,0.028748157307076295,0.025738791383244884,0.016636722536828685,0.04840896608829809,0.005178276518321852,0.0022198835096125602,0.0,0.1155584426913388,0.05057842016100066,0.0046456496829870965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,0.01690503326888502,0.10220708268128333,0.11549155808479836,0.10002676530725671,0.0957145857054989,0.07283120827248481,0.06669325652316839,0.062128707091107835,0.045073951858162514,0.061393463229030776,0.04566858158792626,0.04077449960387289,0.02310441778235973,0.010038709981890916,0.0,0.07013676844828434,0.03764676542617438,0.03416464514781483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.000561222279272165,0.005602618095255622,0.0300346471036939,0.042560944003147506,0.0481919714124738,0.04744547464295024,0.0436022411517715,0.05777124166334139,0.055050926474770424,0.0447824122528121,0.04949340097418934,0.04652671484279394,0.04117597165611754,0.050470633478824016,0.016947452892603753,0.038674593472704015,0.053298587135308,0.014194798341754803,0.0205616724633794,0.03472451858294667,0.001997345987325554,0.0,0.0,0.0,0.0038311857993585338,0.0005322171267914493,0.014543619813189856,0.021006052973560348,0.02933544968373931,0.03880958195176649,0.03733181003675243,0.03355019994658508,0.017076088147615576,0.010555134409434739,0.024026512239834274,0.015780803939247967,0.0051196665537063734,0.004832288470982104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
