ID,paired_000.00_002.00THz,paired_002.00_004.00THz,paired_004.00_006.00THz,paired_006.00_008.00THz,paired_008.00_010.00THz,paired_010.00_012.00THz,paired_012.00_014.00THz,paired_014.00_016.00THz,paired_016.00_018.00THz,paired_018.00_020.00THz,paired_020.00_022.00THz,paired_022.00_024.00THz,paired_024.00_026.00THz,paired_026.00_028.00THz,paired_028.00_030.00THz,paired_030.00_032.00THz,paired_032.00_034.00THz,paired_034.00_036.00THz,paired_036.00_038.00THz,paired_038.00_040.00THz,paired_040.00_042.00THz,paired_042.00_044.00THz,paired_044.00_046.00THz,paired_046.00_048.00THz,paired_048.00_050.00THz,paired_050.00_052.00THz,paired_052.00_054.00THz,paired_054.00_056.00THz,paired_056.00_058.00THz,paired_058.00_060.00THz,paired_060.00_062.00THz,paired_062.00_064.00THz,paired_064.00_066.00THz,paired_066.00_068.00THz,paired_068.00_070.00THz,paired_070.00_072.00THz,paired_072.00_074.00THz,paired_074.00_076.00THz,paired_076.00_078.00THz,paired_078.00_080.00THz,paired_080.00_082.00THz,paired_082.00_084.00THz,paired_084.00_086.00THz,paired_086.00_088.00THz,paired_088.00_090.00THz,paired_090.00_092.00THz,paired_092.00_094.00THz,paired_094.00_096.00THz,paired_096.00_098.00THz,paired_098.00_100.00THz
00x,0.024621971127183704,0.12815477725226232,0.13242896727337874,0.032366787665901106,0.08919778663044674,0.07415046653443481,0.07203653113295917,0.062907457790389,0.05311902584617849,0.017790007066052764,0.02903842733049939,0.02537584232456476,0.001975320460415521,0.024861931314840328,0.021711269017561055,0.07446408930585209,0.034533458894004776,0.08302866703551973,0.017450911543500956,0.0007863044540545359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.01310628616317764,0.09231282771986517,0.09588907494965686,0.10028970421904702,0.11191753495707227,0.07596233423889362,0.06661030896264827,0.04730418031338267,0.07448034728538405,0.05296110786085998,0.0,0.0,0.0,0.09462419015398574,0.09435028994774267,0.04549043794878589,0.011434538162072558,0.02326683711742574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,0.14555193640666758,0.23888889834890023,0.17675217499737386,0.13300513348310303,0.07958464408145687,0.06313803107305156,0.04935067100051006,0.0,0.11372851060893684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.00710802545798667,0.07888449795755033,0.09578003745761476,0.11370091294615844,0.09407095924629567,0.08480916584881502,0.08954460543649312,0.05949951086748319,0.06705281791468024,0.051192886347420585,0.00018107310537972946,0.0,0.004942571932776338,0.022015885155783867,0.07722550153992774,0.08436717449130797,0.036883434606751093,0.023869998622658865,0.008870941064916328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.02495830572045089,0.2271848328032961,0.2161475968656225,0.1496982401318196,0.10455667089558723,0.03694190944184041,0.030609511233518256,0.019615293455919586,0.19028763945194557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,0.14891677047488813,0.25334171990974796,0.15508911110862766,0.13579283498905567,0.06416482386914191,0.05670670827350303,0.03482337625597276,0.03275111479070479,0.11841354032835788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.009723826419861728,0.10971626848353119,0.3478894977032782,0.3619423376221727,0.08849880863258999,0.03111233531409011,0.04123391042971373,0.009883015394762312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.09352516800018713,0.2818477193739356,0.14574205544915894,0.14258178340987887,0.06733812119520702,0.04237551392007357,0.05358724260661994,0.0022198835096125602,0.16613686285233947,0.0046456496829870965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,0.11911211595016837,0.21551832339205515,0.16854579397798372,0.12882196361427625,0.1064674150871933,0.08644308119179916,0.03314312776425065,0.07013676844828434,0.07181141057398921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.006163840374527786,0.0725955911068414,0.09563744605542403,0.10137348281511288,0.0998333387275825,0.09602011581698326,0.09164660513494154,0.05562204636530776,0.0674933854770628,0.055286191046326066,0.0019973459873255535,0.0,0.004363402926149982,0.0355496727867502,0.06814503163550578,0.07088200998333749,0.02763122255705031,0.03980731617908224,0.009951955024688475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
