ID,LiPDOS_000.00_000.50THz,LiPDOS_000.50_001.00THz,LiPDOS_001.00_001.50THz,LiPDOS_001.50_002.00THz,LiPDOS_002.00_002.50THz,LiPDOS_002.50_003.00THz,LiPDOS_003.00_003.50THz,LiPDOS_003.50_004.00THz,LiPDOS_004.00_004.50THz,LiPDOS_004.50_005.00THz,LiPDOS_005.00_005.50THz,LiPDOS_005.50_006.00THz,LiPDOS_006.00_006.50THz,LiPDOS_006.50_007.00THz,LiPDOS_007.00_007.50THz,LiPDOS_007.50_008.00THz,LiPDOS_008.00_008.50THz,LiPDOS_008.50_009.00THz,LiPDOS_009.00_009.50THz,LiPDOS_009.50_010.00THz,LiPDOS_010.00_010.50THz,LiPDOS_010.50_011.00THz,LiPDOS_011.00_011.50THz,LiPDOS_011.50_012.00THz,LiPDOS_012.00_012.50THz,LiPDOS_012.50_013.00THz,LiPDOS_013.00_013.50THz,LiPDOS_013.50_014.00THz,LiPDOS_014.00_014.50THz,LiPDOS_014.50_015.00THz,LiPDOS_015.00_015.50THz,LiPDOS_015.50_016.00THz,LiPDOS_016.00_016.50THz,LiPDOS_016.50_017.00THz,LiPDOS_017.00_017.50THz,LiPDOS_017.50_018.00THz,LiPDOS_018.00_018.50THz,LiPDOS_018.50_019.00THz,LiPDOS_019.00_019.50THz,LiPDOS_019.50_020.00THz,LiPDOS_020.00_020.50THz,LiPDOS_020.50_021.00THz,LiPDOS_021.00_021.50THz,LiPDOS_021.50_022.00THz,LiPDOS_022.00_022.50THz,LiPDOS_022.50_023.00THz,LiPDOS_023.00_023.50THz,LiPDOS_023.50_024.00THz,LiPDOS_024.00_024.50THz,LiPDOS_024.50_025.00THz,LiPDOS_025.00_025.50THz,LiPDOS_025.50_026.00THz,LiPDOS_026.00_026.50THz,LiPDOS_026.50_027.00THz,LiPDOS_027.00_027.50THz,LiPDOS_027.50_028.00THz,LiPDOS_028.00_028.50THz,LiPDOS_028.50_029.00THz,LiPDOS_029.00_029.50THz,LiPDOS_029.50_030.00THz,LiPDOS_030.00_030.50THz,LiPDOS_030.50_031.00THz,LiPDOS_031.00_031.50THz,LiPDOS_031.50_032.00THz,LiPDOS_032.00_032.50THz,LiPDOS_032.50_033.00THz,LiPDOS_033.00_033.50THz,LiPDOS_033.50_034.00THz,LiPDOS_034.00_034.50THz,LiPDOS_034.50_035.00THz,LiPDOS_035.00_035.50THz,LiPDOS_035.50_036.00THz,LiPDOS_036.00_036.50THz,LiPDOS_036.50_037.00THz,LiPDOS_037.00_037.50THz,LiPDOS_037.50_038.00THz,LiPDOS_038.00_038.50THz,LiPDOS_038.50_039.00THz,LiPDOS_039.00_039.50THz,LiPDOS_039.50_040.00THz,LiPDOS_040.00_040.50THz,LiPDOS_040.50_041.00THz,LiPDOS_041.00_041.50THz,LiPDOS_041.50_042.00THz,LiPDOS_042.00_042.50THz,LiPDOS_042.50_043.00THz,LiPDOS_043.00_043.50THz,LiPDOS_043.50_044.00THz,LiPDOS_044.00_044.50THz,LiPDOS_044.50_045.00THz,LiPDOS_045.00_045.50THz,LiPDOS_045.50_046.00THz,LiPDOS_046.00_046.50THz,LiPDOS_046.50_047.00THz,LiPDOS_047.00_047.50THz,LiPDOS_047.50_048.00THz,LiPDOS_048.00_048.50THz,LiPDOS_048.50_049.00THz,LiPDOS_049.00_049.50THz,LiPDOS_049.50_050.00THz,LiPDOS_050.00_050.50THz,LiPDOS_050.50_051.00THz,LiPDOS_051.00_051.50THz,LiPDOS_051.50_052.00THz,LiPDOS_052.00_052.50THz,LiPDOS_052.50_053.00THz,LiPDOS_053.00_053.50THz,LiPDOS_053.50_054.00THz,LiPDOS_054.00_054.50THz,LiPDOS_054.50_055.00THz,LiPDOS_055.00_055.50THz,LiPDOS_055.50_056.00THz,LiPDOS_056.00_056.50THz,LiPDOS_056.50_057.00THz,LiPDOS_057.00_057.50THz,LiPDOS_057.50_058.00THz,LiPDOS_058.00_058.50THz,LiPDOS_058.50_059.00THz,LiPDOS_059.00_059.50THz,LiPDOS_059.50_060.00THz,LiPDOS_060.00_060.50THz,LiPDOS_060.50_061.00THz,LiPDOS_061.00_061.50THz,LiPDOS_061.50_062.00THz,LiPDOS_062.00_062.50THz,LiPDOS_062.50_063.00THz,LiPDOS_063.00_063.50THz,LiPDOS_063.50_064.00THz,LiPDOS_064.00_064.50THz,LiPDOS_064.50_065.00THz,LiPDOS_065.00_065.50THz,LiPDOS_065.50_066.00THz,LiPDOS_066.00_066.50THz,LiPDOS_066.50_067.00THz,LiPDOS_067.00_067.50THz,LiPDOS_067.50_068.00THz,LiPDOS_068.00_068.50THz,LiPDOS_068.50_069.00THz,LiPDOS_069.00_069.50THz,LiPDOS_069.50_070.00THz,LiPDOS_070.00_070.50THz,LiPDOS_070.50_071.00THz,LiPDOS_071.00_071.50THz,LiPDOS_071.50_072.00THz,LiPDOS_072.00_072.50THz,LiPDOS_072.50_073.00THz,LiPDOS_073.00_073.50THz,LiPDOS_073.50_074.00THz,LiPDOS_074.00_074.50THz,LiPDOS_074.50_075.00THz,LiPDOS_075.00_075.50THz,LiPDOS_075.50_076.00THz,LiPDOS_076.00_076.50THz,LiPDOS_076.50_077.00THz,LiPDOS_077.00_077.50THz,LiPDOS_077.50_078.00THz,LiPDOS_078.00_078.50THz,LiPDOS_078.50_079.00THz,LiPDOS_079.00_079.50THz,LiPDOS_079.50_080.00THz,LiPDOS_080.00_080.50THz,LiPDOS_080.50_081.00THz,LiPDOS_081.00_081.50THz,LiPDOS_081.50_082.00THz,LiPDOS_082.00_082.50THz,LiPDOS_082.50_083.00THz,LiPDOS_083.00_083.50THz,LiPDOS_083.50_084.00THz,LiPDOS_084.00_084.50THz,LiPDOS_084.50_085.00THz,LiPDOS_085.00_085.50THz,LiPDOS_085.50_086.00THz,LiPDOS_086.00_086.50THz,LiPDOS_086.50_087.00THz,LiPDOS_087.00_087.50THz,LiPDOS_087.50_088.00THz,LiPDOS_088.00_088.50THz,LiPDOS_088.50_089.00THz,LiPDOS_089.00_089.50THz,LiPDOS_089.50_090.00THz,LiPDOS_090.00_090.50THz,LiPDOS_090.50_091.00THz,LiPDOS_091.00_091.50THz,LiPDOS_091.50_092.00THz,LiPDOS_092.00_092.50THz,LiPDOS_092.50_093.00THz,LiPDOS_093.00_093.50THz,LiPDOS_093.50_094.00THz,LiPDOS_094.00_094.50THz,LiPDOS_094.50_095.00THz,LiPDOS_095.00_095.50THz,LiPDOS_095.50_096.00THz,LiPDOS_096.00_096.50THz,LiPDOS_096.50_097.00THz,LiPDOS_097.00_097.50THz,LiPDOS_097.50_098.00THz,LiPDOS_098.00_098.50THz,LiPDOS_098.50_099.00THz,LiPDOS_099.00_099.50THz,LiPDOS_099.50_100.00THz
00x,0.0005444759223488848,0.002579206241920453,0.006567056877805189,0.01334875289055345,0.017114821762792318,0.028229085007447245,0.04447878325233873,0.03703379134008698,0.043495641752362396,0.06420486229754416,0.049995485542503104,0.0655026835594738,0.013106774233234642,0.0,0.08326373242669938,0.11557444624167984,0.2884746456187771,0.5959128317036124,0.3478042261558838,0.3137872427171171,0.3916527199278286,0.9296992572305176,0.7972454961980291,0.3878894376533202,0.3076044882661746,0.4477880084250714,0.10184934767834353,0.019316477337063986,0.02685208229113023,0.09982984026758057,0.07558183806170593,0.053351790239124064,0.0494460543841555,0.030247628799508597,0.01565511643826678,0.0,0.0,0.0,0.003360985266018801,0.005832770283550559,0.002432578604168789,5.242949226147431e-05,0.0009709560156192509,0.004273443380591324,0.003870448397552906,0.0038011194275693327,0.00023920873886940086,0.0,0.0,0.0,0.0,4.895303639429471e-05,0.00031987512704656496,0.0004899443150740979,0.000607468129419253,0.0007206002090089925,0.0008161643538455721,0.0004411576491936131,0.0002913261691288582,0.0011291290303594437,0.0017300918571718782,0.0026215024642750606,0.0008061104007248687,0.0004599370754929666,0.0004941215088454243,0.0008350407563080253,0.00014888634483778418,5.716494428931185e-06,0.00014794379412208514,0.000958236599622353,0.0015289032415797266,0.000226540910863271,0.0003327948225102517,0.0007597678131423535,0.0004335715978420751,0.00016526002893435532,2.135122457946892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.001376516056134164,0.006978016407104801,0.11502249812237267,0.4067135134518554,0.42795136085282237,0.6553784342768664,0.8596696951589711,0.9571261573722025,1.1143184486138105,0.9463455929201876,0.7431202843662188,0.6288028974811768,0.6080265367059052,0.6156522148794696,0.7774699627293913,0.7145274850235648,0.9486959968149531,0.8487246219873938,0.5395690746800046,0.4888687819755688,0.7006717104321822,0.6557979844409481,1.1504611784662568,0.822490243955933,0.6416267497946375,0.5896272743004545,0.3181881063801839,0.3099012389307063,0.11216439093702846,0.004481137581308303,0.13060811030641872,0.16161259006028672,0.07510812391346278,0.06404921290175025,0.0261798005016054,0.004882908901585381,0.043267427068386155,0.06924546207677906,0.047239728960491334,0.004544285741886256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022936203841794622,0.003924547890367336,0.006513326334221858,0.003479909677317039,0.0021593593940529843,0.003621610592102087,0.0058941466020776545,0.0053328606509950305,0.010696926051366518,0.00681766645533699,0.0013052087615754715,0.00035519086348045903,0.0007225034312909884,0.0020884776723093523,0.007381710454460233,0.0045211426298124024,0.004313885374891413,0.0037752126904138095,0.002668790189371606,0.0009020976964109195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,0.016717020174272703,0.19229375817470454,0.5859501548213866,0.7523759031811525,0.9777957684320644,1.2856577515475633,1.5414054234187278,1.309987001732524,2.4568639913018044,2.839222273159102,2.5535241612745736,3.022139367284657,3.1369073810815244,3.4366360706088663,3.295416224609834,2.3433785890158774,3.409068424220365,3.497447308888667,4.978585716842382,5.353811188777044,2.787197082217368,4.065166268537851,5.794899188606074,3.043641108166362,3.8409406008818365,1.9918103758923138,3.396647765030238,0.5207359755876126,0.0,0.0,0.0,0.0,0.08646841442332232,0.07444425742470173,0.1298878049165637,0.0010061122522984078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.0005344521786901212,0.0035592399894766253,0.01156330611800516,0.08923119528522878,0.28318757463122013,0.38993555512609845,0.47643482429271133,0.7374110265963849,0.6862211836180176,0.6869806196066843,0.8358411089391753,0.7980226741732608,0.6416608763240772,0.7251043357261278,0.8515032188411462,0.9515468482448446,0.9030579307651543,0.5737317941452655,0.661564506922339,1.0797878392823765,0.9353547837329277,0.740947349923065,0.8870694103161405,0.7843676635846393,0.6485333405168703,1.0129932558550845,1.313186315798724,0.663714174967101,0.7073670283548879,0.17315374425638907,0.20366955446392865,0.2771778586101199,0.2127352637391695,0.26396136085993405,0.12539857578167002,0.0016273118112408724,0.020410463841312065,0.07863922236990462,0.029989778347886187,0.02154106548729473,0.00025749753268655695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002909846994739951,0.004182002870919632,0.0015507853761462798,0.003315310760402923,0.0021714485245958315,0.002993370241966886,0.004307974290899352,0.0074584217024948885,0.007066694191458112,0.005880240733318942,0.009628936630733165,0.006001143447324608,0.002559221105091325,0.0023963839349256943,0.0026572788028893513,0.004667886220119044,0.007586468079583852,0.004882089648361898,0.004816873886579032,0.0010824745284594428,0.001139528793068223,0.00146738610267505,6.576452299356106e-05,0.0008777709622691532,0.0002902181818278393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.0006908026933930705,0.005292005051422313,0.015662918226621983,0.03490965713630735,0.0932534744388355,0.2321335263162528,0.42216513600950695,0.2914010099268467,0.3751009373774832,0.5617795975654776,0.8658501985109064,1.3159728206076005,1.4060665208492233,1.8021200561223516,1.5024226781202934,1.0794979146862467,0.7956931454158891,0.6920504943438086,0.3953076442627488,0.11702962212353007,0.05816259745123631,0.03762933692465431,0.0,0.0,0.0,0.0,0.0037194097079797928,0.00721999473299384,0.0007229520494380637,0.0,0.0,0.0007967659174301644,0.0010742297647947652,0.02068097633449284,0.03994271661536253,0.007187949103984792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,0.0388913188795329,0.33119080679420765,0.7634277572767303,1.1761150888968415,1.752629186942949,2.0458334318230227,1.8521763078688833,2.3516076819335785,2.7385055060560237,3.1260501819469226,2.977709586023593,2.3081570647912883,3.1663673820643297,2.394286609146512,3.0413618548155767,2.2249887802627626,2.082933603712817,5.0840195371205965,2.7978228981474516,5.21175635065957,3.3990267149038473,3.805416642004971,4.679712420349269,3.8011199620738694,2.509458803929185,2.615898547566644,0.9902089958726776,1.2543706796751763,1.3214804384112,0.0,0.008644048123869652,0.12180372956308361,0.09019196736980462,0.10713371688207474,0.19069002781796485,0.02060605101701185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.010169929198723764,0.021733791246373566,0.04776703273538947,0.09739950541183612,0.22350366752497106,0.31474284804570335,0.598261694923027,0.45543727092818553,0.43696527228201276,0.3873635547206282,0.34821636989609717,0.46480499678856235,0.8636443075116955,0.745357762773958,0.8723846953170487,0.7872445135023254,0.38069361658523615,0.47921875463663,1.044991072498644,1.1821211744662161,1.537687041008347,0.9328185803537075,0.0018380310939587474,0.28005994848256144,0.7725586618064018,0.6563397010875107,0.2095487793256865,1.8492879884207838,1.120287783744896,0.6722913773033206,0.031984723870838394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.02213484240800126,0.27125492089517367,0.5660360688731683,0.8127911426800857,1.2570403951346483,1.3478316077296593,1.0912215245835295,1.3469474019037007,1.2568917353304494,1.566497346360813,1.5858947665305152,2.8427573815232616,3.5223143606823974,3.819783800204359,4.651708609729557,4.978730910583398,4.129201075097399,5.059741716545844,4.460951807495718,3.864499089047726,4.670030680761485,3.791779819389305,3.6949418433985244,1.9320507383672876,2.41920868944009,1.871291289848898,1.4335456583129371,1.5015930695648194,1.5532522255110592,0.46943341542690575,0.0,0.0,0.13778945334718173,0.19349059566823712,0.07817867646977561,0.09839722645506299,0.015972720389001438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,0.017993176377691465,0.17522888029530392,0.555383369780734,0.8094458695669569,0.9138701476491378,1.0458630627308363,1.3611257158248464,1.3071125001836608,1.6421009847541708,1.9462935698209707,2.178926220693951,2.506080246941133,2.047200448567363,2.8780403644102357,2.5406340728563706,2.8586173943605466,2.8552325395962583,3.09951270428315,4.305362831547765,2.3199652002654716,3.7530106017036076,5.8050874075704755,3.533666463903188,2.055399021805073,2.40599220674995,1.7653681251599664,0.7268368332569324,1.288664343218933,0.0,0.0,0.14464264480269406,0.23966683319781623,0.06536413953993758,0.10654983890277236,0.12603229688767215,0.009518517541430072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.0006777788006955411,0.012236858960429964,0.5327098678185946,0.1581741676327998,0.1824877556485186,0.36228856895065653,0.35363995982367125,0.4201105615113734,0.756872649173153,1.1450780885978693,1.3297609606197187,1.5307010907426877,1.5325688605350773,1.3970289927937607,1.2251478773411364,1.254062360025534,0.9350913254436968,1.0618642730110288,1.3298152985148732,1.211752293073829,0.9985975057197436,0.8108202355238028,1.1845437743763547,1.2191390558880215,1.0830479374095852,0.951506106553218,1.4133342697279971,1.525446385926724,0.8730899565068135,0.28025703697163706,0.07564957783501214,0.2766220977988887,0.4166400854175407,0.22966826119401418,0.07492420171532999,0.03009087554004708,0.004298051111589984,0.08794894408545773,0.09966875093689609,0.03918541428046396,0.006656507506221487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021164866142839855,0.00305889525949965,0.0,0.00026969692266476386,0.0029307630766659543,0.004640363983170914,0.005029982095926755,0.0052106896818848725,0.006905921214848121,0.007339417880597665,0.006229067515626241,0.008647151020387156,0.008424299348575914,0.006633126444928195,0.006804286293029094,0.005927281054106004,0.004747994579332726,0.005666442242635128,0.0031430550728970275,0.005648172804487928,0.006827706412266821,0.009245075911369582,0.0045925702940543545,0.003698808139500187,0.0004072644907999745,0.001625539403764975,0.0014862021953767623,0.00017977794465551256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
