ID,LiPDOS_000.00_002.00THz,LiPDOS_002.00_004.00THz,LiPDOS_004.00_006.00THz,LiPDOS_006.00_008.00THz,LiPDOS_008.00_010.00THz,LiPDOS_010.00_012.00THz,LiPDOS_012.00_014.00THz,LiPDOS_014.00_016.00THz,LiPDOS_016.00_018.00THz,LiPDOS_018.00_020.00THz,LiPDOS_020.00_022.00THz,LiPDOS_022.00_024.00THz,LiPDOS_024.00_026.00THz,LiPDOS_026.00_028.00THz,LiPDOS_028.00_030.00THz,LiPDOS_030.00_032.00THz,LiPDOS_032.00_034.00THz,LiPDOS_034.00_036.00THz,LiPDOS_036.00_038.00THz,LiPDOS_038.00_040.00THz,LiPDOS_040.00_042.00THz,LiPDOS_042.00_044.00THz,LiPDOS_044.00_046.00THz,LiPDOS_046.00_048.00THz,LiPDOS_048.00_050.00THz,LiPDOS_050.00_052.00THz,LiPDOS_052.00_054.00THz,LiPDOS_054.00_056.00THz,LiPDOS_056.00_058.00THz,LiPDOS_058.00_060.00THz,LiPDOS_060.00_062.00THz,LiPDOS_062.00_064.00THz,LiPDOS_064.00_066.00THz,LiPDOS_066.00_068.00THz,LiPDOS_068.00_070.00THz,LiPDOS_070.00_072.00THz,LiPDOS_072.00_074.00THz,LiPDOS_074.00_076.00THz,LiPDOS_076.00_078.00THz,LiPDOS_078.00_080.00THz,LiPDOS_080.00_082.00THz,LiPDOS_082.00_084.00THz,LiPDOS_084.00_086.00THz,LiPDOS_086.00_088.00THz,LiPDOS_088.00_090.00THz,LiPDOS_090.00_092.00THz,LiPDOS_092.00_094.00THz,LiPDOS_094.00_096.00THz,LiPDOS_096.00_098.00THz,LiPDOS_098.00_100.00THz
00x,0.023039491932627977,0.12685648136266528,0.22319867315188346,0.21194495290161386,1.5459789461953903,2.5064869110096955,0.8765583217066535,0.2556155508595408,0.09534879962193088,0.00919375554956936,0.0077294074926408385,0.00791077656399164,4.895303639429471e-05,0.0021378877805489083,0.002677777202527487,0.005617641797664774,0.001483765104420165,0.0028616245461874357,0.0016913942624290357,2.135122457946892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.530090544037467,2.9001256476608623,3.4325872233813937,2.715676199338331,2.8258584754579203,3.32942111729532,1.8593433694059822,0.4088662288850422,0.1702200462184038,0.1642969038475428,0.0,0.0,0.0,0.01414714594032418,0.017007977239227756,0.01917499213175944,0.014713834187872976,0.011659985951087748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,1.5473368363515163,5.114845945130879,10.871749793020136,12.212338265316102,17.238912638728458,15.690903647527655,9.750134717392001,0.0,0.29180658901688616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.1048881935714007,1.8869689806464147,3.007065586337138,3.1698152791361958,3.2181420711151354,3.3477392075567725,3.6384270871377797,1.3613681856853255,0.6037225121920144,0.1505805300463976,0.00025749753268655695,0.0,0.002909846994739951,0.011219547532064666,0.02182646042681924,0.02406954191646804,0.017308017037517942,0.011920966856468596,0.0027011397697656037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.05655538310774472,1.038953146691442,3.118703554061468,5.790107169778115,2.0000809061459766,0.09579193437589062,0.010939404440973632,0.0015197179668682281,0.06888587181863493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,2.3096249718473123,8.002246608568434,11.150422338817828,10.827004626289181,15.176532389640435,15.685275739331956,7.369937027043683,1.4519282160981533,0.40862176308685605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.17707025859232292,1.591945481421887,1.6373501936873005,3.2686312791050276,3.0870246181867262,2.7524036009385746,3.4877351306403828,1.8245638849190549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1.6722169748564288,5.0430409293515375,7.252041229745039,16.97253768119971,17.514393688186686,14.088803081916602,7.225638707166745,2.022685640937965,0.5078559519402575,0.015972720389001438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,1.5580512960206863,4.6279714263884815,8.273401022210226,10.324492280194516,12.580073275692644,15.147163494982344,6.186861508385782,0.3843094780005103,0.30746479287181216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.70379867321252,1.3185268459342199,4.762412789133428,5.4088080906955085,4.538523190043428,4.213100571507923,4.973334699617524,1.5056186691123514,0.751323423866932,0.23110116041440776,0.006656507506221487,0.0,0.005445078796448399,0.017811798837648496,0.029121557631459183,0.027788993140639207,0.01920566469935281,0.024364160757190945,0.0036987840345972245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
