ID,paired_000.00_001.00THz,paired_001.00_002.00THz,paired_002.00_003.00THz,paired_003.00_004.00THz,paired_004.00_005.00THz,paired_005.00_006.00THz,paired_006.00_007.00THz,paired_007.00_008.00THz,paired_008.00_009.00THz,paired_009.00_010.00THz,paired_010.00_011.00THz,paired_011.00_012.00THz,paired_012.00_013.00THz,paired_013.00_014.00THz,paired_014.00_015.00THz,paired_015.00_016.00THz,paired_016.00_017.00THz,paired_017.00_018.00THz,paired_018.00_019.00THz,paired_019.00_020.00THz,paired_020.00_021.00THz,paired_021.00_022.00THz,paired_022.00_023.00THz,paired_023.00_024.00THz,paired_024.00_025.00THz,paired_025.00_026.00THz,paired_026.00_027.00THz,paired_027.00_028.00THz,paired_028.00_029.00THz,paired_029.00_030.00THz,paired_030.00_031.00THz,paired_031.00_032.00THz,paired_032.00_033.00THz,paired_033.00_034.00THz,paired_034.00_035.00THz,paired_035.00_036.00THz,paired_036.00_037.00THz,paired_037.00_038.00THz,paired_038.00_039.00THz,paired_039.00_040.00THz,paired_040.00_041.00THz,paired_041.00_042.00THz,paired_042.00_043.00THz,paired_043.00_044.00THz,paired_044.00_045.00THz,paired_045.00_046.00THz,paired_046.00_047.00THz,paired_047.00_048.00THz,paired_048.00_049.00THz,paired_049.00_050.00THz,paired_050.00_051.00THz,paired_051.00_052.00THz,paired_052.00_053.00THz,paired_053.00_054.00THz,paired_054.00_055.00THz,paired_055.00_056.00THz,paired_056.00_057.00THz,paired_057.00_058.00THz,paired_058.00_059.00THz,paired_059.00_060.00THz,paired_060.00_061.00THz,paired_061.00_062.00THz,paired_062.00_063.00THz,paired_063.00_064.00THz,paired_064.00_065.00THz,paired_065.00_066.00THz,paired_066.00_067.00THz,paired_067.00_068.00THz,paired_068.00_069.00THz,paired_069.00_070.00THz,paired_070.00_071.00THz,paired_071.00_072.00THz,paired_072.00_073.00THz,paired_073.00_074.00THz,paired_074.00_075.00THz,paired_075.00_076.00THz,paired_076.00_077.00THz,paired_077.00_078.00THz,paired_078.00_079.00THz,paired_079.00_080.00THz,paired_080.00_081.00THz,paired_081.00_082.00THz,paired_082.00_083.00THz,paired_083.00_084.00THz,paired_084.00_085.00THz,paired_085.00_086.00THz,paired_086.00_087.00THz,paired_087.00_088.00THz,paired_088.00_089.00THz,paired_089.00_090.00THz,paired_090.00_091.00THz,paired_091.00_092.00THz,paired_092.00_093.00THz,paired_093.00_094.00THz,paired_094.00_095.00THz,paired_095.00_096.00THz,paired_096.00_097.00THz,paired_097.00_098.00THz,paired_098.00_099.00THz,paired_099.00_100.00THz
00x,0.0136280336447112,0.008822455699154599,0.007786919167572538,0.01143812202015561,0.016324484903449534,0.016797293307949043,0.023880944942339995,0.0685272998887683,0.18605427047156062,0.11571649493847878,0.2698205447179643,0.23568274382154447,0.1342174908747231,0.049332479942109174,0.042537413461781706,0.03609826363950409,0.01896368294925742,0.012961926531446594,0.0,0.005138511107782855,0.0019374134367156808,0.0032163385201282152,0.0031102110221397305,0.0029776183389398133,0.0,0.0002476237898033633,0.0005910486027624352,0.001186222827106018,0.0011372401854030279,0.0013282419601221335,0.0008715843409877054,0.0005139349199894527,0.00042852387718183015,0.00043546056847121664,0.00029102515904884016,0.00038928720848427416,0.0012824626311109342,0.0006684654560652816,0.00027131390684692066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.030663933386750303,0.11479121180722683,0.07664391229616906,0.09580348038675532,0.10861269631489065,0.08667627031165262,0.07105133606580082,0.08152580578840148,0.0783256721699013,0.062369902189121085,0.09971180869153015,0.1353651906090178,0.07119966309375189,0.09880970913067987,0.12906213821188928,0.01950783475312362,0.007541724094324966,0.005106254907237112,0.009566663906962146,0.009039720911992045,0.0,0.0,0.0,0.0,0.0,0.0,0.000359012392716703,0.0005151652738075062,0.000322955634693961,0.0008648427992641133,0.001445476093670688,0.0005964937669288633,0.0035898510043163574,0.004004659100261885,0.0017644685158945534,0.0011752193146433165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,0.13807782025610668,0.1128328062369028,0.15139163667524824,0.29776655470020535,0.3862647758082742,0.4838484924441599,0.5419492793706885,0.5177544543875182,0.6798359399780408,0.7627155845662128,0.7796329290584032,0.7345695871194118,0.635630140670466,0.8545715215896286,0.0,0.0,0.026699657000452744,0.03732792433097797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.020201900907680405,0.047755421714180464,0.059627036298074663,0.08035157771574657,0.08677057642203077,0.09645414244412744,0.08530972668756341,0.08022715038773603,0.08215078887829659,0.12035512496628624,0.10785552661781253,0.11808127329722523,0.11308082025609169,0.11791301626946235,0.1643633153119851,0.0331845572711062,0.02754373738436055,0.030760973831519444,0.008136606274769257,0.01327312432806367,0.004556264210704465,0.0,0.0,0.0,0.0,0.0018913331801157808,0.0017149286689461154,0.0015638667968163034,0.0008939166333068888,0.0009165738650298881,0.0009382901540401122,0.0008818848933390851,0.0007480129223272931,0.0025959883832294807,0.001687122420510339,0.0013232000286845186,0.001044731339164781,0.0009045031842511878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.09642746749674468,0.08491575958887707,0.13330422373700113,0.17536091012164565,0.27380463773481223,0.4450609111559209,0.6083669725716969,0.6264166060160756,0.4298903114594716,0.4845786157382464,0.09720781674342538,0.0,0.0,0.014623232918829682,0.052047932317435985,0.0017320656773778286,0.009939050517160762,0.01913881460599473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,0.1864909161278374,0.14837709745348826,0.20446398851798772,0.3783993578166483,0.42651489050815306,0.49514738575074635,0.48108371935131267,0.4835240336373021,0.7167737613689108,0.750676238570807,0.7680990454958403,0.7599643368880967,0.6832892487223199,0.787671587953912,0.8548340074530065,0.04814689623750369,0.03271690832648503,0.04682016014517282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.8386596199485941,0.7335233781204439,0.7411010515220228,0.6887114485657454,0.4486550306388311,0.426478804990603,0.646014252274543,0.558911196188533,0.770790904080115,0.888276524775869,0.93576486748256,0.9375195737047425,0.9357017235108349,0.9314723679576146,0.9678472774667181,0.9911083548108295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.17229119649172356,0.16994203725195586,0.16333703109358902,0.17877107322727828,0.28975101896028876,0.43422137707530895,0.516829799911628,0.6343106505106985,0.7322242604975403,0.7688220663771114,0.7905911270712872,0.795253941488559,0.5044115281862294,0.8668293547592784,0.9127671458760525,0.0,0.03187191307771409,0.0385457508745107,0.03798364162211102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,0.11356293402582147,0.1301879456615334,0.15980019799135411,0.23017102622999436,0.2958805572174843,0.41894552524099005,0.4528760181453062,0.4934318308942783,0.5968982244461057,0.5474245506420333,0.7011231272347472,0.6057372773108646,0.669271496745973,0.6923423476040446,0.0,0.05786255853022316,0.04869147574978064,0.04257719166331942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.06662286859553593,0.27667340606660257,0.05326512070466907,0.05338065799102806,0.1090659026574209,0.1575457116596541,0.17246613067251468,0.11747549272443888,0.10113826834690108,0.14968927455556852,0.10184962793557142,0.13811557372535369,0.13289692884453796,0.1529818711386548,0.17429976672630548,0.02747708499606479,0.03624994322066786,0.022433022795573604,0.01372494731276467,0.012251462076926867,0.01023164667554908,0.0,0.0,0.0,0.004172651189194362,0.0015693647345577468,0.0016121526212664204,0.001509894496866868,0.0015039909438958532,0.0011875622201104753,0.001249532412511959,0.0011756950963473542,0.0018881889106527388,0.002576819941053765,0.002070708411445353,0.0016270812919128464,0.0012300934401741968,0.0010682468776327518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
