ID,LiPDOS_000.00_001.00THz,LiPDOS_001.00_002.00THz,LiPDOS_002.00_003.00THz,LiPDOS_003.00_004.00THz,LiPDOS_004.00_005.00THz,LiPDOS_005.00_006.00THz,LiPDOS_006.00_007.00THz,LiPDOS_007.00_008.00THz,LiPDOS_008.00_009.00THz,LiPDOS_009.00_010.00THz,LiPDOS_010.00_011.00THz,LiPDOS_011.00_012.00THz,LiPDOS_012.00_013.00THz,LiPDOS_013.00_014.00THz,LiPDOS_014.00_015.00THz,LiPDOS_015.00_016.00THz,LiPDOS_016.00_017.00THz,LiPDOS_017.00_018.00THz,LiPDOS_018.00_019.00THz,LiPDOS_019.00_020.00THz,LiPDOS_020.00_021.00THz,LiPDOS_021.00_022.00THz,LiPDOS_022.00_023.00THz,LiPDOS_023.00_024.00THz,LiPDOS_024.00_025.00THz,LiPDOS_025.00_026.00THz,LiPDOS_026.00_027.00THz,LiPDOS_027.00_028.00THz,LiPDOS_028.00_029.00THz,LiPDOS_029.00_030.00THz,LiPDOS_030.00_031.00THz,LiPDOS_031.00_032.00THz,LiPDOS_032.00_033.00THz,LiPDOS_033.00_034.00THz,LiPDOS_034.00_035.00THz,LiPDOS_035.00_036.00THz,LiPDOS_036.00_037.00THz,LiPDOS_037.00_038.00THz,LiPDOS_038.00_039.00THz,LiPDOS_039.00_040.00THz,LiPDOS_040.00_041.00THz,LiPDOS_041.00_042.00THz,LiPDOS_042.00_043.00THz,LiPDOS_043.00_044.00THz,LiPDOS_044.00_045.00THz,LiPDOS_045.00_046.00THz,LiPDOS_046.00_047.00THz,LiPDOS_047.00_048.00THz,LiPDOS_048.00_049.00THz,LiPDOS_049.00_050.00THz,LiPDOS_050.00_051.00THz,LiPDOS_051.00_052.00THz,LiPDOS_052.00_053.00THz,LiPDOS_053.00_054.00THz,LiPDOS_054.00_055.00THz,LiPDOS_055.00_056.00THz,LiPDOS_056.00_057.00THz,LiPDOS_057.00_058.00THz,LiPDOS_058.00_059.00THz,LiPDOS_059.00_060.00THz,LiPDOS_060.00_061.00THz,LiPDOS_061.00_062.00THz,LiPDOS_062.00_063.00THz,LiPDOS_063.00_064.00THz,LiPDOS_064.00_065.00THz,LiPDOS_065.00_066.00THz,LiPDOS_066.00_067.00THz,LiPDOS_067.00_068.00THz,LiPDOS_068.00_069.00THz,LiPDOS_069.00_070.00THz,LiPDOS_070.00_071.00THz,LiPDOS_071.00_072.00THz,LiPDOS_072.00_073.00THz,LiPDOS_073.00_074.00THz,LiPDOS_074.00_075.00THz,LiPDOS_075.00_076.00THz,LiPDOS_076.00_077.00THz,LiPDOS_077.00_078.00THz,LiPDOS_078.00_079.00THz,LiPDOS_079.00_080.00THz,LiPDOS_080.00_081.00THz,LiPDOS_081.00_082.00THz,LiPDOS_082.00_083.00THz,LiPDOS_083.00_084.00THz,LiPDOS_084.00_085.00THz,LiPDOS_085.00_086.00THz,LiPDOS_086.00_087.00THz,LiPDOS_087.00_088.00THz,LiPDOS_088.00_089.00THz,LiPDOS_089.00_090.00THz,LiPDOS_090.00_091.00THz,LiPDOS_091.00_092.00THz,LiPDOS_092.00_093.00THz,LiPDOS_093.00_094.00THz,LiPDOS_094.00_095.00THz,LiPDOS_095.00_096.00THz,LiPDOS_096.00_097.00THz,LiPDOS_097.00_098.00THz,LiPDOS_098.00_099.00THz,LiPDOS_099.00_100.00THz
00x,0.0005288637514421129,0.0033719019135755608,0.007677077045115974,0.013800714580300133,0.018234535272369283,0.019554740778261914,0.0022190790950444516,0.03366485435149059,0.1497336970884009,0.11201259531221114,0.22371519471760226,0.20065258695368396,0.12789384085906302,0.020514319125427432,0.021448237458554127,0.02182946880134007,0.013492762079592205,0.002650533304415593,0.0,0.0015565745149760865,0.0004207312508536046,0.000887917717899268,0.0012988562619608848,4.049990503620905e-05,0.0,8.288130837416621e-06,0.00013710874718615075,0.000224852327060281,0.00021287442074105977,0.0002404941431461412,0.0007367588559167466,0.00021435171139858988,0.00022503753738619442,2.6175466407390563e-05,0.00018728496756142897,0.0002972103853995288,0.0001849793749140533,0.00010138686459262279,3.6149288356366037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.0004537254328799009,0.02833490667995727,0.05883444494467254,0.09866817661805248,0.11191238867992608,0.074507633108215,0.06645664179438238,0.0810287339017614,0.09761592906866025,0.055853324378635605,0.07366837129461208,0.10714881318953819,0.0668680464796569,0.03411083879826752,0.0063348898521089336,0.015870183562486064,0.007557481302839809,0.0016869814477830432,0.006110450771073652,0.0028123326578093607,0.0,0.0,0.0,0.0,0.0,0.0,0.00022559426142340088,0.0005427216131073173,0.00031395809651531655,0.0006097263668865209,0.0009511981791663563,9.017447019890509e-05,0.00015266127980952528,0.0006464308077000036,0.00043930998382471677,0.00019393097804950473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,0.0028742635472170023,0.018404322653564956,0.031126442352341438,0.039211629998999194,0.07283044354507154,0.07667511961955976,0.0903977128284455,0.07754328514092144,0.09497666372406549,0.14208851818930607,0.09423197380987054,0.12154537859863374,0.08021052141409023,0.05387087390928119,0.0,0.0,0.0022128305087015156,0.0018000201599303938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.00019890704834915496,0.004897470532797861,0.03270615606046708,0.0589791526653413,0.06672204607643495,0.07938726439438545,0.06640930068685605,0.08760780052263373,0.071755245179033,0.08460999046603139,0.08144928730589465,0.08121290053419829,0.08073136363498586,0.0960549609850902,0.0427833312070114,0.023363735159333564,0.023162053877508523,0.006172018639191507,0.004812692287267411,0.002503815046451627,1.2511462044497053e-05,0.0,0.0,0.0,0.0,0.00014138558863124734,0.0002785485430247328,0.00026659432354684284,0.00035476260313511385,0.0007057560292056396,0.0007535702649543914,0.0004159367084692901,0.0002455507393417558,0.0005954227487188515,0.00047125971605361936,0.00010796418097675675,7.449374625619922e-05,5.675103637805469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.0004911373418153368,0.004151575864029599,0.02671148955949786,0.05857767708285431,0.07690987829738716,0.17910900761435758,0.2633646766983125,0.21195359617366621,0.12213102738717525,0.04205850728597293,0.007863698454541575,0.0,0.0,0.000898031534247215,5.934817947788111e-05,6.540766667202748e-05,0.0017859163372762907,0.0038690245227162557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,0.005112931435389191,0.026796078222993,0.05247829490355021,0.058078080020528534,0.08102274887551632,0.07302777380297688,0.07682414421184147,0.07275814702710583,0.09901623847143982,0.1106576802403299,0.09953419081497035,0.11716835663818348,0.07081023076258652,0.031010365500498988,0.018257133771332357,0.0018022230660236652,0.0027261859571963217,0.002919196277537166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.0017896569018649462,0.008143197510839105,0.03019323696599915,0.05910782819103359,0.046241182973950516,0.04560688471286011,0.0902578639741125,0.0930978214033555,0.04823726163237353,0.12493109732664756,0.13858438372337797,0.015813223590618253,0.08015484656773268,0.11549159094318119,0.10055572274807237,0.0017942008339810035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.004057097507096665,0.019066910786962744,0.03602109218175409,0.03371586302862956,0.03904282370294139,0.06124096964862589,0.10152913247559896,0.133173126867866,0.12706795381373226,0.11512728221167824,0.11701291108173659,0.07781204537917992,0.05933055255300135,0.040588137369845505,0.027970413074738774,0.0,0.004581057791107916,0.0024417540936130986,0.0002208764318910664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,0.003253455877011741,0.0229808738522438,0.03299781422716275,0.044927558761222175,0.06042106969380515,0.07888572396142836,0.08293076859128354,0.09091211800529495,0.10026547301788867,0.1115566866090912,0.16093840774065762,0.0941081896372464,0.07023699582058474,0.03393683030104054,0.0,0.00647096895313619,0.00289467234297933,0.0022823926079228287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.00045249992512271593,0.02420702617391807,0.01908773986923438,0.027110481876748905,0.06664008564135507,0.10022417105294452,0.10264653440465056,0.08686596306624716,0.0699688427571817,0.08905082482065543,0.06339793709839708,0.08421965221412439,0.0712862079122732,0.10296827919081765,0.04041069039973026,0.012342808973474598,0.02264519407026927,0.003679492640347433,0.0032321276981617676,0.0048651383434820325,0.00023322908500079514,0.0,0.0,0.0,0.00018133376666729396,9.449574937283954e-06,0.0002652753016413046,0.000358810157774199,0.0004991247136207054,0.0005212293134475475,0.0005275784090987674,0.00044608554864889794,0.0003648984949714156,0.00030802489623268697,0.0005631542233303299,0.0002905112934441732,7.122488660492177e-05,5.83722054434795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
