ID,totalDOS_000.00_000.50THz,totalDOS_000.50_001.00THz,totalDOS_001.00_001.50THz,totalDOS_001.50_002.00THz,totalDOS_002.00_002.50THz,totalDOS_002.50_003.00THz,totalDOS_003.00_003.50THz,totalDOS_003.50_004.00THz,totalDOS_004.00_004.50THz,totalDOS_004.50_005.00THz,totalDOS_005.00_005.50THz,totalDOS_005.50_006.00THz,totalDOS_006.00_006.50THz,totalDOS_006.50_007.00THz,totalDOS_007.00_007.50THz,totalDOS_007.50_008.00THz,totalDOS_008.00_008.50THz,totalDOS_008.50_009.00THz,totalDOS_009.00_009.50THz,totalDOS_009.50_010.00THz,totalDOS_010.00_010.50THz,totalDOS_010.50_011.00THz,totalDOS_011.00_011.50THz,totalDOS_011.50_012.00THz,totalDOS_012.00_012.50THz,totalDOS_012.50_013.00THz,totalDOS_013.00_013.50THz,totalDOS_013.50_014.00THz,totalDOS_014.00_014.50THz,totalDOS_014.50_015.00THz,totalDOS_015.00_015.50THz,totalDOS_015.50_016.00THz,totalDOS_016.00_016.50THz,totalDOS_016.50_017.00THz,totalDOS_017.00_017.50THz,totalDOS_017.50_018.00THz,totalDOS_018.00_018.50THz,totalDOS_018.50_019.00THz,totalDOS_019.00_019.50THz,totalDOS_019.50_020.00THz,totalDOS_020.00_020.50THz,totalDOS_020.50_021.00THz,totalDOS_021.00_021.50THz,totalDOS_021.50_022.00THz,totalDOS_022.00_022.50THz,totalDOS_022.50_023.00THz,totalDOS_023.00_023.50THz,totalDOS_023.50_024.00THz,totalDOS_024.00_024.50THz,totalDOS_024.50_025.00THz,totalDOS_025.00_025.50THz,totalDOS_025.50_026.00THz,totalDOS_026.00_026.50THz,totalDOS_026.50_027.00THz,totalDOS_027.00_027.50THz,totalDOS_027.50_028.00THz,totalDOS_028.00_028.50THz,totalDOS_028.50_029.00THz,totalDOS_029.00_029.50THz,totalDOS_029.50_030.00THz,totalDOS_030.00_030.50THz,totalDOS_030.50_031.00THz,totalDOS_031.00_031.50THz,totalDOS_031.50_032.00THz,totalDOS_032.00_032.50THz,totalDOS_032.50_033.00THz,totalDOS_033.00_033.50THz,totalDOS_033.50_034.00THz,totalDOS_034.00_034.50THz,totalDOS_034.50_035.00THz,totalDOS_035.00_035.50THz,totalDOS_035.50_036.00THz,totalDOS_036.00_036.50THz,totalDOS_036.50_037.00THz,totalDOS_037.00_037.50THz,totalDOS_037.50_038.00THz,totalDOS_038.00_038.50THz,totalDOS_038.50_039.00THz,totalDOS_039.00_039.50THz,totalDOS_039.50_040.00THz,totalDOS_040.00_040.50THz,totalDOS_040.50_041.00THz,totalDOS_041.00_041.50THz,totalDOS_041.50_042.00THz,totalDOS_042.00_042.50THz,totalDOS_042.50_043.00THz,totalDOS_043.00_043.50THz,totalDOS_043.50_044.00THz,totalDOS_044.00_044.50THz,totalDOS_044.50_045.00THz,totalDOS_045.00_045.50THz,totalDOS_045.50_046.00THz,totalDOS_046.00_046.50THz,totalDOS_046.50_047.00THz,totalDOS_047.00_047.50THz,totalDOS_047.50_048.00THz,totalDOS_048.00_048.50THz,totalDOS_048.50_049.00THz,totalDOS_049.00_049.50THz,totalDOS_049.50_050.00THz,totalDOS_050.00_050.50THz,totalDOS_050.50_051.00THz,totalDOS_051.00_051.50THz,totalDOS_051.50_052.00THz,totalDOS_052.00_052.50THz,totalDOS_052.50_053.00THz,totalDOS_053.00_053.50THz,totalDOS_053.50_054.00THz,totalDOS_054.00_054.50THz,totalDOS_054.50_055.00THz,totalDOS_055.00_055.50THz,totalDOS_055.50_056.00THz,totalDOS_056.00_056.50THz,totalDOS_056.50_057.00THz,totalDOS_057.00_057.50THz,totalDOS_057.50_058.00THz,totalDOS_058.00_058.50THz,totalDOS_058.50_059.00THz,totalDOS_059.00_059.50THz,totalDOS_059.50_060.00THz,totalDOS_060.00_060.50THz,totalDOS_060.50_061.00THz,totalDOS_061.00_061.50THz,totalDOS_061.50_062.00THz,totalDOS_062.00_062.50THz,totalDOS_062.50_063.00THz,totalDOS_063.00_063.50THz,totalDOS_063.50_064.00THz,totalDOS_064.00_064.50THz,totalDOS_064.50_065.00THz,totalDOS_065.00_065.50THz,totalDOS_065.50_066.00THz,totalDOS_066.00_066.50THz,totalDOS_066.50_067.00THz,totalDOS_067.00_067.50THz,totalDOS_067.50_068.00THz,totalDOS_068.00_068.50THz,totalDOS_068.50_069.00THz,totalDOS_069.00_069.50THz,totalDOS_069.50_070.00THz,totalDOS_070.00_070.50THz,totalDOS_070.50_071.00THz,totalDOS_071.00_071.50THz,totalDOS_071.50_072.00THz,totalDOS_072.00_072.50THz,totalDOS_072.50_073.00THz,totalDOS_073.00_073.50THz,totalDOS_073.50_074.00THz,totalDOS_074.00_074.50THz,totalDOS_074.50_075.00THz,totalDOS_075.00_075.50THz,totalDOS_075.50_076.00THz,totalDOS_076.00_076.50THz,totalDOS_076.50_077.00THz,totalDOS_077.00_077.50THz,totalDOS_077.50_078.00THz,totalDOS_078.00_078.50THz,totalDOS_078.50_079.00THz,totalDOS_079.00_079.50THz,totalDOS_079.50_080.00THz,totalDOS_080.00_080.50THz,totalDOS_080.50_081.00THz,totalDOS_081.00_081.50THz,totalDOS_081.50_082.00THz,totalDOS_082.00_082.50THz,totalDOS_082.50_083.00THz,totalDOS_083.00_083.50THz,totalDOS_083.50_084.00THz,totalDOS_084.00_084.50THz,totalDOS_084.50_085.00THz,totalDOS_085.00_085.50THz,totalDOS_085.50_086.00THz,totalDOS_086.00_086.50THz,totalDOS_086.50_087.00THz,totalDOS_087.00_087.50THz,totalDOS_087.50_088.00THz,totalDOS_088.00_088.50THz,totalDOS_088.50_089.00THz,totalDOS_089.00_089.50THz,totalDOS_089.50_090.00THz,totalDOS_090.00_090.50THz,totalDOS_090.50_091.00THz,totalDOS_091.00_091.50THz,totalDOS_091.50_092.00THz,totalDOS_092.00_092.50THz,totalDOS_092.50_093.00THz,totalDOS_093.00_093.50THz,totalDOS_093.50_094.00THz,totalDOS_094.00_094.50THz,totalDOS_094.50_095.00THz,totalDOS_095.00_095.50THz,totalDOS_095.50_096.00THz,totalDOS_096.00_096.50THz,totalDOS_096.50_097.00THz,totalDOS_097.00_097.50THz,totalDOS_097.50_098.00THz,totalDOS_098.00_098.50THz,totalDOS_098.50_099.00THz,totalDOS_099.00_099.50THz,totalDOS_099.50_100.00THz
00x,0.0381600798579456,0.19104996215582432,0.5795707460630202,1.6778290581963589,2.4679126849853112,3.3551741860159296,4.300436016043665,2.825958898155436,2.677331795284484,3.92015074011535,3.2713955401853703,3.604603287990077,0.5488381747405988,0.0,1.187395823716198,1.7141949144440396,1.373624212676063,3.3797602438101038,2.731786613359702,2.9855613690929204,2.1147936805138983,2.782357418708429,2.8056118069568967,2.222906253528329,3.6370051224730844,1.9911174997589143,1.4270051773399075,1.0291013301292793,0.9049880021354184,2.0731414196859106,2.0267554303158306,1.5449850164942376,1.8567645483560113,2.3456724675394014,1.207776976692955,0.0,0.0,0.0,0.5401923876926986,1.248994276834381,1.249855707527857,0.03278642209568261,0.31245494988590394,1.3180946217436116,1.2048093401469373,1.2617653618629703,0.08033559430406001,0.0,0.0,0.0,0.0,0.19769116866019942,0.778579068343646,0.591561116974006,0.524510126452796,0.5950673324199869,0.7192767755811076,0.38631377527829613,0.16752431996614803,0.9019007111160562,2.386128529899935,2.6066118358982635,1.4031955790486705,1.060243714478645,1.240223904470227,1.8614988604189335,0.3214490594799315,0.033583865336851204,0.7229665033066937,3.078012069679147,3.9097114190391977,0.5996690953578252,0.2843236414494612,0.567601872127625,0.5218081664473004,0.37402215857991905,0.07869565120196853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.05754966260502074,0.21490502733534017,1.0279750373613967,3.5171116758131165,5.713056095685128,8.421527626286974,9.074863422522643,9.888913730424534,9.960179318615857,9.012409627704997,8.179920096223071,7.648208835888539,8.02473541352559,9.197723998808655,8.891124200005123,9.409798229702645,12.607385107564852,10.340654392223229,9.451452796145759,7.037876520695136,7.233233587439145,6.370668625081379,6.0909348853658685,8.484092960018444,7.657849083127417,9.635126341122032,3.8502815897496703,2.506273356487611,0.74092610944993,0.1628674440617317,6.727203187281134,8.252455194329599,6.928873639224378,11.522787423254272,5.46871154311637,0.6145549540507602,5.175807710160086,6.585124861463328,5.088419307672723,0.6400777561781297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20153887521121305,11.368841459996702,12.23370764943877,7.164408876701373,7.514257650536138,10.385940906560506,9.796263605499917,3.185294733918113,6.688808309979606,5.42802474135533,2.5080812341163323,0.2755180541121831,0.2654106853564713,0.5176249058757207,1.62868952762841,1.3435617392757422,2.178925107195141,2.405513771956066,2.2716656052374447,0.7668207787838242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,0.12833183096051176,1.3853854189301948,4.761009722427604,7.100133349673262,7.4606177858748985,7.490363455149563,6.247944623927658,3.3279878646020364,6.496555282729588,7.2144704078181405,5.835267212821677,5.6883060040623405,5.944655390455978,6.184788640401649,6.398972508159048,4.491894322327553,5.238618717425723,4.920473097184896,6.6019168408358695,6.944937471175962,3.5514418016762477,5.2377756561229205,7.894216844684834,4.138054095679649,5.763186818437788,3.41314168389178,3.984211538012346,0.5998210931370522,0.0,0.0,0.0,0.0,3.3976724141025443,2.6290968378505966,3.481120350398669,0.025474766122044912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.027676030631133552,0.17496292829032006,0.4920376504269612,1.6186023101307332,4.631148312855418,6.657742961102691,6.907842374496489,8.198841095779883,7.137371764680001,8.688290111135892,9.181213441985896,7.758067149916904,7.102423077934262,8.918788864940879,10.46516994810527,12.00914277984144,10.947607432058675,7.028966439900486,5.328906801371218,9.13954517931927,9.072540102526148,6.4695668828302075,8.014761146060238,6.140210486855381,7.023069104170901,7.670197115592373,10.523091000842697,6.242661867764156,3.484206611252432,1.8729545712165532,6.334612626903294,8.155483147034374,7.067110016344628,10.239786936200886,3.8646769438596493,0.26477254264369776,4.519726161119735,7.65361526236282,2.292904186829986,1.5894405092283534,0.056515057243956335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538516336165486,2.4349940586903074,0.90787865133845,1.6570494402544966,1.8514074795858733,3.5341121457522604,4.633701563962688,7.9663258512132415,7.88085946371973,6.898643831372169,9.630547375923697,6.764762734029546,2.9421328223778005,3.767718439527698,2.9883984495917844,2.082910314555818,2.6375862712024514,2.764225091604658,2.9845951582069006,0.8404170717724355,0.8388477962435559,1.3861160887490769,0.0813909804791706,0.9994748701094522,0.29182975372549436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.0070579542794151715,0.054986688187392975,0.1696533881742438,0.4259083262563676,0.8375580410998287,1.6033773743979685,2.70601153752857,1.3631173546593285,1.6567386638737052,1.764973045225819,2.3073607949709416,2.594941259486802,2.5218029332975167,2.751636818715788,2.1277488610142363,1.9939818977330503,1.882904695353858,1.577847036195589,0.8281528963294669,0.22913120525174335,0.13146026080751483,0.8539742195154822,0.0,0.0,0.0,0.0,0.4121707613482215,0.33591309272808445,0.013890120457212163,0.0,0.0,0.46000906769100425,0.5727618194375665,1.6160997887940312,2.048132250103258,0.4144374904795711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,0.22148683922117282,1.7629643788749048,5.309743842579744,7.761969241587842,9.625014870948185,8.952645900996512,5.901442136178325,5.207942441158579,6.653849005003202,7.096094592548269,5.9827752249749295,4.692564689827222,6.439368284443134,5.119231118398346,6.605414704127867,4.286185854922522,2.886104558550059,7.112800991711438,3.8653613120613244,6.804457229226529,4.496023491178576,4.8835524881901335,5.9120848176024765,5.247428821090708,3.729272709539714,3.7717341643130737,1.4232548094614401,1.426384189678373,1.5458912805172247,0.0,0.19829687850221944,2.511073566551346,2.7979833876558757,3.2333225744707477,4.048360837590138,0.46456859664976946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.010642979896918857,0.027398341857730595,0.06462218644397619,0.13328089678043964,0.29493027517081943,0.43134924428912413,0.8149401303167639,0.7150169628106404,0.888032125954572,0.9493011718107396,0.8557798105543828,1.050578388659229,1.3229530656020092,1.1677072636717476,1.509378337033315,1.460018626450566,0.5175592302846113,0.5980641724696163,1.2235740791348295,1.2836544525735896,1.6614521892662264,0.9786401108522078,0.0019305480089037985,0.29875435232075986,0.8377848544821553,0.6893025997682862,0.2263723044562127,1.9839313380026198,1.1661943233920269,0.6859358657222963,0.03227167212907034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.13559642986366283,1.5672750416759085,3.209022674803067,4.904491990841468,7.417218184640239,8.530616702671779,6.5018551192842295,7.136642890891586,4.804073387614302,4.9401169583675895,4.035757944454311,6.163307283247953,6.995884149405661,7.210142983979779,7.72658356215085,7.455944923787797,5.689827620174782,6.859528208870586,5.858537468027606,4.970302208459728,5.977660525626703,4.725483249205709,4.515431103884197,2.5602868375235346,5.06783203413363,3.438119435129636,1.689503834442064,1.696559076051841,1.6772166429550452,0.5387763954410048,0.0,0.0,4.317944226693811,6.076161963532371,2.0579074433726134,2.52303595294876,0.4205157722345234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,0.16518653926820015,1.5362670056803762,4.714072333196496,5.769457708025717,6.254793150753981,6.0088537972053935,6.28487923329962,5.30753645738039,6.129838930818892,5.9980095101907835,5.3907279051175365,5.7921256769564735,4.371817287299713,6.503655503571991,5.436029925551992,5.506214026224498,4.812409130709412,5.16373923093991,8.196261969502729,3.9064616369611826,5.385145370891081,8.247407369126975,5.36928244725199,3.857598075143116,3.5957148651857267,2.6369729934654345,1.1166709992107258,1.7944627534057531,0.0,0.0,2.6742655970820692,3.96749874522186,1.2383975496176731,2.292281605110645,2.951603567350219,0.23204498093767256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.022049065581242103,0.17179785265233855,1.3394025552785263,1.1577078293931402,3.414957932979617,6.812679165971356,7.082840875949492,7.412119479636466,8.36928285545222,9.069262935940564,9.219952042119786,8.93644219564824,7.755347083391776,9.231164076249598,10.066933742032504,11.037129581048248,10.5101247474813,9.234682347744325,9.275042647446355,7.703913253934587,9.427253478333881,8.338326798386987,9.093862972230369,8.309553351001654,8.051027407462271,7.258235655665487,8.91846456503211,10.291528317007902,5.622900449597807,0.9941307440784044,3.5210546210534517,9.299507519521228,9.673879822012736,8.155343872965716,3.338375142296883,1.34289666901239,0.5502960495062723,6.170822297611522,7.696814193451189,3.6368669905165234,0.6505802748377505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072282628765947,0.7330819473767747,0.0,0.17185101508016487,1.8622032746372952,2.8340810349024537,3.429731107977034,3.3526446136788195,4.757832655145194,4.7138594140540135,5.709792529519007,6.816893048799159,5.927851115290366,6.122597230610381,6.56738692498152,4.261583431949873,2.8307833530627704,2.6847859648227086,1.2435748154482553,2.1680829947555367,3.5616675769326775,4.2003052024301155,2.592562291610875,2.5032976846334236,0.2600055989673251,1.3925549530807189,1.3497470664112257,0.20979892891534746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
