ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_comparator,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude,family,intended_formula_OBELiX,expected_formula_counts_json,spectrum_file,production_structure_file,production_structure_selection,production_structure_score,source_structure_file,source_structure_selection,source_structure_score,source_structure_role,eigen_file,eigen_selection,eigen_score,audit_status,production_parser,production_formula,production_reduced_formula,production_n_sites,production_volume_A3,production_volume_per_site_A3,production_density_g_cm3,production_min_distance_A,geometry_status,production_is_ordered,production_partial_or_mixed_sites,production_mixed_species_sites,production_underoccupied_sites,production_overoccupied_sites,composition_status,scale_all,framework_scale_raw,framework_scale_formula_units,framework_scale_nearest_integer,framework_scale_integer_deviation,framework_scale_anchor_elements,max_relative_stoich_error,framework_max_relative_stoich_error,max_absolute_count_error_atoms,framework_max_absolute_count_error_atoms,n_elements_outside_pass_tolerance,n_elements_outside_warn_tolerance,composition_total_variation_error,expected_Li_at_framework_scale,actual_Li,Li_count_error,Li_absolute_count_error,Li_relative_error,missing_elements,extra_elements,expected_counts_at_framework_scale_json,actual_counts_json,actual_minus_expected_json,element_absolute_errors_json,element_relative_errors_json,element_pass_flags_json,element_warn_flags_json,neutral_oxidation_guess_status,neutral_oxidation_guess_json,source_parser,source_formula,source_reduced_formula,source_counts_json,source_is_ordered,source_partial_or_mixed_sites,source_mixed_species_sites,source_underoccupied_sites,source_comparison_to_OBELiX,source_Li_relative_error_to_OBELiX,spectrum_n_frequency_points,spectrum_min_plotted_frequency_THz,spectrum_max_plotted_frequency_THz,spectrum_median_native_spacing_THz,spectrum_max_native_spacing_THz,spectrum_points_0_to_100_THz,spectrum_total_positive_area_0_to_100,spectrum_Li_positive_area_0_to_100,spectrum_coarse_grid_flag,spectrum_high_max_frequency_flag,spectrum_very_high_max_frequency_flag,spectrum_negative_plotted_grid_endpoint_flag,eligible_primary_audit,eligible_strict_audit,eligible_exact_audit,source_folder,li_file,total_file,selection_score,has_paired_spectrum,has_target_limit_policy,included_primary,included_strict,included_exact,primary_exclusion_reason
b4c,Li4SiS4,2,Li8.0Si2.0S8.0,1.59e-08,,,P21/m,11,6.8934,7.7675,6.1241,90.0,91.225,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,done,59708-ICSD,,,,,59708.0,18.0,,train,1.59e-08,False,,1.59e-08,1.59e-08,1.59e-08,-7.798602875679548,-7.798602875679548,-7.798602875679548,thio-LISICON,Li4SiS4,"{""Li"": 4.0, ""S"": 4.0, ""Si"": 1.0}",/content/obelix_composition_audit/combined_option_a_spectra/train/b4c/b4c_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/b4c/relaxed_b4c.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/b4c/ordered_adaptive_b4c.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,FAIL_ELEMENT_SET,pymatgen_structure,Si2 S8,SiS4,10.0,286.8122110575511,28.68122110575511,1.810367906181912,2.101692978366178,PASS,True,0.0,0.0,0.0,0.0,FAIL_ELEMENT_SET,2.0,2.0,2.0,2.0,0.0,Si;S,1.0,0.0,8.0,0.0,1.0,1.0,0.4444444444444445,8.0,0.0,-8.0,8.0,-1.0,Li,,"{""Li"": 8.0, ""S"": 8.0, ""Si"": 2.0}","{""S"": 8.0, ""Si"": 2.0}","{""Li"": -8.0, ""S"": 0.0, ""Si"": 0.0}","{""Li"": 8.0, ""S"": 0.0, ""Si"": 0.0}","{""Li"": 1.0, ""S"": 0.0, ""Si"": 0.0}","{""Li"": false, ""S"": true, ""Si"": true}","{""Li"": false, ""S"": true, ""Si"": true}",neutral_assignment_found,"{""S"": -1.0, ""Si"": 4.0}",pymatgen_structure,Si2 S8,SiS4,"{""S"": 8.0, ""Si"": 2.0}",True,0.0,0.0,0.0,FAIL_ELEMENT_SET,-1.0,201.0,-2.1771343103655294,21.70809829777489,0.1194261630407016,0.1194261630407105,182.0,26.772972637204425,0.0,False,False,False,True,False,False,False,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/b4c,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/b4c/Lithium_PDOS_b4c.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/b4c/Total_DOS_b4c.csv,980.0,True,True,False,False,False,audit:FAIL_ELEMENT_SET/PASS
7se,Li3.8Si0.8P0.2S4,24,Li91.2Si19.2P4.8S96.0,8.11e-07,,,P21/m,11,13.7707,23.304,12.1962,90.0,91.168,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,8.11e-07,False,,8.11e-07,8.11e-07,8.11e-07,-6.090979145788844,-6.090979145788844,-6.090979145788844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
5e2,Li3.6Si0.6P0.4S4,24,Li86.4Si14.4P9.6S96.0,7.19e-05,,,P21/m,11,13.6233,23.4044,12.2258,90.0,90.133,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,7.19e-05,False,,7.19e-05,7.19e-05,7.19e-05,-4.1432711096171175,-4.1432711096171175,-4.1432711096171175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
dj2,Li3.4Si0.4P0.6S4,24,Li81.6Si9.6P14.4S96.0,0.000662,,,P21/m,11,13.3678,23.6448,12.2154,90.0,90.134,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,0.000662,False,,0.000662,0.000662,0.000662,-3.1791420105603,-3.1791420105603,-3.1791420105603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
10u,Li3.2Si0.2P0.8S4,24,Li76.8Si4.8P19.2S96.0,3.2e-06,,,P21/m,11,13.0804,24.1028,12.2338,90.0,90.03,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,3.2e-06,False,,3.2e-06,3.2e-06,3.2e-06,-5.494850021680094,-5.494850021680094,-5.494850021680094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
gl0,Li4.2Si0.8Al0.2S4,2,Li8.4Si1.6Al0.4S8.0,2.4e-08,,,P21/m,11,6.903,7.787,6.125,90.0,90.877,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,2.4e-08,False,,2.4e-08,2.4e-08,2.4e-08,-7.619788758288394,-7.619788758288394,-7.619788758288394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
wmr,Li4.4Si0.6Al0.4S4,2,Li8.8Si1.2Al0.8S8.0,3.05e-08,,,P21/m,11,6.862,7.81,6.113,90.0,90.23,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,3.05e-08,False,,3.05e-08,3.05e-08,3.05e-08,-7.515700160653214,-7.515700160653214,-7.515700160653214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
xxq,Li4.6Si0.4Al0.6S4,2,Li9.2Si0.8Al1.2S8.0,1.46e-08,,,P21/m,11,6.858,7.82,6.217,90.0,89.947,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,1.46e-08,False,,1.46e-08,1.46e-08,1.46e-08,-7.835647144215563,-7.835647144215563,-7.835647144215563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
h8o,Li4.8Si0.2Al0.8S4,2,Li9.6Si0.4Al1.6S8.0,2.29e-07,,,P21/m,11,6.843,7.833,6.235,90.0,89.846,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,2.29e-07,False,,2.29e-07,2.29e-07,2.29e-07,-6.640164517660112,-6.640164517660112,-6.640164517660112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
dmq,Li3AlS3,8,Li24.0Al8.0S24.0,1.31e-08,,,C2/c,15,14.31901,11.98037,6.627,90.0,116.9231,90.0,sulfides,10.1021/acs.chemmater.9b03230,1,D1 - 913,done,appendix,,,,,101899.0,,770.0,train,1.31e-08,False,,1.31e-08,1.31e-08,1.31e-08,-7.882728704344236,-7.882728704344236,-7.882728704344236,sulfides,Li3AlS3,"{""Al"": 1.0, ""Li"": 3.0, ""S"": 3.0}",/content/obelix_composition_audit/combined_option_a_spectra/train/dmq/dmq_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/dmq/relaxed_dmq.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/dmq/ordered_adaptive_dmq.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,WARN_INTEGERIZATION_APPROXIMATION,pymatgen_structure,Li24 Al7 S23,Li24Al7S23,54.0,1007.9616294694148,18.66595610128546,1.8005504780371258,0.5014558534346416,FAIL_SEVERE_OVERLAP,True,0.0,0.0,0.0,0.0,WARN_INTEGERIZATION_APPROXIMATION,8.0,7.666666666666667,8.0,8.0,0.333333333333333,Al;S,0.125,0.125,1.0,1.0,1.0,0.0,0.0158730158730158,24.0,24.0,0.0,0.0,0.0,,,"{""Al"": 8.0, ""Li"": 24.0, ""S"": 24.0}","{""Al"": 7.0, ""Li"": 24.0, ""S"": 23.0}","{""Al"": -1.0, ""Li"": 0.0, ""S"": -1.0}","{""Al"": 1.0, ""Li"": 0.0, ""S"": 1.0}","{""Al"": 0.125, ""Li"": 0.0, ""S"": 0.04166667}","{""Al"": false, ""Li"": true, ""S"": true}","{""Al"": true, ""Li"": true, ""S"": true}",neutral_assignment_found,"{""Al"": 3.0, ""Li"": 1.0, ""S"": -1.9565217391304348}",pymatgen_structure,Li24 Al7 S23,Li24Al7S23,"{""Al"": 7.0, ""Li"": 24.0, ""S"": 23.0}",True,0.0,0.0,0.0,WARN_INTEGERIZATION_APPROXIMATION,0.0,201.0,-16.787438339278104,122.51238017132069,0.6964990925529939,0.6964990925530401,143.0,139.95004907937098,51.39820229573765,False,False,False,True,False,False,False,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/dmq,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/dmq/Lithium_PDOS_dmq.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/dmq/Total_DOS_dmq.csv,980.0,True,True,False,False,False,audit:WARN_INTEGERIZATION_APPROXIMATION/FAIL_SEVERE_OVERLAP
