split,ID,source_folder,filtered_folder,source_li_file,source_total_file,filtered_li_file,filtered_total_file,li_staging_method,total_staging_method,auxiliary_file_count,auxiliary_staging_methods,status
test,1ty,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty,/content/obelix_audit_filtered_spectra/Test_cif/1ty,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty/Lithium_PDOS_1ty.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/1ty/Total_DOS_1ty.csv,/content/obelix_audit_filtered_spectra/Test_cif/1ty/Lithium_PDOS_1ty.csv,/content/obelix_audit_filtered_spectra/Test_cif/1ty/Total_DOS_1ty.csv,copy2,copy2,2,copy2,ok
test,24k,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k,/content/obelix_audit_filtered_spectra/Test_cif/24k,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k/Lithium_PDOS_24k.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/24k/Total_DOS_24k.csv,/content/obelix_audit_filtered_spectra/Test_cif/24k/Lithium_PDOS_24k.csv,/content/obelix_audit_filtered_spectra/Test_cif/24k/Total_DOS_24k.csv,copy2,copy2,2,copy2,ok
test,2r7,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7,/content/obelix_audit_filtered_spectra/Test_cif/2r7,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7/Lithium_PDOS_2r7.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2r7/Total_DOS_2r7.csv,/content/obelix_audit_filtered_spectra/Test_cif/2r7/Lithium_PDOS_2r7.csv,/content/obelix_audit_filtered_spectra/Test_cif/2r7/Total_DOS_2r7.csv,copy2,copy2,2,copy2,ok
test,2uv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv,/content/obelix_audit_filtered_spectra/Test_cif/2uv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv/Lithium_PDOS_2uv.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/2uv/Total_DOS_2uv.csv,/content/obelix_audit_filtered_spectra/Test_cif/2uv/Lithium_PDOS_2uv.csv,/content/obelix_audit_filtered_spectra/Test_cif/2uv/Total_DOS_2uv.csv,copy2,copy2,2,copy2,ok
test,4p7,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7,/content/obelix_audit_filtered_spectra/Test_cif/4p7,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7/Lithium_PDOS_4p7.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/4p7/Total_DOS_4p7.csv,/content/obelix_audit_filtered_spectra/Test_cif/4p7/Lithium_PDOS_4p7.csv,/content/obelix_audit_filtered_spectra/Test_cif/4p7/Total_DOS_4p7.csv,copy2,copy2,2,copy2,ok
test,7cr,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr,/content/obelix_audit_filtered_spectra/Test_cif/7cr,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr/Lithium_PDOS_7cr.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/7cr/Total_DOS_7cr.csv,/content/obelix_audit_filtered_spectra/Test_cif/7cr/Lithium_PDOS_7cr.csv,/content/obelix_audit_filtered_spectra/Test_cif/7cr/Total_DOS_7cr.csv,copy2,copy2,2,copy2,ok
test,9n0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9n0,/content/obelix_audit_filtered_spectra/Test_cif/9n0,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9n0/Lithium_PDOS_9n0.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9n0/Total_DOS_9n0.csv,/content/obelix_audit_filtered_spectra/Test_cif/9n0/Lithium_PDOS_9n0.csv,/content/obelix_audit_filtered_spectra/Test_cif/9n0/Total_DOS_9n0.csv,copy2,copy2,2,copy2,ok
test,9o6,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9o6,/content/obelix_audit_filtered_spectra/Test_cif/9o6,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9o6/Lithium_PDOS_9o6.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9o6/Total_DOS_9o6.csv,/content/obelix_audit_filtered_spectra/Test_cif/9o6/Lithium_PDOS_9o6.csv,/content/obelix_audit_filtered_spectra/Test_cif/9o6/Total_DOS_9o6.csv,copy2,copy2,2,copy2,ok
test,aab,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/aab,/content/obelix_audit_filtered_spectra/Test_cif/aab,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/aab/Lithium_PDOS_aab.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/aab/Total_DOS_aab.csv,/content/obelix_audit_filtered_spectra/Test_cif/aab/Lithium_PDOS_aab.csv,/content/obelix_audit_filtered_spectra/Test_cif/aab/Total_DOS_aab.csv,copy2,copy2,2,copy2,ok
test,ar1,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ar1,/content/obelix_audit_filtered_spectra/Test_cif/ar1,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ar1/Lithium_PDOS_ar1.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ar1/Total_DOS_ar1.csv,/content/obelix_audit_filtered_spectra/Test_cif/ar1/Lithium_PDOS_ar1.csv,/content/obelix_audit_filtered_spectra/Test_cif/ar1/Total_DOS_ar1.csv,copy2,copy2,2,copy2,ok
