ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_comparator,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude
jqc,Li7BiO6,1,Li7.0Bi1.0O6.0,1.58489e-06,,,P -1,2,5.5071,6.0425,5.5231,116.912,120.867,62.234,hexaoxometalates,10.1002/zaac.200500231,1,D2 - 3,done,155950-ICSD,,partial occupancy not correct,,,155950.0,3.0,,train,1.58489e-06,False,,1.58489e-06,1.58489e-06,1.58489e-06,-5.800000874803203,-5.800000874803203,-5.800000874803203
oi6,Li7SbO6,1,Li7.0Sb1.0O6.0,6.7e-08,,,P -1,2,5.4307,5.8916,5.385,116.748,119.63,62.779,hexaoxometalates,10.1021/ic030208w,1,D2 - 3,done,413370-ICSD,,partial occupancy not correct,,,413370.0,3.0,,train,6.7e-08,False,,6.7e-08,6.7e-08,6.7e-08,-7.173925197299173,-7.173925197299173,-7.173925197299173
2t8,LiV(PO4)F,2,Li2.0V2.0P2.0O8.0F2.0,8.1e-07,,,P -1,2,5.3115,7.2617,5.1744,107.934,98.444,107.547,Tavorite,10.1016/j.ssi.2013.04.002,1,D2 - 6,done,,,appendix: diffraction data available,,,,6.0,,train,8.1e-07,False,,8.1e-07,8.1e-07,8.1e-07,-6.0915149811213505,-6.0915149811213505,-6.0915149811213505
47i,Li4P2O7,2,Li8.0P4.0O14.0,<1E-10,,,P -1,2,8.5632,7.1099,5.1858,111.426,89.991,103.055,diphosphate,10.1016/j.jssc.2013.12.015,1,D2 - 8,done,248414-ICSD,,,,,248414.0,8.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
clt,Li6CuB4O10,1,Li6.0Cu1.0B4.0O10.0,1e-13,,,P -1,2,3.31218,6.68272,9.27858,78.8443,89.7596,86.6143,copper pyroborate,10.1021/acs.inorgchem.8b01785,1,D2 - 10,done,4819-ICSD,,,,,4819.0,10.0,,train,1e-13,False,,1e-13,1e-13,1e-13,-13.0,-13.0,-13.0
ix1,Li0.91Hf2.022(PO4)3,6,Li5.46Hf12.13P18.0O72.0,3.2e-07,,,R-3c,167,8.8306,8.8306,22.027,90.0,90.0,120.0,NASICON,10.1021/cm970078n,0,D2 - 11,done,83501-ICSD,,true formula: Hf2.032 Li0.87 O12 P3;  partial occupancy corrected,,,83501.0,11.0,,train,3.2e-07,False,,3.2e-07,3.2e-07,3.2e-07,-6.494850021680094,-6.494850021680094,-6.494850021680094
bq9,Li3BiO3,8,Li24.0Bi8.0O24.0,2.4e-10,,,P -1,2,9.02743,9.7388,9.23917,114.04632,89.29499,107.53782,oxides,10.1016/j.ssi.2015.10.016,1,D2 - 30,done,40245-ICSD,,D - Rhi - 1_si_1_ Li3BiO3,Yes,10.1002/zaac.19895760119,40245.0,30.0,,train,2.4e-10,False,,2.4e-10,2.4e-10,2.4e-10,-9.619788758288394,-9.619788758288394,-9.619788758288394
skm,Li5BiO5,2,Li10.0Bi2.0O10.0,3.9e-09,,,Cm,8,9.97608,4.15207,5.94635,90.0,109.48577,90.0,oxides,10.1016/j.ssi.2015.10.016,1,D2 - 30,done,203031-ICSD ,,D - Rhi - 1_si_2_ Li5BiO5,,,203031.0,30.0,,train,3.9e-09,False,,3.9e-09,3.9e-09,3.9e-09,-8.4089353929735,-8.4089353929735,-8.4089353929735
pwr,Li7.22Si1.5P0.5O8,1,Li7.22Si1.5P0.5O8.0,1.64e-07,,,P21/m,11,5.10536,6.11225,5.29671,90.0,90.3692,90.0,LISICON,10.1021/jacs.5b04444,1,D2 - 16; D1 - 568,done,238602-ICSD ,,partial occupancy corrected,,,238602.0,16.0,,train,1.64e-07,False,,1.64e-07,1.64e-07,1.64e-07,-6.785156151952302,-6.785156151952302,-6.785156151952302
b4c,Li4SiS4,2,Li8.0Si2.0S8.0,1.59e-08,,,P21/m,11,6.8934,7.7675,6.1241,90.0,91.225,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,done,59708-ICSD,,,,,59708.0,18.0,,train,1.59e-08,False,,1.59e-08,1.59e-08,1.59e-08,-7.798602875679548,-7.798602875679548,-7.798602875679548
