ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude,kernel_split
00x,LiGd(PO3)4,4,Li4.0Gd4.0P16.0O48.0,<1E-10,,,C2/c,15,16.386,7.059,9.677,90.0,126.12,90.0,phosphates,10.1016/j.jssc.2006.06.003,1,D2 - 47,done,416442-ICSD,,,,,416442.0,47.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
019,LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,0.000161,,, R-3c,168,8.5112,8.5112,20.8479,90.0,90.0,120.0,NASICON,10.1021/ic400577v,1,D2 - 124,done,118128-ICSD ,,,,,118128.0,124.0,,train,0.000161,False,0.000161,0.000161,0.000161,-3.7931741239681505,-3.7931741239681505,-3.7931741239681505,train
09w,Li6.05P0.95Si0.05S5Br,4,Li24.2P3.8Si0.2S20.0Br4.0,0.000437,,,F-43m,216,9.9871,9.9871,9.9871,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 168,done,appendix; ICSD,,,,,234586.0,168.0,,train,0.000437,False,0.000437,0.000437,0.000437,-3.359518563029578,-3.359518563029578,-3.359518563029578,train
0fh,Li1.2Al0.2Ge1.8(PO4)3,6,Li7.2Al1.2Ge10.8P18.0O72.0,4.83e-05,,,R-3c,167,8.2619,8.2619,20.5656,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263760-ICSD,downloaded,,,,263760.0,133.0,,train,4.83e-05,False,4.83e-05,4.83e-05,4.83e-05,-4.316052869248487,-4.316052869248487,-4.316052869248487,train
0iv,Li4P2S6,1,Li4.0P2.0S6.0,2.38e-07,,,P-31m,162,6.075,6.075,6.595,90.0,90.0,120.0,thio-phosphate,10.1016/j.ssi.2015.10.015,1,D2 - 127,done,appendix of D2-128; 242170-ICSD,,,Yes,10.1021/acs.chemmater.6b04175,242170.0,127.0,,train,2.38e-07,False,2.38e-07,2.38e-07,2.38e-07,-6.623423042943488,-6.623423042943488,-6.623423042943488,train
10s,Li6.35P0.65Si0.35S5Br,4,Li25.4P2.6Si1.4S20.0Br4.0,0.00234,,,F-43m,216,10.0468,10.0468,10.0468,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 168,done,appendix; ICSD,,,,,234596.0,168.0,,train,0.00234,False,0.00234,0.00234,0.00234,-2.630784142589857,-2.630784142589857,-2.630784142589857,train
11b,Li3P,2,Li6.0P2.0,0.000703,,,P63/mmc,194,4.273,4.273,7.594,90.0,90.0,120.0,phosphates,10.1016/0167-2738(89)90438-4,1,D2 - 157,done,ICSD ,,,,,642223.0,157.0,,train,0.000703,False,0.000703,0.000703,0.000703,-3.153044674980176,-3.153044674980176,-3.153044674980176,train
122,Li6PS5Cl,4,Li24.0P4.0S20.0Cl4.0,0.00205,,,F-43m,216,9.898,9.898,9.898,90.0,90.0,90.0,argyrodites,10.1021/jacs.7b06327,1,D2 - 167,done,ICSD ,,,,,259200.0,167.0,,train,0.00205,False,0.00205,0.00205,0.00205,-2.688246138944246,-2.688246138944246,-2.688246138944246,train
13q,Li10SnP2S12,2,Li20.0Sn2.0P4.0S24.0,0.00398,,,P42/nmc ,137,8.73685,8.73685,12.7573,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,lattice parameters not matching cif,,,,108.0,,train,0.00398,False,0.00398,0.00398,0.00398,-2.4001169279263124,-2.4001169279263124,-2.4001169279263124,train
1dm,Li1.6Al0.6Ge1.4(PO4)3,6,Li9.6Al3.6Ge8.4P18.0O72.0,0.000284,,,R-3c,167,8.2526,8.2526,20.6831,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263764-ICSD,downloaded,,,,263764.0,133.0,,train,0.000284,False,0.000284,0.000284,0.000284,-3.5466816599529625,-3.5466816599529625,-3.5466816599529625,train
1e9,Li3SbS3,4,Li12.0Sb4.0S12.0,1e-09,,,Pna21,33,7.9671,6.7883,10.0912,90.0,90.0,90.0,sulfides,10.1002/zaac.201200277,1,D2 - 55_II,done,424834-ICSD,,,,,424834.0,55.0,,train,1e-09,False,1e-09,1e-09,1e-09,-9.0,-9.0,-9.0,train
1kq,Li6P(S4.3Se0.7)Br,4,Li24.0P4.0S17.2Se2.8Br4.0,0.00301,,,F-43m,216,10.0265,10.0265,10.0265,90.0,90.0,90.0,argyrodites,10.1021/acs.inorgchem.8b02443,1,D2 - 172,done,ICSD ,,,,,267200.0,172.0,,train,0.00301,False,0.00301,0.00301,0.00301,-2.5214335044061564,-2.5214335044061564,-2.5214335044061564,train
1m8,Li6.8P0.2Ge0.8S5I,4,Li27.2P0.8Ge3.2S20.0I4.0,0.00258,,,F-43m,216,10.2998,10.2998,10.2998,90.0,90.0,90.0,argyrodites,10.1021/jacs.8b10282,1,D2 - 175,done,,,appendix: diffraction data available,,,,175.0,,train,0.00258,False,0.00258,0.00258,0.00258,-2.58838029403677,-2.58838029403677,-2.58838029403677,train
1xf,Li1.5Al0.5Ge1.5(PO4)3,6,Li9.0Al3.0Ge9.0P18.0O72.0,0.000336,,,R-3c,167,8.25658,8.25658,20.6523,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263763-ICSD,downloaded,,,,263763.0,133.0,,train,0.000336,False,0.000336,0.000336,0.000336,-3.473660722610156,-3.473660722610156,-3.473660722610156,train
1xt,LiSbO2,8,Li8.0Sb8.0O16.0,<1E-10,,,P21/c,14,4.855,17.857,5.5771,90.0,90.061,90.0,oxides,10.1021/ic201183e,1,D2 - 39,done,262075-ICSD,,,,,262075.0,39.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
20k,Li6(La2Sr)(NbO6)2,8,Li48.0La16.0Sr8.0Nb16.0O96.0,3.69e-06,,,Ia-3d ,230,12.83078,12.83078,12.83078,90.0,90.0,90.0,garnet,10.1016/j.ssi.2008.01.047,1,D2 - 217; D1 - 890,done,ICSD ,,"Value for annealed, quenched also available: 6.2e-7",,,161387.0,217.0,,train,3.69e-06,False,3.69e-06,3.69e-06,3.69e-06,-5.432973633840939,-5.432973633840939,-5.432973633840939,train
240,Li8GeP4,8,Li64.0Ge8.0P32.0,8.6e-05,,,P-43n ,218,11.7831,11.7831,11.7831,90.0,90.0,90.0,phosphates,10.1021/acs.chemmater.8b02759,1,D2 - 161,done,ICSD ,,,,,235187.0,161.0,,train,8.6e-05,False,8.6e-05,8.6e-05,8.6e-05,-4.0655015487564325,-4.0655015487564325,-4.0655015487564325,train
2t8,LiV(PO4)F,2,Li2.0V2.0P2.0O8.0F2.0,8.1e-07,,,P -1,2,5.3115,7.2617,5.1744,107.934,98.444,107.547,Tavorite,10.1016/j.ssi.2013.04.002,1,D2 - 6,done,,,appendix: diffraction data available,,,,6.0,,train,8.1e-07,False,8.1e-07,8.1e-07,8.1e-07,-6.0915149811213505,-6.0915149811213505,-6.0915149811213505,train
2wb,Li6.6La3Zr1.6Ta0.4O12,8,Li52.8La24.0Zr12.8Ta3.2O96.0,0.00047,0.00047,0.00072,Ia-3d ,230,12.947,12.947,12.947,90.0,90.0,90.0,garnet,10.1149/2.024205esl,1,D2 - 206,done,,,,Yes,10.2109/jcersj2.19022,22956.0,206.0,,train,0.00047,False,0.00047,0.00047,0.00047,-3.3279021420642825,-3.3279021420642825,-3.3279021420642825,train
3nb,(Li0.5Ce0.25Sm0.25)(MoO4),4,Li2.0Ce1.0Sm1.0Mo4.0O16.0,1.8e-10,,,I41/a ,88,5.2546,5.2546,11.5052,90.0,90.0,90.0,molybdates,10.1007/s12039-011-0068-5,1,D2 - 91,done,186452-ICSD,,partial occupancy corrected,,,186452.0,91.0,,train,1.8e-10,False,1.8e-10,1.8e-10,1.8e-10,-9.744727494896694,-9.744727494896694,-9.744727494896694,train
3rx,Li(NdTiO4),2,Li2.0Nd2.0Ti2.0O8.0,<1E-10,,,P4/nmm ,129,3.7465,3.7465,11.895,90.0,90.0,90.0,perovskites,10.4028/www.scientific.net/msf.321-324.965,1,D2 - 99,done,91844-ICSD,,,,,91844.0,99.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
3uq,Li1.3Al0.3Ge1.7(PO4)3,6,Li7.8Al1.8Ge10.2P18.0O72.0,8.24e-05,,,R-3c,167,8.26189,8.26189,20.5646,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263761-ICSD,downloaded,"check ID 242-247; refer D2 - 140, D2- 146, D1-421",,,263761.0,133.0,,train,8.24e-05,False,8.24e-05,8.24e-05,8.24e-05,-4.084072788302884,-4.084072788302884,-4.084072788302884,train
3zo,Li6.225P0.775Si0.225S5Br,4,Li24.9P3.1Si0.9S20.0Br4.0,0.00108,,,F-43m,216,10.0315,10.0315,10.0315,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 168,done,appendix; ICSD,,,,,234593.0,168.0,,train,0.00108,False,0.00108,0.00108,0.00108,-2.96657624451305,-2.96657624451305,-2.96657624451305,train
419,Li5.3La3Ta1.85Sm0.15O12,8,Li42.4La24.0Ta14.8Sm1.2O96.0,7.11e-06,,,Ia-3d ,230,12.8108,12.8108,12.8108,90.0,90.0,90.0,garnet,10.1021/acs.inorgchem.7b00816,1,D2 - 231,done,ICSD ,,,,,259165.0,231.0,,train,7.11e-06,False,7.11e-06,7.11e-06,7.11e-06,-5.148130399270234,-5.148130399270234,-5.148130399270234,train
472,Li14Nd5(Si11N19O5)O2F2,2,Li28.0Nd10.0Si22.0N38.0O14.0F4.0,1.7e-10,,,Pmmn,59,17.126,7.6155,10.123,90.0,90.0,90.0,nitridosilicates,10.1021/ja302255d,1,D2 - 65,done,appendix; 262923-ICSD,,,,,262923.0,65.0,,train,1.7e-10,False,1.7e-10,1.7e-10,1.7e-10,-9.769551078621726,-9.769551078621726,-9.769551078621726,train
47i,Li4P2O7,2,Li8.0P4.0O14.0,<1E-10,,,P -1,2,8.5632,7.1099,5.1858,111.426,89.991,103.055,diphosphate,10.1016/j.jssc.2013.12.015,1,D2 - 8,done,248414-ICSD,,,,,248414.0,8.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
4ba,LiGe2(PO4)3,6,Li6.0Ge12.0P18.0O72.0,3.33e-07,,,R-3c,167,8.287,8.287,20.475,90.0,90.0,120.0,NASICON,10.1002/chin.199345017,1,D2 -2,done,,,Precision of IC is not good non linear extrapolation,Yes,10.1016/0022-4596(91)90134-4,69763.0,2.0,,train,3.33e-07,False,3.33e-07,3.33e-07,3.33e-07,-6.47755576649368,-6.47755576649368,-6.47755576649368,train
4ea,Li(Ti0.4Sn1.6)(PO4)3,6,Li6.0Ti2.4Sn9.6P18.0O72.0,3.15e-06,,,R-3c,167,8.6121,8.6121,21.3574,90.0,90.0,120.0,NASICON,10.1016/j.physb.2011.11.006,1,D2 - 135,done,183677-ICSD,,partial occupancy corrected,,,183677.0,135.0,,train,3.15e-06,False,3.15e-06,3.15e-06,3.15e-06,-5.501689446210399,-5.501689446210399,-5.501689446210399,train
4kt,Li2CrCl4,4,Li8.0Cr4.0Cl16.0,<1E-10,,,C2/c,15,7.446,10.162,10.172,90.0,90.0,132.11,halides,10.1016/0022-4596(88)90301-5,1,D2 - 49,done,202627-ICSD,,,,,202627.0,49.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
5bz,Li3BN2,4,Li12.0B4.0N8.0,8.7e-08,,,P21/c,14,5.1502,7.0824,6.7908,90.0,112.956,90.0,boron nitride,10.1016/0022-4596(87)90135-6,1,D2 - 93,done,41022-ICSD,D2 - 93_II; Li3BN2.cif,,,,41022.0,93.0,,train,8.7e-08,False,8.7e-08,8.7e-08,8.7e-08,-7.060480747381382,-7.060480747381382,-7.060480747381382,train
5wz,Li6PS5I,4,Li24.0P4.0S20.0I4.0,1.26e-06,,,F-43m,216,10.14516,10.14516,10.14516,90.0,90.0,90.0,argyrodites,10.1021/jacs.8b10282,1,D2 - 175,done,,,appendix: diffraction data available,Yes,10.1002/anie.200703900,418489.0,175.0,,train,1.26e-06,False,1.26e-06,1.26e-06,1.26e-06,-5.8996294548824375,-5.8996294548824375,-5.8996294548824375,train
5z0,Li5AlO4,8,Li40.0Al8.0O32.0,5e-10,,,Pbca,61,9.08,8.94,9.13,90.0,90.0,90.0,oxides,10.1016/0025-5408(76)90169-0,1,D2 - 64,done,42697-ICSD,,,Yes,10.1002/zaac.19713800303,42697.0,64.0,,train,5e-10,False,5e-10,5e-10,5e-10,-9.301029995663981,-9.301029995663981,-9.301029995663981,train
5zv,Li4Zn(PO4)2,4,Li16.0Zn4.0P8.0O32.0,5.55e-18,,,P21/c,14,8.1199,10.24192,8.10549,90.0,104.8589,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,appendix,,,,,,38.0,,train,5.55e-18,False,5.55e-18,5.55e-18,5.55e-18,-17.255707016877324,-17.255707016877324,-17.255707016877324,train
