model,label,evaluation,n,MAE,RMSE,R2,Spearman_rho
static_rbf,Static RBF,nested_train_OOF,214,1.7714538248781593,2.5259877370540584,0.3590112843773776,0.6821488915899391
static_rbf,Static RBF,official_test,48,2.3305555595868506,3.0842849950271733,0.06281835920161039,0.39375578789604576
li_linear,Li-PDOS linear,nested_train_OOF,214,2.430401254037842,3.049046029922166,0.0660666805594452,0.5204090238900475
li_linear,Li-PDOS linear,official_test,48,2.139178417188392,2.7217784074174487,0.27017237340327793,0.5085422914136827
li_rbf,Li-PDOS RBF,nested_train_OOF,214,1.8171848931525036,2.380750346375295,0.4306024152193886,0.7067014169017645
li_rbf,Li-PDOS RBF,official_test,48,2.894741815009715,4.363743031461105,-0.8760011780515378,0.44788496846478926
li_clr_rbf,Li-PDOS CLR–RBF,nested_train_OOF,214,1.7115473877803615,2.347117823340631,0.44657637971883046,0.7505894081523051
li_clr_rbf,Li-PDOS CLR–RBF,official_test,48,2.6682693975796425,3.4778452117115064,-0.19161309764670498,0.30393942898248244
li_cdf_rbf,Li-PDOS CDF–RBF,nested_train_OOF,214,1.7935602250196687,2.398220425003942,0.42221521245756255,0.7264742924685212
li_cdf_rbf,Li-PDOS CDF–RBF,official_test,48,2.2444112988106895,2.7657056167545133,0.24642466799711737,0.5937889506611411
li_wasserstein,Li-PDOS Wasserstein,nested_train_OOF,214,1.6411697286777231,2.239040666082487,0.4963696763586293,0.7633681064249244
li_wasserstein,Li-PDOS Wasserstein,official_test,48,1.899146511522989,2.285145803569513,0.48555067583916456,0.6975509440726496
total_rbf,Total-DOS RBF,nested_train_OOF,214,1.917765642966696,2.522258241626095,0.3609026630839234,0.6353675030379425
total_rbf,Total-DOS RBF,official_test,48,2.20320944288324,2.989982955373969,0.11925092571379536,0.39837988874865193
total_cdf_rbf,Total-DOS CDF–RBF,nested_train_OOF,214,2.0703331263059335,2.9537684688156567,0.12352242588511653,0.6007030963249249
total_cdf_rbf,Total-DOS CDF–RBF,official_test,48,2.5101970870593777,3.3343584992172297,-0.095315803944783,0.26101689283299634
total_wasserstein,Total-DOS Wasserstein,nested_train_OOF,214,2.0226943137798865,2.7378699255295262,0.24696782856830168,0.6123509495619506
total_wasserstein,Total-DOS Wasserstein,official_test,48,2.2714550305500385,3.0226082370551692,0.09992542671657934,0.36329112345534587
static_plus_li_wasserstein,Static + Li Wasserstein,nested_train_OOF,214,1.6781977849100773,2.310827464739517,0.46355778202634845,0.7520051695674363
static_plus_li_wasserstein,Static + Li Wasserstein,official_test,48,2.042951915033528,2.5710687152930656,0.3487583949448422,0.6173446644161823
static_plus_total_wasserstein,Static + total Wasserstein,nested_train_OOF,214,1.8949311551417747,2.617732370013883,0.3116039098289203,0.6656957958191998
static_plus_total_wasserstein,Static + total Wasserstein,official_test,48,2.3305555595868506,3.0842849950271733,0.06281835920161039,0.39375578789604576
static_plus_li_plus_total,Static + Li + total Wasserstein,nested_train_OOF,214,1.777984922753852,2.37991088793594,0.43100388641032483,0.7229529611772298
static_plus_li_plus_total,Static + Li + total Wasserstein,official_test,48,2.0032668725193576,2.4983055846191813,0.38509802531087955,0.6346986429100809
