model,outer_fold,scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,MAE,RMSE,R2,Spearman_rho
static_rbf,1,0.5,"(1.0,)",0.1,1.6604676544808592,0.33447863979051046,1.7471936067276808,1.9616391822952934,-0.18010894358565266,0.015101748038097126
static_rbf,2,0.5,"(1.0,)",0.004641588833612777,1.7053165228927254,0.5153009750334004,1.6087676610876225,2.325869712131105,-0.0862455972963152,0.446315231818749
static_rbf,3,0.5,"(1.0,)",0.1,1.832916779033586,0.45449916969926285,1.4266429168618893,1.9249581055986518,0.544174617631332,0.7531744330630121
static_rbf,4,0.5,"(1.0,)",0.004641588833612777,1.443534487375711,0.35738938215406657,2.370104136807491,3.6409951633059543,0.29208468125928044,0.7063626015371213
static_rbf,5,0.5,"(1.0,)",0.1,1.9524284022140053,0.3150270481658323,1.7029681119067779,2.3804315119188018,0.21258727525411036,0.5908906796155365
li_linear,1,1.0,"(1.0,)",2.154434690031882,2.441951259651236,0.38394282062838414,2.3915371242243637,2.692756838142311,-1.2237098578216066,0.16755389448268757
li_linear,2,1.0,"(1.0,)",2.154434690031882,2.399129703791957,0.2094576784703928,1.7893857282781327,2.2266639044847407,0.004441921781764724,0.26421376927763013
li_linear,3,1.0,"(1.0,)",2.154434690031882,2.26980258290518,0.11588179128501933,2.4955375297267564,2.9783292941809587,-0.0911924869584313,0.46206185869428623
li_linear,4,1.0,"(1.0,)",2.154434690031882,2.3308018147197305,0.5954380365370014,3.0890132233480063,4.112089917191445,0.0970445754004009,0.7917487525573339
li_linear,5,1.0,"(1.0,)",2.154434690031882,2.3081113358413976,0.1932671699342733,2.3854881743875285,2.9112906842225463,-0.1777746124044135,0.21889942746421126
li_rbf,1,0.5,"(1.0,)",0.1,1.9471694661817067,0.359195754778511,1.3682968877826913,1.8072554694415643,-0.0016660216857153909,0.44572809334443664
li_rbf,2,1.0,"(1.0,)",0.1,1.7976522964227772,0.4764272405005212,1.4688334369642084,1.9509055249341296,0.2357600436122429,0.5264580551833512
