model,baseline,metric,difference_model_minus_baseline,ci95_low,ci95_high,bootstrap_p_two_sided,better_direction
li_linear,static_rbf,MAE,-0.1913771423984585,-0.796919847576969,0.39356358989779155,0.5464,negative
li_linear,static_rbf,RMSE,-0.36250658760972465,-0.9529684799856956,0.22631006245606622,0.24,negative
li_linear,static_rbf,R2,0.20735401420166755,-0.1467872519261486,0.64070064536485,0.24,positive
li_linear,static_rbf,Spearman_rho,0.11478650351763692,-0.21744117953900807,0.43103588605641596,0.5012,positive
li_rbf,static_rbf,MAE,0.5641862554228645,-0.3308536312475898,1.600768027520079,0.2532,negative
li_rbf,static_rbf,RMSE,1.2794580364339319,-0.5201503105351252,3.3928827850978456,0.3676,negative
li_rbf,static_rbf,R2,-0.9388195372531482,-3.9582881247452026,0.30867487200175286,0.3676,positive
li_rbf,static_rbf,Spearman_rho,0.054129180568743496,-0.2906272812577661,0.39567932434053354,0.7664,positive
li_clr_rbf,static_rbf,MAE,0.337713837992792,-0.16037264037878518,0.8413371604374006,0.1928,negative
li_clr_rbf,static_rbf,RMSE,0.39356021668433305,-0.07897395645495978,0.8532167141449428,0.1064,negative
li_clr_rbf,static_rbf,R2,-0.25443145684831536,-0.5538717848323254,0.05940764154241382,0.1064,positive
li_clr_rbf,static_rbf,Spearman_rho,-0.08981635891356332,-0.35587266723715566,0.1858062376828817,0.508,positive
li_cdf_rbf,static_rbf,MAE,-0.08614426077616111,-0.7023831907540551,0.5005540035286629,0.78,negative
li_cdf_rbf,static_rbf,RMSE,-0.31857937827266003,-0.9128514530473634,0.30009089220824764,0.2992,negative
li_cdf_rbf,static_rbf,R2,0.183606308795507,-0.1909134375453948,0.6259934661817596,0.2992,positive
li_cdf_rbf,static_rbf,Spearman_rho,0.20003316276509536,-0.12892178617565578,0.5312157020529558,0.2268,positive
li_wasserstein,static_rbf,MAE,-0.4314090480638615,-0.9475796470570035,0.08527268122088488,0.0968,negative
li_wasserstein,static_rbf,RMSE,-0.7991391914576602,-1.2710910514782807,-0.28477643819369225,0.0032,negative
li_wasserstein,static_rbf,R2,0.4227323166375542,0.14732163643833499,0.8625199314314257,0.0032,positive
li_wasserstein,static_rbf,Spearman_rho,0.30379515617660385,0.04907789581189075,0.5610458588958027,0.0168,positive
total_rbf,static_rbf,MAE,-0.1273461167036105,-0.6362841538542415,0.4089656436444811,0.6308,negative
total_rbf,static_rbf,RMSE,-0.09430203965320416,-0.6748767682376575,0.44583705292704856,0.7292,negative
total_rbf,static_rbf,R2,0.05643256651218498,-0.2635464326279511,0.5020751463447732,0.7292,positive
total_rbf,static_rbf,Spearman_rho,0.004624100852606172,-0.3252365253223921,0.33128943515832543,0.98,positive
total_cdf_rbf,static_rbf,MAE,0.17964152747252715,-0.3451575164431809,0.7352748089789176,0.5416,negative
total_cdf_rbf,static_rbf,RMSE,0.25007350419005636,-0.5448139635107614,1.0022295611049385,0.5884,negative
total_cdf_rbf,static_rbf,R2,-0.1581341631463934,-0.557058634218796,0.4164661495061572,0.5884,positive
total_cdf_rbf,static_rbf,Spearman_rho,-0.13273889506304942,-0.4991599973940814,0.24350695600563219,0.4996,positive
total_wasserstein,static_rbf,MAE,-0.059100529036812066,-0.5962688941082893,0.4979005006821542,0.8248,negative
total_wasserstein,static_rbf,RMSE,-0.061676757972004115,-0.6615094425985181,0.5230831644156302,0.8184,negative
total_wasserstein,static_rbf,R2,0.03710706751496895,-0.3074530120414574,0.49122355670589785,0.8184,positive
total_wasserstein,static_rbf,Spearman_rho,-0.030464664440699896,-0.3421044092975535,0.26440781764237165,0.8436,positive
static_plus_li_wasserstein,static_rbf,MAE,-0.28760364455332255,-0.6292145889015078,0.03566427703251166,0.084,negative
static_plus_li_wasserstein,static_rbf,RMSE,-0.5132162797341078,-0.7915516738334601,-0.21388235127399421,0.0012,negative
static_plus_li_wasserstein,static_rbf,R2,0.2859400357432318,0.11212707486555984,0.5806631332694565,0.0012,positive
static_plus_li_wasserstein,static_rbf,Spearman_rho,0.22358887652013654,0.053146258093338575,0.4207799006192357,0.0052,positive
static_plus_total_wasserstein,static_rbf,MAE,0.0,0.0,0.0,1.0,negative
static_plus_total_wasserstein,static_rbf,RMSE,0.0,0.0,0.0,1.0,negative
static_plus_total_wasserstein,static_rbf,R2,0.0,0.0,0.0,1.0,positive
static_plus_total_wasserstein,static_rbf,Spearman_rho,0.0,0.0,0.0,1.0,positive
static_plus_li_plus_total,static_rbf,MAE,-0.3272886870674929,-0.6820374678527987,0.007323074295635999,0.0552,negative
static_plus_li_plus_total,static_rbf,RMSE,-0.5859794104079921,-0.8753762731333129,-0.2720801669641461,0.0004,negative
static_plus_li_plus_total,static_rbf,R2,0.32227966610926917,0.14193558234539352,0.6344257954718102,0.0004,positive
static_plus_li_plus_total,static_rbf,Spearman_rho,0.24094285501403517,0.06261453664511897,0.4401651376908249,0.0032,positive
