split,ID,Family,log10_ic_limit,ic_is_upper_limit
train,jqc,hexaoxometalates,-5.800000874803203,False
train,oi6,hexaoxometalates,-7.173925197299173,False
train,2t8,Tavorite,-6.0915149811213505,False
train,47i,diphosphate,-10.0,True
train,clt,copper pyroborate,-13.0,False
train,ix1,NASICON,-6.494850021680094,False
train,bq9,oxides,-9.619788758288394,False
train,skm,oxides,-8.4089353929735,False
train,pwr,LISICON,-6.785156151952302,False
train,y2l,thio-LISICON,-8.853871964321762,False
train,pe2,Unknown,-8.978810700930062,False
train,opo,layered,-3.9208187539523753,False
train,lkm,Unknown,-6.070581074285707,False
train,bv2,oxides,-7.7447274948966935,False
train,be9,halides,-5.154901959985743,False
train,n27,Unknown,-8.0,False
train,goi,Unknown,-3.795880017344075,False
train,lrh,NASICON,-6.721246399047171,False
train,1xt,oxides,-10.0,True
train,kbo,NASICON,-10.0,True
train,5zv,phosphates,-17.255707016877324,False
train,5bz,boron nitride,-7.060480747381382,False
train,883,hydrides,-8.060480747381382,False
train,uu4,oxides,-8.688246138944246,False
train,tws,zirconates,-9.2839966563652,False
train,l9v,fluorides,-6.301029995663981,False
train,t0h,oxides,-9.214670164989233,False
train,4kt,halides,-10.0,True
train,xas,sulfides,-4.823908740944319,False
train,kfp,pyrophosphate,-16.796203144042632,False
train,qy4,sulfides,-5.055517327849832,False
train,00x,phosphates,-10.0,True
train,9wf,halides,-3.1870866433571443,False
train,uox,phosphates,-11.247951552180561,False
train,joc,thio-LISICON,-6.585026652029182,False
train,mq1,thio-LISICON,-8.318758762624412,False
train,h6c,LISICON,-13.036212172654444,False
train,bsa,oxides,-13.619788758288394,False
train,mde,fluorooxoborate,-10.0,True
train,1e9,sulfides,-9.0,False
train,an2,argyrodite,-10.0,False
train,tka,nitride,-7.209714835966758,False
train,cdk,LIPON,-10.0,True
train,fwz,thio-LISICON,-5.698970004336019,False
train,5z0,oxides,-9.301029995663981,False
train,472,nitridosilicates,-9.769551078621726,False
train,9zk,oxides,-8.301029995663981,False
train,nhq,thio-LISICON,-6.049148541111453,False
train,w7d,LISICON,-17.3767507096021,False
train,fj5,LISICON,-6.347753658996677,False
train,gxz,phosphates,-10.0,True
train,uxo,LISICON,-12.853871964321762,False
train,pbz,LISICON,-5.247183568811729,False
train,7ek,LISICON,-4.42021640338319,False
train,kmv,Chalcogenidotetrelates,-4.154901959985743,False
train,9lo,LISICON,-12.756961951313706,False
train,dth,LISICON,-11.886056647693163,False
train,x2i,oxides,-7.42021640338319,False
train,xz4,molybdates,-7.886056647693163,False
train,hja,molybdates,-9.0,False
train,3nb,molybdates,-9.744727494896694,False
train,qa9,boron nitride,-9.795880017344075,False
train,nua,perovskites,-10.0,True
train,3rx,perovskites,-10.0,True
train,7e5,perovskites,-6.7447274948966935,False
train,r99,perovskites,-4.920818753952375,False
train,lol,thio-LISICON,-3.9208187539523753,False
train,d7f,oxides,-9.387216143280265,False
train,j8q,LGPS,-1.91721462968355,False
train,824,LGPS,-1.8416375079047504,False
train,mtn,LGPS,-1.609064892896621,False
train,9rc,LGPS,-1.85078088734462,False
train,13q,LGPS,-2.4001169279263124,False
train,ik8,LGPS,-2.1290111862394245,False
train,nip,LGPS,-2.2596373105057563,False
train,8ub,LGPS,-2.0560111249262283,False
train,7tu,LGPS,-2.106793246940152,False
train,ui6,LGPS,-1.958607314841775,False
train,k4x,LGPS,-2.1870866433571443,False
train,ia5,perovskites,-8.0,True
train,sg0,oxides,-10.0,True
train,97b,oxides,-10.0,True
train,wyu,garnet,-5.787812395596042,False
train,019,NASICON,-3.7931741239681505,False
train,yqu,NASICON,-2.3169529617611504,False
train,95j,hydrides,-6.853871964321762,False
train,0iv,thio-phosphate,-6.623423042943488,False
train,deu,sulfides,-4.366531544420414,False
train,usu,sulfides,-5.366531544420414,False
train,ur9,NASICON,-9.0,False
train,4ba,NASICON,-6.47755576649368,False
train,ldx,NASICON,-8.316052869248487,False
train,0fh,NASICON,-4.316052869248487,False
train,gw2,NASICON,-3.72584215073632,False
train,1xf,NASICON,-3.473660722610156,False
train,my9,NASICON,-3.2254830342714502,False
train,9s4,NASICON,-3.141462802430361,False
train,iqt,NASICON,-3.4111682744057927,False
train,xa0,NASICON,-3.6055483191737836,False
train,pg8,NASICON,-3.7594507517174,False
train,h7r,NASICON,-4.642065152999546,False
train,9ky,NASICON,-5.025949097207123,False
train,4ea,NASICON,-5.501689446210399,False
train,z7n,NASICON,-7.036212172654444,False
train,lap,NASICON,-2.9469215565165805,False
train,3uq,NASICON,-4.084072788302884,False
train,1dm,NASICON,-3.5466816599529625,False
train,z9y,NASICON,-2.4710832997223453,False
