ID,split,Family,model,observed,predicted
1ty,test,Unknown,li_wasserstein,-5.070581074285707,-4.544626398498135
24k,test,argyrodites,li_wasserstein,-3.958607314841775,-3.248212542760193
2r7,test,molybdates,li_wasserstein,-8.496209316942819,-8.044101795278909
2uv,test,Chalcogenidotetrelates,li_wasserstein,-4.698970004336019,-5.555040423490298
4p7,test,antiperovskite,li_wasserstein,-1.6020599913279625,-5.240464539602241
7cr,test,Borophosphates,li_wasserstein,-17.356547323513812,-10.816129784840491
9n0,test,perovskites,li_wasserstein,-4.954677021213342,-7.685065138378176
9o6,test,garnet,li_wasserstein,-3.4775557664936803,-5.310871684681408
aab,test,Unknown,li_wasserstein,-6.080921907623926,-5.275427045148332
ar1,test,Unknown,li_wasserstein,-4.1249387366083,-3.131414632798162
ard,test,oxides,li_wasserstein,-2.795880017344075,-5.249976363965924
b56,test,molybdates,li_wasserstein,-10.0,-7.875864519748582
bnu,test,oxides,li_wasserstein,-10.0,-13.08123910817358
br1,test,nitrides,li_wasserstein,-7.301029995663981,-7.074048844869276
cfy,test,thio-LISICON,li_wasserstein,-10.10790539730952,-5.7721110591522695
cz2,test,Unknown,li_wasserstein,-6.022276394711152,-4.6341258481942855
de5,test,Halide,li_wasserstein,-2.690369832574101,-5.916467392561538
dvb,test,garnet,li_wasserstein,-4.1944991418416,-5.186631249187243
ecp,test,Lanthanumlithiumoxide,li_wasserstein,-10.0,-6.424904057703441
ei3,test,halides,li_wasserstein,-3.268411234813261,-4.907912563632633
elz,test,halides,li_wasserstein,-2.7166987712964503,-5.321435890858552
gwu,test,perovskites,li_wasserstein,-6.982966660701219,-5.829119027326078
h5i,test,perovskites,li_wasserstein,-4.91721462968355,-6.256865967440943
i47,test,sulfides,li_wasserstein,-7.267606240177032,-6.588944866269078
ipo,test,garnet,li_wasserstein,-6.006563769502388,-4.721226850945199
j5g,test,garnet,li_wasserstein,-3.72584215073632,-6.104362234577029
jy6,test,argyrodites,li_wasserstein,-9.0,-7.322445723992223
klr,test,Unknown,li_wasserstein,-4.443697499232712,-5.060143786737626
kxw,test,oxides,li_wasserstein,-10.0,-13.421412797287372
l2w,test,thio-phosphate,li_wasserstein,-7.086186147616283,-7.492918516552636
l6h,test,garnet,li_wasserstein,-3.211831628858832,-5.4180177800238445
mdp,test,Unknown,li_wasserstein,-2.494850021680094,-3.81035132642312
me3,test,Lanthanumlithiumoxide,li_wasserstein,-9.201349354554733,-5.363506681474585
mfu,test,molybdates,li_wasserstein,-9.229884705212898,-7.203722987103398
mtr,test,garnet,li_wasserstein,-3.0291883891274822,-5.169966451804161
o0a,test,Unknown,li_wasserstein,-5.221848749616356,-5.363306949995352
ob9,test,thio-phosphate,li_wasserstein,-5.3979400086720375,-7.492918516552636
p81,test,halides,li_wasserstein,-6.0,-5.477784799941327
ro9,test,Borophosphates,li_wasserstein,-11.017728766960431,-9.112922211192528
s2v,test,garnet,li_wasserstein,-2.8601209135987635,-4.6738161125003055
um1,test,oxides,li_wasserstein,-10.0,-10.061455440981906
ux3,test,silicates,li_wasserstein,-10.0,-7.620035286934287
vwy,test,perovskites,li_wasserstein,-3.175223537524454,-6.017362519305275
wa3,test,garnet,li_wasserstein,-3.595166283380062,-5.395058782696171
wgw,test,perovskites,li_wasserstein,-10.0,-7.602901974614657
xq3,test,perovskites,li_wasserstein,-10.0,-7.382664678941957
zs0,test,Lanthanumlithiumoxide,li_wasserstein,-9.138465589140962,-6.192437113181046
zv5,test,Unknown,li_wasserstein,-4.552841968657781,-4.972140908476503
