rank,penalty,cv_interval_MAE,successful_folds,model
10,0.0001,2.022745434303558,4,static_rbf
10,0.001,2.0230524125756366,4,static_rbf
10,0.01,2.025812309870633,4,static_rbf
10,0.1,2.0674106107352026,4,static_rbf
10,1.0,2.4240553693127973,4,static_rbf
10,10.0,2.7136626515935727,4,static_rbf
10,100.0,2.7555419415065736,4,static_rbf
20,0.0001,1.9902872818484463,4,static_rbf
20,0.001,1.99007952131554,4,static_rbf
20,0.01,1.9889013729002043,4,static_rbf
20,0.1,2.016111528625992,4,static_rbf
20,1.0,2.3962064192670507,4,static_rbf
20,10.0,2.7121000534691335,4,static_rbf
20,100.0,2.755394645014114,4,static_rbf
40,0.0001,2.2740254384478362,1,static_rbf
40,0.001,2.2042168883349103,1,static_rbf
40,0.01,2.083959816656997,4,static_rbf
40,0.1,1.981585617667775,4,static_rbf
40,1.0,2.3731109104484607,4,static_rbf
40,10.0,2.710435039925691,4,static_rbf
40,100.0,2.755252488943705,4,static_rbf
10,0.0001,1.6214684870855443,4,li_wasserstein
10,0.001,1.6218605992225075,4,li_wasserstein
10,0.01,1.625319329994598,4,li_wasserstein
10,0.1,1.6792386175499243,4,li_wasserstein
10,1.0,2.091929752351976,4,li_wasserstein
10,10.0,2.6214612326874875,4,li_wasserstein
10,100.0,2.7435958083659004,4,li_wasserstein
20,0.0001,1.6313529061329355,4,li_wasserstein
20,0.001,1.6302780056591013,4,li_wasserstein
20,0.01,1.6218687072881521,4,li_wasserstein
20,0.1,1.6621437799561825,4,li_wasserstein
20,1.0,2.0879230406005735,4,li_wasserstein
20,10.0,2.621288587307356,4,li_wasserstein
20,100.0,2.743580720887728,4,li_wasserstein
40,0.0001,1.7766655129691094,3,li_wasserstein
40,0.001,1.7608201040124505,3,li_wasserstein
40,0.01,1.6999354974778054,4,li_wasserstein
40,0.1,1.6664101387373556,4,li_wasserstein
40,1.0,2.0875836622365216,4,li_wasserstein
40,10.0,2.621322647865709,4,li_wasserstein
40,100.0,2.7435820464434104,4,li_wasserstein
10,0.0001,1.622001433515583,4,static_plus_li_wasserstein
10,0.001,1.6222028421991828,4,static_plus_li_wasserstein
10,0.01,1.6255197259081102,4,static_plus_li_wasserstein
10,0.1,1.6689314195513738,4,static_plus_li_wasserstein
10,1.0,2.116382596170071,4,static_plus_li_wasserstein
10,10.0,2.6519818813609026,4,static_plus_li_wasserstein
10,100.0,2.7481609026057656,4,static_plus_li_wasserstein
20,0.0001,1.5384921611759477,4,static_plus_li_wasserstein
20,0.001,1.5386601523275045,4,static_plus_li_wasserstein
20,0.01,1.5408147614681003,4,static_plus_li_wasserstein
20,0.1,1.5875686314473667,4,static_plus_li_wasserstein
20,1.0,2.0962943899145094,4,static_plus_li_wasserstein
20,10.0,2.6514708111415435,4,static_plus_li_wasserstein
20,100.0,2.7481240289750506,4,static_plus_li_wasserstein
40,0.0001,1.6237698347299712,3,static_plus_li_wasserstein
40,0.001,1.6132880006367198,3,static_plus_li_wasserstein
40,0.01,1.5836741219854942,4,static_plus_li_wasserstein
40,0.1,1.5806892638005006,4,static_plus_li_wasserstein
40,1.0,2.0840326182993665,4,static_plus_li_wasserstein
40,10.0,2.650977166573442,4,static_plus_li_wasserstein
40,100.0,2.748088004993078,4,static_plus_li_wasserstein
