split,Family,n,MAE_static,MAE_Li_only,MAE_static_plus_Li,delta_MAE_static_plus_Li_minus_static,delta_MAE_Li_only_minus_static
train_OOF,LGPS,11,0.2432187342086416,0.9949718600165318,0.43701024975638414,0.19379151554774254,0.7517531258078902
train_OOF,LISICON,9,6.406211591805047,3.832101987860277,4.790031418948037,-1.6161801728570095,-2.5741096039447697
train_OOF,NASICON,29,1.2388824198349209,1.5788714987248018,1.6672599413738545,0.4283775215389336,0.33998907888988095
train_OOF,Unknown,9,0.9091288624576591,2.2859338898154844,1.589521131438291,0.680392268980632,1.3768050273578254
train_OOF,argyrodites,37,1.5733633461667085,1.0584273439685201,1.2825459944672513,-0.2908173516994572,-0.5149360021981884
train_OOF,garnet,28,0.9042555783193106,0.83010520508014,0.6872694574201003,-0.21698612089921032,-0.07415037323917062
train_OOF,oxides,23,1.2985114282096488,1.9201468312356247,1.8439921065446705,0.5454806783350217,0.6216354030259759
train_OOF,perovskites,6,3.2588595137450276,0.9766760958401214,1.76818848421353,-1.4906710295314975,-2.282183417904906
train_OOF,phosphates,9,2.6715747947949,2.0783913745571527,2.1213514282872694,-0.5502233665076304,-0.5931834202377471
train_OOF,sulfides,5,1.63891880133153,1.4710614219130085,1.3405824686113381,-0.2983363327201918,-0.1678573794185214
train_OOF,thio-LISICON,6,1.187930987580655,2.257404684609628,2.244351889152506,1.0564209015718509,1.0694736970289729
official_test,Unknown,8,2.156302331272362,0.7757286151294787,1.1330685111709617,-1.0232338201014004,-1.3805737161428835
official_test,garnet,8,0.6234619413270878,1.8062321174988263,0.8886484893874285,0.2651865480603407,1.1827701761717386
official_test,perovskites,6,3.1323983456310933,2.180076569420262,2.3699968443424186,-0.7624015012886747,-0.9523217762108311
